instancia,valorOtimo,sem_tempo_total,sem_sol_nmpa,sem_sol_mmosp,sem_densidade,sem_tempo_seq,sem_gap,p1_tempo_total,p1_sol_nmpa,p1_sol_mmosp,p1_densidade,p1_tempo_seq,p1_gap,p2_tempo_total,p2_sol_nmpa,p2_sol_mmosp,p2_densidade,p2_tempo_seq,p2_gap,p3_tempo_total,p3_sol_nmpa,p3_sol_mmosp,p3_densidade,p3_tempo_seq,p3_gap
"Frinhani, Carvalho & Soma\Random-1000-1000-38-2",985.1,3.002,1000,1000.927,0.763,3.002,1.51%,10.864,1000,1000.927,0.763,9.124,1.51%,9.495,1000,1000.927,0.763,9.204,1.51%,9.493,1000,1000.927,0.763,9.236,1.51%
"Frinhani, Carvalho & Soma\Random-1000-1000-38-3",985.1,2.992,1000,1000.924,0.759,2.992,1.51%,11.081,1000,1000.924,0.759,9.382,1.51%,9.359,1000,1000.924,0.759,9.069,1.51%,9.483,1000,1000.924,0.759,9.223,1.51%
"Frinhani, Carvalho & Soma\Random-1000-1000-38-4",985.1,3.136,1000,1000.928,0.768,3.136,1.51%,11.220,1000,1000.928,0.768,9.481,1.51%,9.728,1000,1000.928,0.768,9.445,1.51%,10.220,1000,1000.928,0.768,9.953,1.51%
"Frinhani, Carvalho & Soma\Random-1000-1000-38-5",985.1,3.126,1000,1000.926,0.766,3.126,1.51%,11.266,1000,1000.926,0.766,9.494,1.51%,9.714,1000,1000.926,0.766,9.392,1.51%,9.711,1000,1000.926,0.766,9.441,1.51%
"Frinhani, Carvalho & Soma\Random-1000-1000-38-6",985.1,3.190,1000,1000.926,0.761,3.190,1.51%,11.200,1000,1000.926,0.761,9.370,1.51%,9.934,1000,1000.926,0.761,9.634,1.51%,9.833,1000,1000.926,0.761,9.570,1.51%
"Frinhani, Carvalho & Soma\Random-1000-1000-38-7",985.1,3.122,1000,1000.927,0.762,3.122,1.51%,11.376,1000,1000.927,0.762,9.613,1.51%,10.075,1000,1000.927,0.762,9.727,1.51%,9.662,1000,1000.927,0.762,9.374,1.51%
"Frinhani, Carvalho & Soma\Random-1000-1000-38-8",985.1,3.112,1000,1000.927,0.769,3.112,1.51%,11.440,1000,1000.927,0.769,9.687,1.51%,9.905,1000,1000.927,0.769,9.616,1.51%,10.018,1000,1000.927,0.769,9.721,1.51%
"Frinhani, Carvalho & Soma\Random-1000-1000-38-9",985.1,3.138,1000,1000.928,0.765,3.138,1.51%,11.542,1000,1000.928,0.765,9.765,1.51%,9.882,1000,1000.928,0.765,9.571,1.51%,9.909,1000,1000.928,0.765,9.604,1.51%
"Frinhani, Carvalho & Soma\Random-1000-1000-4-1",449.4,0.593,530,530.619,0.017,0.593,17.94%,1.392,513,513.636,0.017,0.962,14.15%,1.298,530,530.619,0.017,1.081,17.94%,1.197,530,530.619,0.017,0.972,17.94%
"Frinhani, Carvalho & Soma\Random-1000-1000-4-10",449.4,0.571,516,516.626,0.016,0.571,14.82%,1.378,511,511.636,0.016,0.938,13.71%,1.172,524,524.634,0.016,0.954,16.60%,1.325,524,524.634,0.016,1.107,16.60%
"Frinhani, Carvalho & Soma\Random-1000-1000-4-2",449.4,0.587,514,514.632,0.017,0.587,14.37%,1.381,504,504.638,0.017,0.966,12.15%,1.295,514,514.632,0.017,1.069,14.37%,1.178,514,514.632,0.017,0.945,14.37%
