instancia,valorOtimo,sem_tempo_total,sem_sol_nmpa,sem_sol_mmosp,sem_densidade,sem_tempo_seq,sem_gap,p1_tempo_total,p1_sol_nmpa,p1_sol_mmosp,p1_densidade,p1_tempo_seq,p1_gap,p2_tempo_total,p2_sol_nmpa,p2_sol_mmosp,p2_densidade,p2_tempo_seq,p2_gap,p3_tempo_total,p3_sol_nmpa,p3_sol_mmosp,p3_densidade,p3_tempo_seq,p3_gap
"Frinhani, Carvalho & Soma\Random-1000-1000-10-1",822.3,1.152,938,938.712,0.095,1.152,14.07%,2.873,932,932.716,0.095,2.210,13.34%,2.685,932,932.716,0.095,2.376,13.34%,2.478,932,932.716,0.095,2.223,13.34%
"Frinhani, Carvalho & Soma\Random-1000-1000-10-10",822.3,1.166,941,941.713,0.095,1.166,14.44%,2.889,941,941.713,0.095,2.221,14.44%,2.295,941,941.713,0.095,2.067,14.44%,2.435,941,941.713,0.095,2.200,14.44%
"Frinhani, Carvalho & Soma\Random-1000-1000-10-2",822.3,1.298,946,946.713,0.096,1.298,15.04%,2.835,946,946.713,0.096,2.158,15.04%,2.544,946,946.713,0.096,2.289,15.04%,2.434,946,946.713,0.096,2.187,15.04%
"Frinhani, Carvalho & Soma\Random-1000-1000-10-3",822.3,1.262,935,935.702,0.090,1.262,13.71%,2.917,935,935.700,0.090,2.246,13.71%,2.443,935,935.700,0.090,2.207,13.71%,2.354,935,935.700,0.090,2.121,13.71%
"Frinhani, Carvalho & Soma\Random-1000-1000-10-4",822.3,1.103,932,932.713,0.092,1.103,13.34%,2.866,932,932.714,0.092,2.129,13.34%,2.309,932,932.713,0.092,2.082,13.34%,2.505,932,932.713,0.092,2.274,13.34%
"Frinhani, Carvalho & Soma\Random-1000-1000-10-5",822.3,1.125,937,937.714,0.097,1.125,13.95%,3.050,937,937.714,0.097,2.308,13.95%,2.461,937,937.714,0.097,2.196,13.95%,2.641,937,937.714,0.097,2.397,13.95%
"Frinhani, Carvalho & Soma\Random-1000-1000-10-6",822.3,1.603,954,954.699,0.097,1.603,16.02%,2.891,938,938.709,0.097,2.234,14.07%,2.418,942,942.706,0.097,2.179,14.56%,2.615,942,942.706,0.097,2.353,14.56%
"Frinhani, Carvalho & Soma\Random-1000-1000-10-7",822.3,1.161,952,952.711,0.096,1.161,15.77%,3.144,949,949.709,0.096,2.467,15.41%,2.428,949,949.709,0.096,2.184,15.41%,2.515,949,949.709,0.096,2.296,15.41%
"Frinhani, Carvalho & Soma\Random-1000-1000-10-8",822.3,1.127,947,947.711,0.099,1.127,15.16%,2.951,947,947.712,0.099,2.270,15.16%,2.438,947,947.711,0.099,2.212,15.16%,2.308,947,947.711,0.099,2.082,15.16%
"Frinhani, Carvalho & Soma\Random-1000-1000-10-9",822.3,1.214,944,944.706,0.092,1.214,14.80%,2.762,941,941.708,0.092,2.094,14.44%,2.426,941,941.708,0.092,2.180,14.44%,2.406,941,941.708,0.092,2.158,14.44%
"Frinhani, Carvalho & Soma\Random-1000-1000-14-1",899.2,1.962,993,993.774,0.175,1.962,10.43%,4.140,993,993.774,0.175,3.283,10.43%,3.407,993,993.774,0.175,3.127,10.43%,3.381,993,993.774,0.175,3.128,10.43%
"Frinhani, Carvalho & Soma\Random-1000-1000-14-10",899.2,1.447,994,994.787,0.182,1.447,10.54%,4.090,994,994.787,0.182,3.187,10.54%,3.377,994,994.787,0.182,3.139,10.54%,3.549,994,994.787,0.182,3.292,10.54%
"Frinhani, Carvalho & Soma\Random-1000-1000-14-2",899.2,1.423,990,990.773,0.177,1.423,10.10%,4.296,990,990.773,0.177,3.436,10.10%,3.388,990,990.773,0.177,3.142,10.10%,3.523,990,990.773,0.177,3.256,10.10%
"Frinhani, Carvalho & Soma\Random-1000-1000-14-3",899.2,1.355,989,989.780,0.182,1.355,9.99%,4.109,989,989.780,0.182,3.249,9.99%,3.433,989,989.780,0.182,3.168,9.99%,3.391,989,989.780,0.182,3.155,9.99%
"Frinhani, Carvalho & Soma\Random-1000-1000-14-4",899.2,1.370,996,996.775,0.179,1.370,10.77%,4.387,996,996.775,0.179,3.562,10.77%,3.925,996,996.775,0.179,3.677,10.77%,3.452,996,996.775,0.179,3.132,10.77%
"Frinhani, Carvalho & Soma\Random-1000-1000-14-5",899.2,1.385,987,987.775,0.178,1.385,9.76%,4.112,987,987.775,0.178,3.234,9.76%,3.300,987,987.775,0.178,3.063,9.76%,3.737,987,987.775,0.178,3.453,9.76%
"Frinhani, Carvalho & Soma\Random-1000-1000-14-6",899.2,1.390,989,989.783,0.177,1.390,9.99%,4.041,988,988.778,0.177,3.079,9.88%,3.436,988,988.778,0.177,3.180,9.88%,3.897,988,988.778,0.177,3.643,9.88%
"Frinhani, Carvalho & Soma\Random-1000-1000-14-7",899.2,1.467,993,993.776,0.181,1.467,10.43%,4.167,993,993.776,0.181,3.303,10.43%,3.565,993,993.776,0.181,3.306,10.43%,3.424,993,993.776,0.181,3.169,10.43%
"Frinhani, Carvalho & Soma\Random-1000-1000-14-8",899.2,1.358,989,989.776,0.177,1.358,9.99%,3.992,991,991.777,0.177,3.137,10.21%,3.459,991,991.777,0.177,3.189,10.21%,3.403,991,991.777,0.177,3.155,10.21%
"Frinhani, Carvalho & Soma\Random-1000-1000-14-9",899.2,1.610,994,994.775,0.183,1.610,10.54%,4.270,994,994.775,0.183,3.397,10.54%,3.425,994,994.775,0.183,3.169,10.54%,3.385,994,994.775,0.183,3.114,10.54%
"Frinhani, Carvalho & Soma\Random-1000-1000-18-1",936.0,1.731,999,999.829,0.275,1.731,6.73%,5.664,1000,1000.827,0.275,4.520,6.84%,4.476,1000,1000.827,0.275,4.213,6.84%,4.524,1000,1000.827,0.275,4.151,6.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-18-10",936.0,1.713,1000,1000.827,0.272,1.713,6.84%,5.307,1000,1000.827,0.272,4.243,6.84%,4.432,1000,1000.827,0.272,4.172,6.84%,4.807,1000,1000.827,0.272,4.553,6.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-18-2",936.0,1.795,998,998.826,0.271,1.795,6.62%,5.382,998,998.828,0.271,4.091,6.62%,4.510,998,998.828,0.271,4.229,6.62%,4.556,998,998.828,0.271,4.288,6.62%
"Frinhani, Carvalho & Soma\Random-1000-1000-18-3",936.0,1.970,1000,1000.826,0.274,1.970,6.84%,5.557,1000,1000.826,0.274,4.394,6.84%,4.630,1000,1000.826,0.274,4.365,6.84%,4.613,1000,1000.826,0.274,4.334,6.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-18-4",936.0,1.667,999,999.824,0.272,1.667,6.73%,5.588,999,999.824,0.272,4.476,6.73%,4.826,999,999.824,0.272,4.529,6.73%,4.872,999,999.824,0.272,4.621,6.73%
"Frinhani, Carvalho & Soma\Random-1000-1000-18-5",936.0,1.915,1000,1000.829,0.280,1.915,6.84%,5.400,1000,1000.829,0.280,4.297,6.84%,4.474,1000,1000.829,0.280,4.171,6.84%,4.545,1000,1000.829,0.280,4.302,6.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-18-6",936.0,1.785,999,999.824,0.279,1.785,6.73%,5.624,999,999.824,0.279,4.483,6.73%,4.720,999,999.824,0.279,4.460,6.73%,4.682,999,999.824,0.279,4.372,6.73%
"Frinhani, Carvalho & Soma\Random-1000-1000-18-7",936.0,1.710,998,998.827,0.277,1.710,6.62%,5.502,998,998.827,0.277,4.310,6.62%,4.535,998,998.827,0.277,4.276,6.62%,4.712,998,998.827,0.277,4.449,6.62%
"Frinhani, Carvalho & Soma\Random-1000-1000-18-8",936.0,1.688,1000,1000.830,0.281,1.688,6.84%,5.521,1000,1000.828,0.281,4.321,6.84%,5.049,1000,1000.828,0.281,4.773,6.84%,4.641,1000,1000.828,0.281,4.374,6.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-18-9",936.0,1.849,1000,1000.831,0.283,1.849,6.84%,5.613,1000,1000.831,0.283,4.481,6.84%,5.166,1000,1000.831,0.283,4.898,6.84%,4.727,1000,1000.831,0.283,4.334,6.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-2-1",237.3,0.445,284,284.661,0.007,0.445,19.68%,1.211,277,277.657,0.007,0.841,16.73%,0.963,290,290.638,0.007,0.741,22.21%,0.994,290,290.638,0.007,0.744,22.21%
"Frinhani, Carvalho & Soma\Random-1000-1000-2-10",237.3,0.593,297,297.619,0.007,0.593,25.16%,1.108,297,297.619,0.007,0.727,25.16%,0.946,297,297.619,0.007,0.729,25.16%,1.139,297,297.619,0.007,0.883,25.16%
"Frinhani, Carvalho & Soma\Random-1000-1000-2-2",237.3,0.436,282,282.645,0.007,0.436,18.84%,1.117,282,282.642,0.007,0.743,18.84%,0.940,283,283.640,0.007,0.715,19.26%,1.004,283,283.640,0.007,0.751,19.26%
"Frinhani, Carvalho & Soma\Random-1000-1000-2-3",237.3,0.501,277,277.622,0.007,0.501,16.73%,1.087,272,272.624,0.007,0.709,14.62%,0.963,277,277.622,0.007,0.739,16.73%,0.964,282,282.613,0.007,0.721,18.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-2-4",237.3,0.432,290,290.648,0.007,0.432,22.21%,1.083,293,293.647,0.007,0.721,23.47%,0.958,290,290.648,0.007,0.728,22.21%,0.957,290,290.651,0.007,0.696,22.21%
"Frinhani, Carvalho & Soma\Random-1000-1000-2-5",237.3,0.541,290,290.632,0.007,0.541,22.21%,1.103,279,279.638,0.007,0.732,17.57%,1.016,285,285.633,0.007,0.792,20.10%,0.992,285,285.631,0.007,0.737,20.10%
"Frinhani, Carvalho & Soma\Random-1000-1000-2-6",237.3,0.418,296,296.622,0.007,0.418,24.74%,1.097,293,293.635,0.007,0.731,23.47%,0.910,293,293.634,0.007,0.693,23.47%,0.956,296,296.634,0.007,0.709,24.74%
"Frinhani, Carvalho & Soma\Random-1000-1000-2-7",237.3,0.497,280,280.633,0.007,0.497,17.99%,1.087,292,292.630,0.007,0.700,23.05%,0.955,293,293.628,0.007,0.724,23.47%,0.971,293,293.628,0.007,0.719,23.47%
"Frinhani, Carvalho & Soma\Random-1000-1000-2-8",237.3,0.412,273,273.660,0.007,0.412,15.04%,1.076,279,279.649,0.007,0.713,17.57%,0.927,288,288.630,0.007,0.707,21.37%,0.979,287,287.632,0.007,0.739,20.94%
"Frinhani, Carvalho & Soma\Random-1000-1000-2-9",237.3,0.437,283,283.633,0.007,0.437,19.26%,1.090,283,283.632,0.007,0.723,19.26%,0.929,283,283.633,0.007,0.697,19.26%,0.961,283,283.632,0.007,0.696,19.26%
"Frinhani, Carvalho & Soma\Random-1000-1000-20-1",945.8,1.852,1000,1000.844,0.327,1.852,5.73%,6.328,1000,1000.844,0.327,5.088,5.73%,5.112,1000,1000.844,0.327,4.838,5.73%,5.031,1000,1000.844,0.327,4.775,5.73%
"Frinhani, Carvalho & Soma\Random-1000-1000-20-10",945.8,1.838,1000,1000.843,0.327,1.838,5.73%,6.177,1000,1000.843,0.327,4.918,5.73%,5.039,1000,1000.843,0.327,4.783,5.73%,5.178,1000,1000.843,0.327,4.876,5.73%
"Frinhani, Carvalho & Soma\Random-1000-1000-20-2",945.8,1.927,999,999.842,0.322,1.927,5.62%,6.293,999,999.842,0.322,4.978,5.62%,5.019,999,999.842,0.322,4.702,5.62%,5.041,999,999.842,0.322,4.778,5.62%
"Frinhani, Carvalho & Soma\Random-1000-1000-20-3",945.8,1.916,1000,1000.845,0.327,1.916,5.73%,6.723,999,999.846,0.327,4.924,5.62%,5.198,999,999.846,0.327,4.940,5.62%,5.297,999,999.846,0.327,5.035,5.62%
"Frinhani, Carvalho & Soma\Random-1000-1000-20-4",945.8,2.087,998,998.840,0.332,2.087,5.52%,6.062,998,998.840,0.332,4.922,5.52%,5.130,998,998.840,0.332,4.871,5.52%,5.252,998,998.840,0.332,5.014,5.52%
"Frinhani, Carvalho & Soma\Random-1000-1000-20-5",945.8,1.852,997,997.845,0.331,1.852,5.41%,6.010,997,997.845,0.331,4.806,5.41%,4.841,997,997.845,0.331,4.581,5.41%,5.062,997,997.845,0.331,4.794,5.41%
"Frinhani, Carvalho & Soma\Random-1000-1000-20-6",945.8,1.885,1000,1000.844,0.326,1.885,5.73%,6.012,998,998.846,0.326,4.859,5.52%,5.071,998,998.846,0.326,4.826,5.52%,4.894,998,998.846,0.326,4.649,5.52%
"Frinhani, Carvalho & Soma\Random-1000-1000-20-7",945.8,1.824,1000,1000.852,0.333,1.824,5.73%,6.029,1000,1000.852,0.333,4.800,5.73%,5.071,1000,1000.852,0.333,4.784,5.73%,5.256,1000,1000.852,0.333,4.993,5.73%
"Frinhani, Carvalho & Soma\Random-1000-1000-20-8",945.8,1.783,1000,1000.845,0.328,1.783,5.73%,5.790,1000,1000.845,0.328,4.700,5.73%,5.029,1000,1000.845,0.328,4.766,5.73%,4.908,1000,1000.845,0.328,4.666,5.73%
"Frinhani, Carvalho & Soma\Random-1000-1000-20-9",945.8,1.967,1000,1000.848,0.330,1.967,5.73%,5.747,1000,1000.848,0.330,4.578,5.73%,5.075,1000,1000.848,0.330,4.792,5.73%,4.940,1000,1000.848,0.330,4.688,5.73%
"Frinhani, Carvalho & Soma\Random-1000-1000-24-1",962.5,2.310,999,999.877,0.440,2.310,3.79%,7.654,999,999.875,0.440,6.318,3.79%,6.269,999,999.875,0.440,6.007,3.79%,6.430,999,999.875,0.440,6.074,3.79%
"Frinhani, Carvalho & Soma\Random-1000-1000-24-10",962.5,2.469,1000,1000.872,0.440,2.469,3.90%,7.691,1000,1000.872,0.440,6.322,3.90%,6.414,1000,1000.872,0.440,6.136,3.90%,6.438,1000,1000.872,0.440,6.172,3.90%
"Frinhani, Carvalho & Soma\Random-1000-1000-24-2",962.5,2.303,1000,1000.874,0.442,2.303,3.90%,7.580,1000,1000.874,0.442,6.211,3.90%,6.390,1000,1000.874,0.442,6.114,3.90%,6.443,1000,1000.874,0.442,6.168,3.90%
"Frinhani, Carvalho & Soma\Random-1000-1000-24-3",962.5,2.392,1000,1000.877,0.437,2.392,3.90%,7.524,1000,1000.877,0.437,6.220,3.90%,6.285,1000,1000.877,0.437,6.002,3.90%,6.328,1000,1000.877,0.437,6.067,3.90%
"Frinhani, Carvalho & Soma\Random-1000-1000-24-4",962.5,2.259,1000,1000.873,0.441,2.259,3.90%,7.413,1000,1000.873,0.441,6.076,3.90%,6.468,1000,1000.873,0.441,6.184,3.90%,6.722,1000,1000.873,0.441,6.457,3.90%
"Frinhani, Carvalho & Soma\Random-1000-1000-24-5",962.5,2.307,1000,1000.877,0.440,2.307,3.90%,7.677,1000,1000.877,0.440,6.182,3.90%,6.916,1000,1000.877,0.440,6.588,3.90%,6.494,1000,1000.877,0.440,6.245,3.90%
"Frinhani, Carvalho & Soma\Random-1000-1000-24-6",962.5,2.257,1000,1000.872,0.432,2.257,3.90%,7.607,1000,1000.872,0.432,6.185,3.90%,6.239,1000,1000.872,0.432,5.971,3.90%,6.248,1000,1000.872,0.432,5.990,3.90%
"Frinhani, Carvalho & Soma\Random-1000-1000-24-7",962.5,2.259,1000,1000.870,0.435,2.259,3.90%,7.527,1000,1000.870,0.435,6.084,3.90%,6.490,1000,1000.870,0.435,6.205,3.90%,6.912,1000,1000.870,0.435,6.622,3.90%
"Frinhani, Carvalho & Soma\Random-1000-1000-24-8",962.5,2.367,1000,1000.874,0.440,2.367,3.90%,7.655,1000,1000.874,0.440,6.117,3.90%,7.094,1000,1000.874,0.440,6.811,3.90%,6.467,1000,1000.874,0.440,6.179,3.90%
"Frinhani, Carvalho & Soma\Random-1000-1000-24-9",962.5,2.341,1000,1000.876,0.435,2.341,3.90%,8.060,1000,1000.876,0.435,6.642,3.90%,6.381,1000,1000.876,0.435,6.108,3.90%,6.507,1000,1000.876,0.435,6.245,3.90%
"Frinhani, Carvalho & Soma\Random-1000-1000-28-1",972.4,2.709,1000,1000.896,0.541,2.709,2.84%,8.732,1000,1000.896,0.541,7.204,2.84%,7.603,1000,1000.896,0.541,7.314,2.84%,7.461,1000,1000.896,0.541,7.200,2.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-28-10",972.4,2.677,1000,1000.896,0.540,2.677,2.84%,8.731,1000,1000.896,0.540,7.198,2.84%,7.778,1000,1000.896,0.540,7.435,2.84%,7.499,1000,1000.896,0.540,7.236,2.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-28-2",972.4,2.582,1000,1000.892,0.540,2.582,2.84%,8.753,1000,1000.892,0.540,7.255,2.84%,7.465,1000,1000.892,0.540,7.190,2.84%,7.995,1000,1000.892,0.540,7.738,2.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-28-3",972.4,2.748,1000,1000.898,0.556,2.748,2.84%,9.015,1000,1000.898,0.556,7.463,2.84%,7.616,1000,1000.898,0.556,7.306,2.84%,7.601,1000,1000.898,0.556,7.339,2.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-28-4",972.4,2.664,1000,1000.894,0.540,2.664,2.84%,8.691,1000,1000.894,0.540,7.187,2.84%,7.610,1000,1000.894,0.540,7.319,2.84%,7.610,1000,1000.894,0.540,7.356,2.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-28-5",972.4,2.616,1000,1000.893,0.550,2.616,2.84%,9.093,1000,1000.893,0.550,7.515,2.84%,7.584,1000,1000.893,0.550,7.310,2.84%,7.568,1000,1000.893,0.550,7.282,2.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-28-6",972.4,2.636,1000,1000.893,0.549,2.636,2.84%,8.917,1000,1000.893,0.549,7.396,2.84%,7.659,1000,1000.893,0.549,7.376,2.84%,7.746,1000,1000.893,0.549,7.472,2.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-28-7",972.4,2.658,1000,1000.894,0.548,2.658,2.84%,9.028,1000,1000.894,0.548,7.368,2.84%,7.510,1000,1000.894,0.548,7.220,2.84%,7.711,1000,1000.894,0.548,7.449,2.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-28-8",972.4,2.686,1000,1000.896,0.544,2.686,2.84%,8.851,1000,1000.896,0.544,7.372,2.84%,7.512,1000,1000.896,0.544,7.229,2.84%,8.114,1000,1000.896,0.544,7.848,2.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-28-9",972.4,2.570,1000,1000.897,0.539,2.570,2.84%,8.768,1000,1000.897,0.539,7.205,2.84%,7.492,1000,1000.897,0.539,7.208,2.84%,7.476,1000,1000.897,0.539,7.216,2.84%
"Frinhani, Carvalho & Soma\Random-1000-1000-30-1",976.1,3.019,1000,1000.905,0.588,3.019,2.45%,9.427,1000,1000.903,0.588,7.836,2.45%,7.978,1000,1000.903,0.588,7.686,2.45%,8.028,1000,1000.903,0.588,7.746,2.45%
"Frinhani, Carvalho & Soma\Random-1000-1000-30-10",976.1,2.755,1000,1000.900,0.595,2.755,2.45%,9.589,1000,1000.900,0.595,8.007,2.45%,8.291,1000,1000.900,0.595,7.990,2.45%,8.082,1000,1000.900,0.595,7.812,2.45%
"Frinhani, Carvalho & Soma\Random-1000-1000-30-2",976.1,2.739,1000,1000.905,0.595,2.739,2.45%,9.365,1000,1000.905,0.595,7.776,2.45%,8.398,1000,1000.905,0.595,8.100,2.45%,8.040,1000,1000.905,0.595,7.773,2.45%
"Frinhani, Carvalho & Soma\Random-1000-1000-30-3",976.1,2.701,1000,1000.900,0.587,2.701,2.45%,9.710,1000,1000.898,0.587,8.015,2.45%,8.188,1000,1000.898,0.587,7.862,2.45%,8.111,1000,1000.898,0.587,7.849,2.45%
"Frinhani, Carvalho & Soma\Random-1000-1000-30-4",976.1,2.736,1000,1000.898,0.587,2.736,2.45%,9.312,1000,1000.898,0.587,7.702,2.45%,8.552,1000,1000.898,0.587,8.257,2.45%,8.315,1000,1000.898,0.587,8.024,2.45%
"Frinhani, Carvalho & Soma\Random-1000-1000-30-5",976.1,2.870,1000,1000.904,0.600,2.870,2.45%,9.493,1000,1000.904,0.600,7.833,2.45%,8.169,1000,1000.904,0.600,7.888,2.45%,8.414,1000,1000.904,0.600,8.141,2.45%
"Frinhani, Carvalho & Soma\Random-1000-1000-30-6",976.1,2.860,1000,1000.903,0.591,2.860,2.45%,9.460,1000,1000.903,0.591,7.888,2.45%,8.103,1000,1000.903,0.591,7.815,2.45%,8.223,1000,1000.903,0.591,7.950,2.45%
"Frinhani, Carvalho & Soma\Random-1000-1000-30-7",976.1,2.760,1000,1000.903,0.584,2.760,2.45%,9.389,1000,1000.903,0.584,7.845,2.45%,8.230,1000,1000.903,0.584,7.934,2.45%,8.303,1000,1000.903,0.584,8.043,2.45%
"Frinhani, Carvalho & Soma\Random-1000-1000-30-8",976.1,2.719,1000,1000.904,0.586,2.719,2.45%,9.848,1000,1000.904,0.586,8.088,2.45%,7.891,1000,1000.904,0.586,7.609,2.45%,8.376,1000,1000.904,0.586,8.108,2.45%
"Frinhani, Carvalho & Soma\Random-1000-1000-30-9",976.1,2.785,1000,1000.905,0.600,2.785,2.45%,9.858,1000,1000.905,0.600,8.229,2.45%,8.738,1000,1000.905,0.600,8.430,2.45%,8.123,1000,1000.905,0.600,7.859,2.45%
"Frinhani, Carvalho & Soma\Random-1000-1000-34-1",981.8,3.065,1000,1000.915,0.680,3.065,1.85%,10.827,1000,1000.915,0.680,8.827,1.85%,9.014,1000,1000.915,0.680,8.727,1.85%,9.153,1000,1000.915,0.680,8.860,1.85%
"Frinhani, Carvalho & Soma\Random-1000-1000-34-10",981.8,3.183,1000,1000.918,0.686,3.183,1.85%,10.693,1000,1000.918,0.686,8.934,1.85%,9.146,1000,1000.918,0.686,8.851,1.85%,9.413,1000,1000.918,0.686,9.154,1.85%
"Frinhani, Carvalho & Soma\Random-1000-1000-34-2",981.8,2.980,1000,1000.917,0.686,2.980,1.85%,10.698,1000,1000.917,0.686,9.004,1.85%,9.172,1000,1000.917,0.686,8.873,1.85%,9.008,1000,1000.917,0.686,8.749,1.85%
"Frinhani, Carvalho & Soma\Random-1000-1000-34-3",981.8,3.128,1000,1000.918,0.680,3.128,1.85%,10.480,1000,1000.918,0.680,8.808,1.85%,9.354,1000,1000.918,0.680,9.062,1.85%,9.088,1000,1000.918,0.680,8.805,1.85%
"Frinhani, Carvalho & Soma\Random-1000-1000-34-4",981.8,2.912,1000,1000.915,0.687,2.912,1.85%,10.693,1000,1000.915,0.687,8.954,1.85%,9.131,1000,1000.915,0.687,8.818,1.85%,9.721,1000,1000.915,0.687,9.393,1.85%
"Frinhani, Carvalho & Soma\Random-1000-1000-34-5",981.8,3.003,1000,1000.919,0.690,3.003,1.85%,10.768,1000,1000.919,0.690,9.034,1.85%,9.333,1000,1000.919,0.690,9.038,1.85%,9.274,1000,1000.919,0.690,8.998,1.85%
"Frinhani, Carvalho & Soma\Random-1000-1000-34-6",981.8,2.944,1000,1000.915,0.686,2.944,1.85%,11.031,1000,1000.915,0.686,9.332,1.85%,9.198,1000,1000.915,0.686,8.859,1.85%,8.987,1000,1000.915,0.686,8.707,1.85%
"Frinhani, Carvalho & Soma\Random-1000-1000-34-7",981.8,3.468,1000,1000.917,0.686,3.468,1.85%,10.541,1000,1000.915,0.686,8.872,1.85%,9.537,1000,1000.915,0.686,9.244,1.85%,9.001,1000,1000.915,0.686,8.733,1.85%
"Frinhani, Carvalho & Soma\Random-1000-1000-34-8",981.8,3.051,1000,1000.916,0.685,3.051,1.85%,10.381,1000,1000.915,0.685,8.679,1.85%,9.214,1000,1000.915,0.685,8.929,1.85%,9.381,1000,1000.915,0.685,9.060,1.85%
"Frinhani, Carvalho & Soma\Random-1000-1000-34-9",981.8,3.017,1000,1000.916,0.682,3.017,1.85%,10.676,1000,1000.916,0.682,8.965,1.85%,8.955,1000,1000.916,0.682,8.656,1.85%,9.519,1000,1000.916,0.682,9.259,1.85%
"Frinhani, Carvalho & Soma\Random-1000-1000-38-1",985.1,3.107,1000,1000.926,0.761,3.107,1.51%,11.663,1000,1000.926,0.761,9.870,1.51%,9.762,1000,1000.926,0.761,9.472,1.51%,9.514,1000,1000.926,0.761,9.249,1.51%
"Frinhani, Carvalho & Soma\Random-1000-1000-38-10",985.1,3.049,1000,1000.925,0.767,3.049,1.51%,11.129,1000,1000.925,0.767,9.319,1.51%,9.700,1000,1000.925,0.767,9.415,1.51%,9.540,1000,1000.925,0.767,9.282,1.51%
