instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
Faggioli_Bentivoglio\p1040n2,0.000,(10;18),0.400,0.000,(10;18),0.400,0.000,(10;18),0.400,0.000,(10;18),0.400
Faggioli_Bentivoglio\p1040n3,0.000,(10;14),0.311,0.000,(10;14),0.311,0.000,(10;14),0.311,0.000,(9;12),0.333
Faggioli_Bentivoglio\p1040n4,0.000,(10;10),0.222,0.000,(10;10),0.222,0.000,(10;10),0.222,0.000,(9;8),0.222
Faggioli_Bentivoglio\p1040n5,0.000,(10;13),0.289,0.000,(10;13),0.289,0.000,(10;13),0.289,0.000,(9;11),0.306
Faggioli_Bentivoglio\p1040n6,0.000,(10;16),0.356,0.000,(10;16),0.356,0.000,(10;16),0.356,0.000,(10;16),0.356
Faggioli_Bentivoglio\p1040n7,0.000,(10;15),0.333,0.000,(10;15),0.333,0.000,(10;15),0.333,0.000,(10;15),0.333
Faggioli_Bentivoglio\p1040n8,0.000,(10;14),0.311,0.000,(10;14),0.311,0.000,(10;14),0.311,0.000,(10;14),0.311
Faggioli_Bentivoglio\p1040n9,0.000,(10;11),0.244,0.000,(10;11),0.244,0.000,(10;11),0.244,0.000,(9;9),0.250
Faggioli_Bentivoglio\p1050n1,0.000,(10;12),0.267,0.000,(10;12),0.267,0.000,(10;12),0.267,0.000,(10;12),0.267
Faggioli_Bentivoglio\p1050n10,0.000,(10;12),0.267,0.000,(10;12),0.267,0.000,(10;12),0.267,0.000,(10;12),0.267
Faggioli_Bentivoglio\p1050n2,0.000,(10;7),0.156,0.000,(10;7),0.156,0.000,(10;7),0.156,0.000,(10;7),0.156
Faggioli_Bentivoglio\p1050n3,0.000,(10;7),0.156,0.000,(10;7),0.156,0.000,(10;7),0.156,0.000,(9;5),0.139
Faggioli_Bentivoglio\p1050n4,0.000,(10;10),0.222,0.000,(10;10),0.222,0.000,(10;10),0.222,0.000,(7;5),0.238
Faggioli_Bentivoglio\p1050n5,0.000,(10;14),0.311,0.000,(10;14),0.311,0.000,(10;14),0.311,0.000,(10;14),0.311
Faggioli_Bentivoglio\p1050n6,0.000,(10;10),0.222,0.000,(10;10),0.222,0.000,(10;10),0.222,0.000,(10;10),0.222
Faggioli_Bentivoglio\p1050n7,0.000,(10;8),0.178,0.000,(10;8),0.178,0.000,(10;8),0.178,0.000,(10;8),0.178
Faggioli_Bentivoglio\p1050n8,0.000,(10;11),0.244,0.000,(10;11),0.244,0.000,(10;11),0.244,0.000,(9;9),0.250
Faggioli_Bentivoglio\p1050n9,0.000,(10;7),0.156,0.000,(10;7),0.156,0.000,(10;7),0.156,0.000,(8;3),0.107
Faggioli_Bentivoglio\p1510n1,0.000,(15;75),0.714,0.000,(13;62),0.795,0.000,(15;75),0.714,0.000,(15;75),0.714
Faggioli_Bentivoglio\p1510n10,0.000,(15;71),0.676,0.000,(9;26),0.722,0.000,(15;71),0.676,0.000,(15;71),0.676
Faggioli_Bentivoglio\p1510n2,0.000,(15;79),0.752,0.000,(11;47),0.855,0.000,(15;79),0.752,0.000,(15;79),0.752
Faggioli_Bentivoglio\p1510n3,0.000,(15;78),0.743,0.000,(13;63),0.808,0.000,(15;78),0.743,0.000,(15;78),0.743
Faggioli_Bentivoglio\p1510n4,0.000,(15;79),0.752,0.000,(11;48),0.873,0.000,(15;79),0.752,0.000,(15;79),0.752
Faggioli_Bentivoglio\p1510n5,0.000,(15;73),0.695,0.000,(11;48),0.873,0.000,(15;73),0.695,0.000,(15;73),0.695
Faggioli_Bentivoglio\p1510n6,0.000,(15;75),0.714,0.000,(9;30),0.833,0.000,(15;75),0.714,0.000,(15;75),0.714
Faggioli_Bentivoglio\p1510n7,0.000,(15;72),0.686,0.000,(11;44),0.800,0.000,(15;72),0.686,0.000,(15;72),0.686
Faggioli_Bentivoglio\p1510n8,0.000,(15;72),0.686,0.000,(11;43),0.782,0.000,(15;72),0.686,0.000,(15;72),0.686
Faggioli_Bentivoglio\p1510n9,0.000,(15;80),0.762,0.000,(12;54),0.818,0.000,(15;80),0.762,0.000,(15;80),0.762
Faggioli_Bentivoglio\p1520n1,0.000,(15;53),0.505,0.001,(15;53),0.505,0.000,(15;53),0.505,0.000,(15;53),0.505
Faggioli_Bentivoglio\p1520n10,0.000,(15;59),0.562,0.000,(14;52),0.571,0.000,(15;59),0.562,0.000,(15;59),0.562
Faggioli_Bentivoglio\p1520n2,0.000,(15;45),0.429,0.000,(15;45),0.429,0.000,(15;45),0.429,0.000,(15;45),0.429
Faggioli_Bentivoglio\p1520n3,0.000,(15;50),0.476,0.000,(14;44),0.484,0.000,(15;50),0.476,0.000,(15;50),0.476
Faggioli_Bentivoglio\p1520n4,0.000,(15;45),0.429,0.000,(13;34),0.436,0.000,(15;45),0.429,0.000,(15;45),0.429
Faggioli_Bentivoglio\p1520n5,0.000,(15;47),0.448,0.000,(14;40),0.440,0.000,(15;47),0.448,0.000,(15;47),0.448
Faggioli_Bentivoglio\p1520n6,0.000,(15;56),0.533,0.000,(14;49),0.538,0.000,(15;56),0.533,0.000,(15;56),0.533
Faggioli_Bentivoglio\p1520n7,0.000,(15;47),0.448,0.000,(14;42),0.462,0.000,(15;47),0.448,0.000,(15;47),0.448
Faggioli_Bentivoglio\p1520n8,0.000,(15;48),0.457,0.001,(15;48),0.457,0.000,(15;48),0.457,0.000,(15;48),0.457
Faggioli_Bentivoglio\p1520n9,0.000,(15;49),0.467,0.000,(15;49),0.467,0.000,(15;49),0.467,0.000,(15;49),0.467
Faggioli_Bentivoglio\p1530n1,0.000,(15;40),0.381,0.000,(15;40),0.381,0.000,(15;40),0.381,0.000,(15;40),0.381
Faggioli_Bentivoglio\p1530n10,0.000,(15;36),0.343,0.000,(15;36),0.343,0.000,(15;36),0.343,0.000,(15;36),0.343
Faggioli_Bentivoglio\p1530n2,0.000,(15;33),0.314,0.000,(15;33),0.314,0.000,(15;33),0.314,0.000,(15;33),0.314
Faggioli_Bentivoglio\p1530n3,0.000,(15;44),0.419,0.000,(15;44),0.419,0.000,(15;44),0.419,0.000,(15;44),0.419
Faggioli_Bentivoglio\p1530n4,0.000,(15;34),0.324,0.000,(15;34),0.324,0.000,(15;34),0.324,0.000,(15;34),0.324
Faggioli_Bentivoglio\p1530n5,0.000,(15;29),0.276,0.000,(15;29),0.276,0.000,(15;29),0.276,0.000,(15;29),0.276
Faggioli_Bentivoglio\p1530n6,0.000,(15;32),0.305,0.000,(15;32),0.305,0.000,(15;32),0.305,0.000,(15;32),0.305
Faggioli_Bentivoglio\p1530n7,0.000,(15;38),0.362,0.000,(15;38),0.362,0.000,(15;38),0.362,0.000,(15;38),0.362
Faggioli_Bentivoglio\p1530n8,0.000,(15;36),0.343,0.000,(15;36),0.343,0.000,(15;36),0.343,0.000,(15;36),0.343
Faggioli_Bentivoglio\p1530n9,0.000,(15;38),0.362,0.000,(15;38),0.362,0.000,(15;38),0.362,0.000,(15;38),0.362
Faggioli_Bentivoglio\p1540n1,0.000,(15;38),0.362,0.000,(15;38),0.362,0.000,(15;38),0.362,0.000,(15;38),0.362
Faggioli_Bentivoglio\p1540n10,0.000,(15;32),0.305,0.000,(15;32),0.305,0.000,(15;32),0.305,0.000,(15;32),0.305
Faggioli_Bentivoglio\p1540n2,0.000,(15;24),0.229,0.000,(15;24),0.229,0.000,(15;24),0.229,0.000,(14;22),0.242
Faggioli_Bentivoglio\p1540n3,0.000,(15;26),0.248,0.000,(15;26),0.248,0.000,(15;26),0.248,0.000,(15;26),0.248
Faggioli_Bentivoglio\p1540n4,0.000,(15;28),0.267,0.000,(15;28),0.267,0.000,(15;28),0.267,0.000,(14;26),0.286
Faggioli_Bentivoglio\p1540n5,0.000,(15;31),0.295,0.000,(15;31),0.295,0.000,(15;31),0.295,0.000,(15;31),0.295
Faggioli_Bentivoglio\p1540n6,0.000,(15;24),0.229,0.000,(15;24),0.229,0.000,(15;24),0.229,0.000,(14;22),0.242
Faggioli_Bentivoglio\p1540n7,0.000,(15;23),0.219,0.000,(15;23),0.219,0.000,(15;23),0.219,0.000,(15;23),0.219
Faggioli_Bentivoglio\p1540n8,0.000,(15;29),0.276,0.000,(15;29),0.276,0.000,(15;29),0.276,0.000,(15;29),0.276
Faggioli_Bentivoglio\p1540n9,0.000,(15;28),0.267,0.000,(15;28),0.267,0.000,(15;28),0.267,0.000,(15;28),0.267
Faggioli_Bentivoglio\p1550n1,0.000,(15;28),0.267,0.001,(15;28),0.267,0.000,(15;28),0.267,0.000,(14;26),0.286
Faggioli_Bentivoglio\p1550n10,0.000,(15;27),0.257,0.000,(15;27),0.257,0.000,(15;27),0.257,0.000,(15;27),0.257
Faggioli_Bentivoglio\p1550n2,0.000,(15;24),0.229,0.000,(15;24),0.229,0.000,(15;24),0.229,0.000,(14;22),0.242
Faggioli_Bentivoglio\p1550n3,0.000,(15;25),0.238,0.000,(15;25),0.238,0.000,(15;25),0.238,0.000,(15;25),0.238
Faggioli_Bentivoglio\p1550n4,0.000,(15;23),0.219,0.001,(15;23),0.219,0.000,(15;23),0.219,0.000,(13;19),0.244
Faggioli_Bentivoglio\p1550n5,0.000,(15;20),0.190,0.000,(15;20),0.190,0.000,(15;20),0.190,0.000,(13;16),0.205
Faggioli_Bentivoglio\p1550n6,0.000,(15;18),0.171,0.002,(15;18),0.171,0.000,(15;18),0.171,0.000,(14;16),0.176
Faggioli_Bentivoglio\p1550n7,0.000,(15;18),0.171,0.000,(15;18),0.171,0.000,(15;18),0.171,0.000,(14;16),0.176
Faggioli_Bentivoglio\p1550n8,0.000,(15;24),0.229,0.000,(15;24),0.229,0.000,(15;24),0.229,0.000,(15;24),0.229
Faggioli_Bentivoglio\p1550n9,0.000,(15;25),0.238,0.000,(15;25),0.238,0.000,(15;25),0.238,0.000,(15;25),0.238
Faggioli_Bentivoglio\p2010n1,0.000,(20;147),0.774,0.000,(17;107),0.787,0.000,(20;147),0.774,0.000,(20;147),0.774
Faggioli_Bentivoglio\p2010n10,0.000,(20;137),0.721,0.000,(13;64),0.821,0.000,(20;137),0.721,0.000,(20;137),0.721
Faggioli_Bentivoglio\p2010n2,0.000,(20;141),0.742,0.000,(15;88),0.838,0.000,(20;141),0.742,0.000,(20;141),0.742
Faggioli_Bentivoglio\p2010n3,0.000,(20;131),0.689,0.000,(14;78),0.857,0.000,(20;131),0.689,0.000,(20;131),0.689
Faggioli_Bentivoglio\p2010n4,0.000,(20;151),0.795,0.000,(12;58),0.879,0.000,(20;151),0.795,0.000,(20;151),0.795
Faggioli_Bentivoglio\p2010n5,0.000,(20;141),0.742,0.000,(14;79),0.868,0.000,(20;141),0.742,0.000,(20;141),0.742
Faggioli_Bentivoglio\p2010n6,0.000,(20;134),0.705,0.000,(13;66),0.846,0.000,(20;134),0.705,0.000,(20;134),0.705
Faggioli_Bentivoglio\p2010n7,0.000,(20;136),0.716,0.000,(12;53),0.803,0.000,(20;136),0.716,0.000,(20;136),0.716
Faggioli_Bentivoglio\p2010n8,0.000,(20;149),0.784,0.000,(12;58),0.879,0.000,(20;149),0.784,0.000,(20;149),0.784
Faggioli_Bentivoglio\p2010n9,0.000,(20;129),0.679,0.000,(14;72),0.791,0.000,(20;129),0.679,0.000,(20;129),0.679
Faggioli_Bentivoglio\p2020n1,0.000,(20;90),0.474,0.000,(19;81),0.474,0.000,(20;90),0.474,0.000,(20;90),0.474
Faggioli_Bentivoglio\p2020n10,0.000,(20;96),0.505,0.000,(19;87),0.509,0.000,(20;96),0.505,0.000,(20;96),0.505
Faggioli_Bentivoglio\p2020n2,0.000,(20;91),0.479,0.000,(18;77),0.503,0.000,(20;91),0.479,0.000,(20;91),0.479
Faggioli_Bentivoglio\p2020n3,0.000,(20;81),0.426,0.000,(18;67),0.438,0.000,(20;81),0.426,0.000,(20;81),0.426
Faggioli_Bentivoglio\p2020n4,0.000,(20;101),0.532,0.000,(17;79),0.581,0.000,(20;101),0.532,0.000,(20;101),0.532
Faggioli_Bentivoglio\p2020n5,0.000,(20;96),0.505,0.000,(18;79),0.516,0.000,(20;96),0.505,0.000,(20;96),0.505
Faggioli_Bentivoglio\p2020n6,0.000,(20;88),0.463,0.000,(20;88),0.463,0.000,(20;88),0.463,0.000,(20;88),0.463
Faggioli_Bentivoglio\p2020n7,0.000,(20;92),0.484,0.000,(19;86),0.503,0.000,(20;92),0.484,0.000,(20;92),0.484
Faggioli_Bentivoglio\p2020n8,0.000,(20;104),0.547,0.001,(19;98),0.573,0.000,(20;104),0.547,0.000,(20;104),0.547
Faggioli_Bentivoglio\p2020n9,0.000,(20;79),0.416,0.000,(18;69),0.451,0.000,(20;79),0.416,0.000,(20;79),0.416
Faggioli_Bentivoglio\p2030n1,0.000,(20;70),0.368,0.000,(20;70),0.368,0.000,(20;70),0.368,0.000,(20;70),0.368
Faggioli_Bentivoglio\p2030n10,0.000,(20;74),0.389,0.000,(20;74),0.389,0.000,(20;74),0.389,0.000,(20;74),0.389
Faggioli_Bentivoglio\p2030n2,0.000,(20;75),0.395,0.000,(19;70),0.409,0.000,(20;75),0.395,0.000,(20;75),0.395
Faggioli_Bentivoglio\p2030n3,0.000,(20;70),0.368,0.000,(20;70),0.368,0.000,(20;70),0.368,0.000,(20;70),0.368
Faggioli_Bentivoglio\p2030n4,0.000,(20;59),0.311,0.000,(20;59),0.311,0.000,(20;59),0.311,0.000,(20;59),0.311
Faggioli_Bentivoglio\p2030n5,0.000,(20;68),0.358,0.000,(20;68),0.358,0.000,(20;68),0.358,0.000,(20;68),0.358
Faggioli_Bentivoglio\p2030n6,0.000,(20;65),0.342,0.000,(20;65),0.342,0.000,(20;65),0.342,0.000,(20;65),0.342
Faggioli_Bentivoglio\p2030n7,0.000,(20;72),0.379,0.000,(19;64),0.374,0.000,(20;72),0.379,0.000,(20;72),0.379
Faggioli_Bentivoglio\p2030n8,0.000,(20;72),0.379,0.000,(20;72),0.379,0.000,(20;72),0.379,0.000,(20;72),0.379
Faggioli_Bentivoglio\p2030n9,0.000,(20;74),0.389,0.000,(20;74),0.389,0.000,(20;74),0.389,0.000,(20;74),0.389
Faggioli_Bentivoglio\p2040n1,0.000,(20;49),0.258,0.000,(20;49),0.258,0.000,(20;49),0.258,0.000,(19;47),0.275
Faggioli_Bentivoglio\p2040n10,0.000,(20;54),0.284,0.000,(20;54),0.284,0.000,(20;54),0.284,0.000,(20;54),0.284
Faggioli_Bentivoglio\p2040n2,0.000,(20;50),0.263,0.000,(20;50),0.263,0.000,(20;50),0.263,0.000,(20;50),0.263
Faggioli_Bentivoglio\p2040n3,0.000,(20;62),0.326,0.000,(20;62),0.326,0.000,(20;62),0.326,0.000,(20;62),0.326
Faggioli_Bentivoglio\p2040n4,0.000,(20;54),0.284,0.000,(20;54),0.284,0.000,(20;54),0.284,0.000,(20;54),0.284
Faggioli_Bentivoglio\p2040n5,0.000,(20;45),0.237,0.000,(20;45),0.237,0.000,(20;45),0.237,0.000,(20;45),0.237
Faggioli_Bentivoglio\p2040n6,0.000,(20;51),0.268,0.000,(20;51),0.268,0.000,(20;51),0.268,0.000,(20;51),0.268
Faggioli_Bentivoglio\p2040n7,0.000,(20;52),0.274,0.000,(19;48),0.281,0.000,(20;52),0.274,0.000,(20;52),0.274
Faggioli_Bentivoglio\p2040n8,0.000,(20;50),0.263,0.001,(20;50),0.263,0.000,(20;50),0.263,0.000,(20;50),0.263
Faggioli_Bentivoglio\p2040n9,0.000,(20;59),0.311,0.000,(19;57),0.333,0.016,(20;59),0.311,0.000,(20;59),0.311
Faggioli_Bentivoglio\p2050n1,0.000,(20;31),0.163,0.000,(20;31),0.163,0.000,(20;31),0.163,0.000,(17;25),0.184
Faggioli_Bentivoglio\p2050n10,0.000,(20;49),0.258,0.000,(20;49),0.258,0.000,(20;49),0.258,0.000,(20;49),0.258
Faggioli_Bentivoglio\p2050n2,0.000,(20;44),0.232,0.000,(20;44),0.232,0.000,(20;44),0.232,0.000,(20;44),0.232
Faggioli_Bentivoglio\p2050n3,0.000,(20;39),0.205,0.001,(19;36),0.211,0.000,(20;39),0.205,0.000,(18;35),0.229
Faggioli_Bentivoglio\p2050n4,0.000,(20;40),0.211,0.000,(20;40),0.211,0.000,(20;40),0.211,0.000,(20;40),0.211
Faggioli_Bentivoglio\p2050n5,0.000,(20;35),0.184,0.000,(20;35),0.184,0.000,(20;35),0.184,0.000,(20;35),0.184
Faggioli_Bentivoglio\p2050n6,0.000,(20;47),0.247,0.000,(20;47),0.247,0.000,(20;47),0.247,0.000,(20;47),0.247
Faggioli_Bentivoglio\p2050n7,0.000,(20;55),0.289,0.000,(19;47),0.275,0.000,(20;55),0.289,0.000,(20;55),0.289
Faggioli_Bentivoglio\p2050n8,0.000,(20;33),0.174,0.000,(20;33),0.174,0.000,(20;33),0.174,0.000,(20;33),0.174
Faggioli_Bentivoglio\p2050n9,0.000,(20;43),0.226,0.000,(20;43),0.226,0.000,(20;43),0.226,0.000,(20;43),0.226
Faggioli_Bentivoglio\p2510n1,0.000,(25;221),0.737,0.000,(18;123),0.804,0.000,(25;221),0.737,0.000,(25;221),0.737
Faggioli_Bentivoglio\p2510n10,0.000,(25;218),0.727,0.000,(16;98),0.817,0.000,(25;218),0.727,0.000,(25;218),0.727
Faggioli_Bentivoglio\p2510n2,0.000,(25;229),0.763,0.000,(16;105),0.875,0.000,(25;229),0.763,0.000,(25;229),0.763
Faggioli_Bentivoglio\p2510n3,0.000,(25;224),0.747,0.000,(14;80),0.879,0.000,(25;224),0.747,0.000,(25;224),0.747
Faggioli_Bentivoglio\p2510n4,0.000,(25;216),0.720,0.000,(17;112),0.824,0.000,(25;216),0.720,0.000,(25;216),0.720
Faggioli_Bentivoglio\p2510n5,0.000,(25;228),0.760,0.001,(15;91),0.867,0.000,(25;228),0.760,0.000,(25;228),0.760
Faggioli_Bentivoglio\p2510n6,0.000,(25;228),0.760,0.000,(16;102),0.850,0.000,(25;228),0.760,0.000,(25;228),0.760
Faggioli_Bentivoglio\p2510n7,0.000,(25;216),0.720,0.000,(16;97),0.808,0.000,(25;216),0.720,0.000,(25;216),0.720
Faggioli_Bentivoglio\p2510n8,0.000,(25;204),0.680,0.000,(18;115),0.752,0.000,(25;204),0.680,0.000,(25;204),0.680
Faggioli_Bentivoglio\p2510n9,0.000,(25;207),0.690,0.000,(17;112),0.824,0.000,(25;207),0.690,0.000,(25;207),0.690
Faggioli_Bentivoglio\p2520n1,0.000,(25;140),0.467,0.000,(24;129),0.467,0.000,(25;140),0.467,0.000,(25;140),0.467
Faggioli_Bentivoglio\p2520n10,0.000,(25;159),0.530,0.000,(23;138),0.545,0.000,(25;159),0.530,0.000,(25;159),0.530
Faggioli_Bentivoglio\p2520n2,0.000,(25;136),0.453,0.001,(22;109),0.472,0.000,(25;136),0.453,0.000,(25;136),0.453
Faggioli_Bentivoglio\p2520n3,0.000,(25;160),0.533,0.000,(22;130),0.563,0.000,(25;160),0.533,0.000,(25;160),0.533
Faggioli_Bentivoglio\p2520n4,0.000,(25;142),0.473,0.000,(22;114),0.494,0.000,(25;142),0.473,0.000,(25;142),0.473
Faggioli_Bentivoglio\p2520n5,0.000,(25;154),0.513,0.000,(25;154),0.513,0.000,(25;154),0.513,0.000,(25;154),0.513
Faggioli_Bentivoglio\p2520n6,0.000,(25;147),0.490,0.000,(23;131),0.518,0.000,(25;147),0.490,0.000,(25;147),0.490
Faggioli_Bentivoglio\p2520n7,0.000,(25;137),0.457,0.000,(22;113),0.489,0.000,(25;137),0.457,0.000,(25;137),0.457
Faggioli_Bentivoglio\p2520n8,0.000,(25;132),0.440,0.000,(24;128),0.464,0.000,(25;132),0.440,0.000,(25;132),0.440
Faggioli_Bentivoglio\p2520n9,0.000,(25;125),0.417,0.000,(22;106),0.459,0.000,(25;125),0.417,0.000,(25;125),0.417
Faggioli_Bentivoglio\p2530n1,0.000,(25;99),0.330,0.000,(24;96),0.348,0.000,(25;99),0.330,0.000,(25;99),0.330
Faggioli_Bentivoglio\p2530n10,0.000,(25;110),0.367,0.000,(25;110),0.367,0.000,(25;110),0.367,0.000,(25;110),0.367
Faggioli_Bentivoglio\p2530n2,0.000,(25;112),0.373,0.001,(25;112),0.373,0.000,(25;112),0.373,0.000,(25;112),0.373
Faggioli_Bentivoglio\p2530n3,0.000,(25;91),0.303,0.001,(25;91),0.303,0.000,(25;91),0.303,0.000,(25;91),0.303
Faggioli_Bentivoglio\p2530n4,0.000,(25;111),0.370,0.000,(25;111),0.370,0.000,(25;111),0.370,0.000,(25;111),0.370
Faggioli_Bentivoglio\p2530n5,0.000,(25;102),0.340,0.000,(25;102),0.340,0.000,(25;102),0.340,0.000,(25;102),0.340
Faggioli_Bentivoglio\p2530n6,0.000,(25;122),0.407,0.000,(25;122),0.407,0.000,(25;122),0.407,0.000,(25;122),0.407
Faggioli_Bentivoglio\p2530n7,0.000,(25;119),0.397,0.000,(25;119),0.397,0.000,(25;119),0.397,0.000,(25;119),0.397
Faggioli_Bentivoglio\p2530n8,0.000,(25;106),0.353,0.001,(24;97),0.351,0.000,(25;106),0.353,0.000,(25;106),0.353
Faggioli_Bentivoglio\p2530n9,0.000,(25;111),0.370,0.001,(24;100),0.362,0.000,(25;111),0.370,0.000,(25;111),0.370
Faggioli_Bentivoglio\p2540n1,0.000,(25;75),0.250,0.000,(25;75),0.250,0.000,(25;75),0.250,0.000,(25;75),0.250
Faggioli_Bentivoglio\p2540n10,0.000,(25;89),0.297,0.000,(25;89),0.297,0.000,(25;89),0.297,0.000,(25;89),0.297
Faggioli_Bentivoglio\p2540n2,0.000,(25;83),0.277,0.001,(25;83),0.277,0.000,(25;83),0.277,0.000,(25;83),0.277
Faggioli_Bentivoglio\p2540n3,0.000,(25;80),0.267,0.001,(25;80),0.267,0.000,(25;80),0.267,0.000,(25;80),0.267
Faggioli_Bentivoglio\p2540n4,0.000,(25;73),0.243,0.000,(24;69),0.250,0.000,(25;73),0.243,0.000,(25;73),0.243
Faggioli_Bentivoglio\p2540n5,0.000,(25;81),0.270,0.000,(23;73),0.289,0.000,(25;81),0.270,0.000,(25;81),0.270
Faggioli_Bentivoglio\p2540n6,0.000,(25;83),0.277,0.001,(25;83),0.277,0.000,(25;83),0.277,0.000,(25;83),0.277
Faggioli_Bentivoglio\p2540n7,0.000,(25;97),0.323,0.000,(24;94),0.341,0.000,(25;97),0.323,0.000,(25;97),0.323
Faggioli_Bentivoglio\p2540n8,0.000,(25;105),0.350,0.000,(25;105),0.350,0.000,(25;105),0.350,0.000,(25;105),0.350
Faggioli_Bentivoglio\p2540n9,0.000,(25;94),0.313,0.001,(25;94),0.313,0.000,(25;94),0.313,0.000,(25;94),0.313
Faggioli_Bentivoglio\p2550n1,0.000,(25;73),0.243,0.000,(25;73),0.243,0.000,(25;73),0.243,0.000,(25;73),0.243
