instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
Faggioli_Bentivoglio\p1010n1,0.000,(10;30),0.667,0.000,(8;22),0.786,0.000,(10;30),0.667,0.000,(10;30),0.667
Faggioli_Bentivoglio\p1010n10,0.000,(10;28),0.622,0.000,(7;13),0.619,0.000,(10;28),0.622,0.000,(10;28),0.622
Faggioli_Bentivoglio\p1010n2,0.000,(10;33),0.733,0.000,(10;33),0.733,0.000,(10;33),0.733,0.000,(10;33),0.733
Faggioli_Bentivoglio\p1010n3,0.000,(10;38),0.844,0.000,(10;38),0.844,0.000,(10;38),0.844,0.000,(10;38),0.844
Faggioli_Bentivoglio\p1010n4,0.000,(10;29),0.644,0.000,(7;13),0.619,0.000,(10;29),0.644,0.000,(10;29),0.644
Faggioli_Bentivoglio\p1010n5,0.000,(10;32),0.711,0.000,(8;25),0.893,0.000,(10;32),0.711,0.000,(10;32),0.711
Faggioli_Bentivoglio\p1010n6,0.000,(10;30),0.667,0.000,(6;13),0.867,0.000,(10;30),0.667,0.000,(10;30),0.667
Faggioli_Bentivoglio\p1010n7,0.000,(10;28),0.622,0.000,(8;24),0.857,0.000,(10;28),0.622,0.000,(10;28),0.622
Faggioli_Bentivoglio\p1010n8,0.000,(10;34),0.756,0.000,(9;29),0.806,0.000,(10;34),0.756,0.000,(10;34),0.756
Faggioli_Bentivoglio\p1010n9,0.000,(10;36),0.800,0.000,(7;18),0.857,0.000,(10;36),0.800,0.000,(10;36),0.800
Faggioli_Bentivoglio\p1020n1,0.000,(10;18),0.400,0.000,(10;18),0.400,0.000,(10;18),0.400,0.000,(10;18),0.400
Faggioli_Bentivoglio\p1020n10,0.000,(10;24),0.533,0.000,(10;24),0.533,0.000,(10;24),0.533,0.000,(10;24),0.533
Faggioli_Bentivoglio\p1020n2,0.000,(10;27),0.600,0.000,(10;27),0.600,0.000,(10;27),0.600,0.000,(10;27),0.600
Faggioli_Bentivoglio\p1020n3,0.000,(10;16),0.356,0.000,(10;16),0.356,0.000,(10;16),0.356,0.000,(9;14),0.389
Faggioli_Bentivoglio\p1020n4,0.000,(10;25),0.556,0.000,(10;25),0.556,0.000,(10;25),0.556,0.000,(10;25),0.556
Faggioli_Bentivoglio\p1020n5,0.000,(10;19),0.422,0.000,(10;19),0.422,0.000,(10;19),0.422,0.000,(10;19),0.422
Faggioli_Bentivoglio\p1020n6,0.000,(10;19),0.422,0.000,(9;14),0.389,0.000,(10;19),0.422,0.000,(10;19),0.422
Faggioli_Bentivoglio\p1020n7,0.000,(10;17),0.378,0.000,(9;14),0.389,0.000,(10;17),0.378,0.000,(10;17),0.378
Faggioli_Bentivoglio\p1020n8,0.000,(10;20),0.444,0.000,(9;17),0.472,0.000,(10;20),0.444,0.000,(10;20),0.444
Faggioli_Bentivoglio\p1020n9,0.000,(10;31),0.689,0.000,(10;31),0.689,0.000,(10;31),0.689,0.000,(10;31),0.689
Faggioli_Bentivoglio\p1030n1,0.000,(10;22),0.489,0.000,(10;22),0.489,0.000,(10;22),0.489,0.000,(10;22),0.489
Faggioli_Bentivoglio\p1030n10,0.000,(10;15),0.333,0.000,(10;15),0.333,0.000,(10;15),0.333,0.000,(10;15),0.333
Faggioli_Bentivoglio\p1030n2,0.000,(10;17),0.378,0.000,(10;17),0.378,0.000,(10;17),0.378,0.000,(10;17),0.378
Faggioli_Bentivoglio\p1030n3,0.000,(10;16),0.356,0.000,(10;16),0.356,0.000,(10;16),0.356,0.000,(10;16),0.356
Faggioli_Bentivoglio\p1030n4,0.000,(10;13),0.289,0.000,(10;13),0.289,0.000,(10;13),0.289,0.000,(9;11),0.306
Faggioli_Bentivoglio\p1030n5,0.000,(10;21),0.467,0.000,(10;21),0.467,0.000,(10;21),0.467,0.000,(10;21),0.467
Faggioli_Bentivoglio\p1030n6,0.000,(10;14),0.311,0.000,(10;14),0.311,0.000,(10;14),0.311,0.000,(9;12),0.333
Faggioli_Bentivoglio\p1030n7,0.000,(10;16),0.356,0.000,(10;16),0.356,0.000,(10;16),0.356,0.000,(10;16),0.356
Faggioli_Bentivoglio\p1030n8,0.000,(10;10),0.222,0.000,(10;10),0.222,0.000,(10;10),0.222,0.000,(10;10),0.222
Faggioli_Bentivoglio\p1030n9,0.000,(10;12),0.267,0.000,(10;12),0.267,0.000,(10;12),0.267,0.000,(9;10),0.278
Faggioli_Bentivoglio\p1040n1,0.000,(10;11),0.244,0.000,(10;11),0.244,0.000,(10;11),0.244,0.000,(10;11),0.244
Faggioli_Bentivoglio\p1040n10,0.000,(10;12),0.267,0.000,(10;12),0.267,0.000,(10;12),0.267,0.000,(10;12),0.267
