instancia,valorOtimo,sem_tempo_total,sem_sol_nmpa,sem_sol_mmosp,sem_densidade,sem_tempo_seq,sem_gap,p1_tempo_total,p1_sol_nmpa,p1_sol_mmosp,p1_densidade,p1_tempo_seq,p1_gap,p2_tempo_total,p2_sol_nmpa,p2_sol_mmosp,p2_densidade,p2_tempo_seq,p2_gap,p3_tempo_total,p3_sol_nmpa,p3_sol_mmosp,p3_densidade,p3_tempo_seq,p3_gap
Challenge\GP1,45,0.004,48,48.958,1.000,0.004,6.67%,0.013,48,48.957,1.000,0.011,6.67%,0.013,48,48.958,1.000,0.012,6.67%,0.012,48,48.958,1.000,0.008,6.67%
Challenge\GP2,40,0.005,48,48.906,1.000,0.005,20.00%,0.016,48,48.902,1.000,0.012,20.00%,0.011,48,48.906,1.000,0.010,20.00%,0.010,48,48.906,1.000,0.009,20.00%
Challenge\GP3,40,0.005,45,45.944,1.000,0.005,12.50%,0.019,45,45.944,1.000,0.016,12.50%,0.011,45,45.944,1.000,0.010,12.50%,0.012,45,45.944,1.000,0.011,12.50%
Challenge\GP4,30,0.005,44,44.859,1.000,0.005,46.67%,0.015,41,41.871,1.000,0.013,36.67%,0.010,41,41.876,1.000,0.008,36.67%,0.020,41,41.876,1.000,0.020,36.67%
Challenge\GP5,95,0.039,100,100.975,1.000,0.039,5.26%,0.082,100,100.975,1.000,0.062,5.26%,0.052,100,100.975,1.000,0.048,5.26%,0.044,100,100.975,1.000,0.042,5.26%
Challenge\GP6,75,0.025,99,99.883,1.000,0.025,32.00%,0.056,99,99.883,1.000,0.042,32.00%,0.049,99,99.883,1.000,0.046,32.00%,0.044,99,99.883,1.000,0.041,32.00%
Challenge\GP7,75,0.028,89,89.928,1.000,0.028,18.67%,0.057,89,89.928,1.000,0.042,18.67%,0.040,89,89.928,1.000,0.037,18.67%,0.044,89,89.928,1.000,0.042,18.67%
Challenge\GP8,60,0.023,78,78.888,1.000,0.023,30.00%,0.060,78,78.842,1.000,0.044,30.00%,0.053,78,78.882,1.000,0.048,30.00%,0.040,78,78.882,1.000,0.037,30.00%
Challenge\Miller,13,0.001,13,13.783,0.410,0.001,0.00%,0.003,13,13.783,0.410,0.002,0.00%,0.003,13,13.783,0.410,0.003,0.00%,0.002,13,13.783,0.410,0.002,0.00%
Challenge\NWRS1,3,0.000,3,3.800,0.311,0.000,0.00%,0.000,3,3.950,0.311,0.000,0.00%,0.001,3,3.800,0.311,0.001,0.00%,0.001,3,3.800,0.311,0.000,0.00%
Challenge\NWRS2,4,0.000,6,6.750,0.500,0.000,50.00%,0.001,6,6.775,0.500,0.000,50.00%,0.001,6,6.750,0.500,0.001,50.00%,0.001,6,6.750,0.500,0.000,50.00%
Challenge\NWRS3,7,0.000,8,8.630,0.403,0.000,14.29%,0.001,8,8.670,0.403,0.000,14.29%,0.001,8,8.655,0.403,0.001,14.29%,0.010,8,8.655,0.403,0.010,14.29%
Challenge\NWRS4,7,0.001,8,8.790,0.570,0.001,14.29%,0.001,7,7.846,0.570,0.000,0.00%,0.001,8,8.765,0.570,0.001,14.29%,0.003,8,8.765,0.570,0.002,14.29%
Challenge\NWRS5,12,0.000,13,13.767,0.552,0.000,8.33%,0.002,16,16.817,0.552,0.001,33.33%,0.001,18,18.687,0.552,0.001,50.00%,0.001,18,18.687,0.552,0.001,50.00%
Challenge\NWRS6,12,0.002,14,14.769,0.646,0.002,16.67%,0.002,17,17.712,0.646,0.002,41.67%,0.001,17,17.727,0.646,0.001,41.67%,0.002,17,17.727,0.646,0.001,41.67%
Challenge\NWRS7,10,0.001,15,15.568,0.327,0.001,50.00%,0.003,15,15.554,0.327,0.002,50.00%,0.004,15,15.568,0.327,0.003,50.00%,0.006,15,15.568,0.327,0.005,50.00%
Challenge\NWRS8,16,0.002,18,18.764,0.490,0.002,12.50%,0.005,17,17.767,0.490,0.003,6.25%,0.005,18,18.764,0.490,0.004,12.50%,0.005,18,18.764,0.490,0.004,12.50%
Challenge\Shaw1,13.68,0.000,14,14.825,0.895,0.000,2.34%,0.001,14,14.825,0.895,0.000,2.34%,0.001,14,14.825,0.895,0.001,2.34%,0.001,14,14.825,0.895,0.001,2.34%
Challenge\Shaw10,13.68,0.000,16,16.788,0.826,0.000,16.96%,0.001,16,16.788,0.826,0.001,16.96%,0.001,16,16.788,0.826,0.001,16.96%,0.001,16,16.788,0.826,0.001,16.96%
Challenge\Shaw11,13.68,0.000,15,15.787,0.816,0.000,9.65%,0.001,18,18.686,0.816,0.001,31.58%,0.003,18,18.686,0.816,0.002,31.58%,0.002,18,18.686,0.816,0.002,31.58%
Challenge\Shaw12,13.68,0.001,16,16.794,0.868,0.001,16.96%,0.001,16,16.794,0.868,0.001,16.96%,0.001,16,16.794,0.868,0.001,16.96%,0.001,16,16.794,0.868,0.001,16.96%
Challenge\Shaw13,13.68,0.001,15,15.740,0.863,0.001,9.65%,0.001,15,15.740,0.863,0.000,9.65%,0.001,15,15.740,0.863,0.001,9.65%,0.001,15,15.740,0.863,0.001,9.65%
Challenge\Shaw14,13.68,0.000,14,14.857,0.858,0.000,2.34%,0.001,14,14.821,0.858,0.001,2.34%,0.001,14,14.857,0.858,0.001,2.34%,0.003,14,14.857,0.858,0.002,2.34%
Challenge\Shaw15,13.68,0.000,15,15.727,0.816,0.000,9.65%,0.001,15,15.727,0.816,0.001,9.65%,0.001,15,15.727,0.816,0.001,9.65%,0.001,15,15.727,0.816,0.001,9.65%
Challenge\Shaw16,13.68,0.000,14,14.807,0.879,0.000,2.34%,0.005,15,15.787,0.879,0.002,9.65%,0.002,15,15.783,0.879,0.002,9.65%,0.013,15,15.783,0.879,0.013,9.65%
Challenge\Shaw17,13.68,0.000,15,15.783,0.874,0.000,9.65%,0.001,15,15.797,0.874,0.001,9.65%,0.002,15,15.797,0.874,0.001,9.65%,0.001,15,15.797,0.874,0.001,9.65%
Challenge\Shaw18,13.68,0.000,16,16.809,0.868,0.000,16.96%,0.001,16,16.809,0.868,0.001,16.96%,0.001,16,16.809,0.868,0.001,16.96%,0.001,16,16.809,0.868,0.001,16.96%
Challenge\Shaw19,13.68,0.000,15,15.763,0.937,0.000,9.65%,0.001,15,15.763,0.937,0.001,9.65%,0.001,15,15.763,0.937,0.001,9.65%,0.002,15,15.763,0.937,0.001,9.65%
Challenge\Shaw2,13.68,0.000,13,13.808,0.900,0.000,-4.97%,0.002,13,13.808,0.900,0.001,-4.97%,0.001,13,13.808,0.900,0.001,-4.97%,0.001,13,13.808,0.900,0.001,-4.97%
Challenge\Shaw20,13.68,0.000,15,15.773,0.858,0.000,9.65%,0.001,15,15.797,0.858,0.001,9.65%,0.001,15,15.793,0.858,0.001,9.65%,0.001,15,15.793,0.858,0.001,9.65%
Challenge\Shaw21,13.68,0.002,15,15.727,0.879,0.002,9.65%,0.004,15,15.727,0.879,0.002,9.65%,0.001,15,15.727,0.879,0.001,9.65%,0.002,15,15.727,0.879,0.002,9.65%
Challenge\Shaw22,13.68,0.005,15,15.757,0.884,0.005,9.65%,0.002,15,15.763,0.884,0.001,9.65%,0.001,15,15.757,0.884,0.001,9.65%,0.003,15,15.757,0.884,0.002,9.65%
Challenge\Shaw23,13.68,0.010,16,16.741,0.926,0.010,16.96%,0.001,16,16.738,0.926,0.001,16.96%,0.002,16,16.741,0.926,0.001,16.96%,0.001,16,16.741,0.926,0.001,16.96%
Challenge\Shaw24,13.68,0.000,15,15.770,0.879,0.000,9.65%,0.001,15,15.773,0.879,0.001,9.65%,0.001,15,15.773,0.879,0.001,9.65%,0.001,15,15.773,0.879,0.001,9.65%
Challenge\Shaw25,13.68,0.001,16,16.738,0.858,0.001,16.96%,0.001,16,16.738,0.858,0.001,16.96%,0.001,16,16.738,0.858,0.001,16.96%,0.001,16,16.738,0.858,0.001,16.96%
Challenge\Shaw3,13.68,0.001,16,16.762,0.879,0.001,16.96%,0.001,15,15.763,0.879,0.001,9.65%,0.001,15,15.763,0.879,0.001,9.65%,0.001,15,15.763,0.879,0.001,9.65%
Challenge\Shaw4,13.68,0.001,14,14.779,0.879,0.001,2.34%,0.001,15,15.750,0.879,0.001,9.65%,0.002,15,15.750,0.879,0.002,9.65%,0.002,15,15.750,0.879,0.002,9.65%
Challenge\Shaw5,13.68,0.000,16,16.772,0.863,0.000,16.96%,0.005,16,16.772,0.863,0.002,16.96%,0.003,16,16.772,0.863,0.003,16.96%,0.004,16,16.772,0.863,0.004,16.96%
Challenge\Shaw6,13.68,0.001,15,15.790,0.842,0.001,9.65%,0.001,15,15.787,0.842,0.001,9.65%,0.002,15,15.790,0.842,0.002,9.65%,0.002,15,15.790,0.842,0.001,9.65%
Challenge\Shaw7,13.68,0.000,13,13.785,0.911,0.000,-4.97%,0.001,13,13.792,0.911,0.001,-4.97%,0.001,13,13.785,0.911,0.001,-4.97%,0.001,13,13.785,0.911,0.001,-4.97%
Challenge\Shaw8,13.68,0.001,17,17.782,0.889,0.001,24.27%,0.006,15,15.797,0.889,0.005,9.65%,0.004,15,15.797,0.889,0.003,9.65%,0.005,15,15.797,0.889,0.004,9.65%
Challenge\Shaw9,13.68,0.001,13,13.792,0.832,0.001,-4.97%,0.001,13,13.792,0.832,0.001,-4.97%,0.002,13,13.792,0.832,0.001,-4.97%,0.001,13,13.792,0.832,0.001,-4.97%
