instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
Challenge\GP1,0.000,(50;1225),1.000,0.002,(42;861),1.000,0.001,(50;1225),1.000,0.001,(50;1225),1.000
Challenge\GP2,0.000,(50;1225),1.000,0.002,(48;1128),1.000,0.001,(50;1225),1.000,0.001,(50;1225),1.000
Challenge\GP3,0.000,(50;1225),1.000,0.003,(50;1225),1.000,0.001,(50;1225),1.000,0.001,(50;1225),1.000
Challenge\GP4,0.000,(50;1225),1.000,0.002,(38;703),1.000,0.001,(50;1225),1.000,0.001,(50;1225),1.000
Challenge\GP5,0.000,(100;4950),1.000,0.016,(100;4950),1.000,0.002,(100;4950),1.000,0.002,(100;4950),1.000
Challenge\GP6,0.000,(100;4950),1.000,0.012,(100;4950),1.000,0.002,(100;4950),1.000,0.002,(100;4950),1.000
Challenge\GP7,0.000,(100;4950),1.000,0.012,(99;4851),1.000,0.004,(100;4950),1.000,0.002,(100;4950),1.000
Challenge\GP8,0.000,(100;4950),1.000,0.012,(96;4560),1.000,0.002,(100;4950),1.000,0.002,(100;4950),1.000
Challenge\Miller,0.000,(40;320),0.410,0.001,(40;320),0.410,0.000,(40;320),0.410,0.001,(40;320),0.410
Challenge\NWRS1,0.000,(20;59),0.311,0.000,(8;13),0.464,0.000,(20;59),0.311,0.000,(20;59),0.311
Challenge\NWRS2,0.000,(20;95),0.500,0.000,(11;36),0.655,0.000,(20;95),0.500,0.000,(20;95),0.500
Challenge\NWRS3,0.000,(25;121),0.403,0.000,(13;44),0.564,0.000,(25;121),0.403,0.000,(25;121),0.403
Challenge\NWRS4,0.000,(25;171),0.570,0.000,(15;79),0.752,0.000,(25;171),0.570,0.000,(25;171),0.570
Challenge\NWRS5,0.000,(30;240),0.552,0.001,(20;147),0.774,0.000,(30;240),0.552,0.000,(30;240),0.552
Challenge\NWRS6,0.000,(30;281),0.646,0.001,(23;194),0.767,0.000,(30;281),0.646,0.000,(30;281),0.646
Challenge\NWRS7,0.000,(59;559),0.327,0.001,(33;236),0.447,0.001,(59;559),0.327,0.001,(59;559),0.327
Challenge\NWRS8,0.000,(59;838),0.490,0.001,(40;488),0.626,0.001,(59;838),0.490,0.001,(59;838),0.490
Challenge\Shaw1,0.000,(20;170),0.895,0.000,(19;152),0.889,0.000,(20;170),0.895,0.000,(20;170),0.895
Challenge\Shaw10,0.000,(20;157),0.826,0.000,(18;129),0.843,0.000,(20;157),0.826,0.000,(20;157),0.826
Challenge\Shaw11,0.000,(20;155),0.816,0.000,(19;142),0.830,0.000,(20;155),0.816,0.000,(20;155),0.816
Challenge\Shaw12,0.000,(20;165),0.868,0.000,(20;165),0.868,0.000,(20;165),0.868,0.000,(20;165),0.868
Challenge\Shaw13,0.000,(20;164),0.863,0.001,(18;133),0.869,0.000,(20;164),0.863,0.000,(20;164),0.863
Challenge\Shaw14,0.000,(20;163),0.858,0.001,(17;116),0.853,0.000,(20;163),0.858,0.000,(20;163),0.858
Challenge\Shaw15,0.000,(20;155),0.816,0.000,(19;139),0.813,0.000,(20;155),0.816,0.000,(20;155),0.816
Challenge\Shaw16,0.000,(20;167),0.879,0.001,(19;150),0.877,0.000,(20;167),0.879,0.000,(20;167),0.879
Challenge\Shaw17,0.000,(20;166),0.874,0.001,(19;147),0.860,0.000,(20;166),0.874,0.000,(20;166),0.874
Challenge\Shaw18,0.000,(20;165),0.868,0.000,(19;147),0.860,0.000,(20;165),0.868,0.000,(20;165),0.868
Challenge\Shaw19,0.000,(20;178),0.937,0.001,(18;142),0.928,0.000,(20;178),0.937,0.000,(20;178),0.937
Challenge\Shaw2,0.000,(20;171),0.900,0.000,(18;136),0.889,0.000,(20;171),0.900,0.000,(20;171),0.900
Challenge\Shaw20,0.000,(20;163),0.858,0.001,(19;148),0.865,0.000,(20;163),0.858,0.000,(20;163),0.858
Challenge\Shaw21,0.000,(20;167),0.879,0.000,(19;152),0.889,0.000,(20;167),0.879,0.000,(20;167),0.879
Challenge\Shaw22,0.000,(20;168),0.884,0.000,(18;136),0.889,0.000,(20;168),0.884,0.000,(20;168),0.884
Challenge\Shaw23,0.000,(20;176),0.926,0.001,(18;142),0.928,0.000,(20;176),0.926,0.000,(20;176),0.926
Challenge\Shaw24,0.000,(20;167),0.879,0.001,(20;167),0.879,0.000,(20;167),0.879,0.000,(20;167),0.879
Challenge\Shaw25,0.000,(20;163),0.858,0.001,(19;147),0.860,0.000,(20;163),0.858,0.000,(20;163),0.858
Challenge\Shaw3,0.000,(20;167),0.879,0.001,(19;149),0.871,0.000,(20;167),0.879,0.000,(20;167),0.879
Challenge\Shaw4,0.000,(20;167),0.879,0.001,(20;167),0.879,0.000,(20;167),0.879,0.000,(20;167),0.879
Challenge\Shaw5,0.000,(20;164),0.863,0.001,(18;131),0.856,0.000,(20;164),0.863,0.000,(20;164),0.863
Challenge\Shaw6,0.000,(20;160),0.842,0.001,(19;147),0.860,0.000,(20;160),0.842,0.000,(20;160),0.842
Challenge\Shaw7,0.000,(20;173),0.911,0.001,(18;147),0.961,0.000,(20;173),0.911,0.000,(20;173),0.911
Challenge\Shaw8,0.000,(20;169),0.889,0.000,(19;153),0.895,0.000,(20;169),0.889,0.000,(20;169),0.889
Challenge\Shaw9,0.000,(20;158),0.832,0.001,(18;126),0.824,0.000,(20;158),0.832,0.000,(20;158),0.832
