instancia,valorOtimo,sem_tempo_total,sem_sol_nmpa,sem_sol_mmosp,sem_densidade,sem_tempo_seq,sem_gap,p1_tempo_total,p1_sol_nmpa,p1_sol_mmosp,p1_densidade,p1_tempo_seq,p1_gap,p2_tempo_total,p2_sol_nmpa,p2_sol_mmosp,p2_densidade,p2_tempo_seq,p2_gap,p3_tempo_total,p3_sol_nmpa,p3_sol_mmosp,p3_densidade,p3_tempo_seq,p3_gap
Chu_Stuckey\Random-100-100-10-1,84.6,0.009,100,100.725,0.635,0.009,18.20%,0.031,100,100.734,0.635,0.021,18.20%,0.025,100,100.725,0.635,0.018,18.20%,0.032,100,100.725,0.635,0.029,18.20%
Chu_Stuckey\Random-100-100-10-2,84.6,0.011,96,96.748,0.679,0.011,13.48%,0.036,96,96.748,0.679,0.023,13.48%,0.026,96,96.748,0.679,0.023,13.48%,0.020,96,96.748,0.679,0.017,13.48%
Chu_Stuckey\Random-100-100-10-3,84.6,0.011,95,95.716,0.608,0.011,12.29%,0.041,95,95.716,0.608,0.034,12.29%,0.038,95,95.716,0.608,0.029,12.29%,0.023,95,95.716,0.608,0.020,12.29%
Chu_Stuckey\Random-100-100-10-4,84.6,0.011,98,98.736,0.640,0.011,15.84%,0.034,98,98.736,0.640,0.028,15.84%,0.024,98,98.736,0.640,0.020,15.84%,0.027,98,98.736,0.640,0.019,15.84%
Chu_Stuckey\Random-100-100-10-5,84.6,0.015,99,99.746,0.660,0.015,17.02%,0.027,99,99.727,0.660,0.020,17.02%,0.028,99,99.727,0.660,0.025,17.02%,0.022,99,99.727,0.660,0.019,17.02%
Chu_Stuckey\Random-100-100-2-1,20.2,0.004,32,32.726,0.076,0.004,58.42%,0.013,34,34.702,0.076,0.009,68.32%,0.011,32,32.726,0.076,0.009,58.42%,0.011,32,32.726,0.076,0.008,58.42%
Chu_Stuckey\Random-100-100-2-2,20.2,0.005,36,36.639,0.065,0.005,78.22%,0.011,36,36.639,0.065,0.007,78.22%,0.010,36,36.639,0.065,0.007,78.22%,0.013,36,36.639,0.065,0.009,78.22%
Chu_Stuckey\Random-100-100-2-3,20.2,0.005,38,38.630,0.073,0.005,88.12%,0.015,38,38.630,0.073,0.011,88.12%,0.013,38,38.630,0.073,0.011,88.12%,0.008,38,38.630,0.073,0.006,88.12%
Chu_Stuckey\Random-100-100-2-4,20.2,0.006,34,34.654,0.060,0.006,68.32%,0.010,34,34.654,0.060,0.007,68.32%,0.009,34,34.654,0.060,0.006,68.32%,0.011,34,34.654,0.060,0.007,68.32%
Chu_Stuckey\Random-100-100-2-5,20.2,0.004,32,32.613,0.062,0.004,58.42%,0.011,31,31.625,0.062,0.008,53.47%,0.016,32,32.613,0.062,0.013,58.42%,0.014,32,32.613,0.062,0.009,58.42%
Chu_Stuckey\Random-100-100-4-1,45.0,0.006,54,54.689,0.147,0.006,20.00%,0.017,60,60.633,0.147,0.013,33.33%,0.013,54,54.689,0.147,0.011,20.00%,0.017,54,54.689,0.147,0.015,20.00%
Chu_Stuckey\Random-100-100-4-2,45.0,0.007,68,68.594,0.189,0.007,51.11%,0.024,68,68.600,0.189,0.020,51.11%,0.014,68,68.594,0.189,0.011,51.11%,0.012,68,68.594,0.189,0.010,51.11%
Chu_Stuckey\Random-100-100-4-3,45.0,0.005,62,62.575,0.151,0.005,37.78%,0.022,57,57.638,0.151,0.019,26.67%,0.014,62,62.575,0.151,0.011,37.78%,0.021,62,62.575,0.151,0.016,37.78%
Chu_Stuckey\Random-100-100-4-4,45.0,0.010,56,56.610,0.155,0.010,24.44%,0.018,53,53.645,0.155,0.014,17.78%,0.013,56,56.610,0.155,0.010,24.44%,0.011,56,56.610,0.155,0.008,24.44%
Chu_Stuckey\Random-100-100-4-5,45.0,0.009,62,62.621,0.174,0.009,37.78%,0.021,58,58.642,0.174,0.016,28.89%,0.011,60,60.619,0.174,0.009,33.33%,0.054,60,60.619,0.174,0.051,33.33%
