instancia,valorOtimo,sem_tempo_total,sem_sol_nmpa,sem_sol_mmosp,sem_densidade,sem_tempo_seq,sem_gap,p1_tempo_total,p1_sol_nmpa,p1_sol_mmosp,p1_densidade,p1_tempo_seq,p1_gap,p2_tempo_total,p2_sol_nmpa,p2_sol_mmosp,p2_densidade,p2_tempo_seq,p2_gap,p3_tempo_total,p3_sol_nmpa,p3_sol_mmosp,p3_densidade,p3_tempo_seq,p3_gap
Chu_Stuckey\Random-100-100-6-1,64.6,0.011,85,85.650,0.301,0.011,31.58%,0.018,78,78.688,0.301,0.014,20.74%,0.018,82,82.639,0.301,0.013,26.93%,0.016,82,82.639,0.301,0.013,26.93%
Chu_Stuckey\Random-100-100-6-2,64.6,0.007,85,85.631,0.352,0.007,31.58%,0.122,78,78.682,0.352,0.071,20.74%,0.018,78,78.671,0.352,0.016,20.74%,0.020,78,78.671,0.352,0.015,20.74%
Chu_Stuckey\Random-100-100-6-3,64.6,0.006,79,79.663,0.297,0.006,22.29%,0.024,79,79.672,0.297,0.018,22.29%,0.046,79,79.663,0.297,0.037,22.29%,0.016,79,79.663,0.297,0.013,22.29%
Chu_Stuckey\Random-100-100-6-4,64.6,0.014,80,80.634,0.308,0.014,23.84%,0.019,80,80.634,0.308,0.014,23.84%,0.019,80,80.634,0.308,0.016,23.84%,0.017,80,80.634,0.308,0.014,23.84%
Chu_Stuckey\Random-100-100-6-5,64.6,0.006,81,81.658,0.321,0.006,25.39%,0.036,74,74.697,0.321,0.029,14.55%,0.019,76,76.696,0.321,0.017,17.65%,0.019,76,76.696,0.321,0.017,17.65%
Chu_Stuckey\Random-100-100-8-1,76.6,0.008,97,97.698,0.463,0.008,26.63%,0.049,95,95.695,0.463,0.044,24.02%,0.034,97,97.698,0.463,0.029,26.63%,0.035,97,97.698,0.463,0.031,26.63%
Chu_Stuckey\Random-100-100-8-2,76.6,0.016,91,91.708,0.517,0.016,18.80%,0.025,91,91.708,0.517,0.020,18.80%,0.029,91,91.708,0.517,0.027,18.80%,0.021,91,91.708,0.517,0.019,18.80%
Chu_Stuckey\Random-100-100-8-3,76.6,0.008,93,93.685,0.479,0.008,21.41%,0.026,93,93.692,0.479,0.019,21.41%,0.024,93,93.685,0.479,0.021,21.41%,0.024,93,93.685,0.479,0.021,21.41%
Chu_Stuckey\Random-100-100-8-4,76.6,0.008,92,92.675,0.474,0.008,20.10%,0.025,93,93.674,0.474,0.020,21.41%,0.020,92,92.675,0.474,0.018,20.10%,0.025,92,92.675,0.474,0.023,20.10%
Chu_Stuckey\Random-100-100-8-5,76.6,0.009,90,90.701,0.500,0.009,17.49%,0.029,89,89.696,0.500,0.021,16.19%,0.018,89,89.690,0.500,0.015,16.19%,0.025,89,89.690,0.500,0.023,16.19%
Chu_Stuckey\Random-100-50-10-1,67.2,0.003,77,77.674,0.636,0.003,14.58%,0.008,82,82.659,0.636,0.006,22.02%,0.006,82,82.659,0.636,0.004,22.02%,0.005,82,82.659,0.636,0.004,22.02%
Chu_Stuckey\Random-100-50-10-2,67.2,0.004,79,79.679,0.640,0.004,17.56%,0.011,78,78.705,0.640,0.009,16.07%,0.008,78,78.705,0.640,0.007,16.07%,0.011,78,78.705,0.640,0.010,16.07%
Chu_Stuckey\Random-100-50-10-3,67.2,0.008,80,80.689,0.670,0.008,19.05%,0.008,80,80.689,0.670,0.007,19.05%,0.006,80,80.689,0.670,0.006,19.05%,0.015,80,80.689,0.670,0.012,19.05%
Chu_Stuckey\Random-100-50-10-4,67.2,0.003,75,75.716,0.687,0.003,11.61%,0.008,75,75.716,0.687,0.005,11.61%,0.005,75,75.716,0.687,0.004,11.61%,0.010,75,75.716,0.687,0.009,11.61%
Chu_Stuckey\Random-100-50-10-5,67.2,0.005,81,81.655,0.571,0.005,20.54%,0.016,81,81.655,0.571,0.014,20.54%,0.005,81,81.655,0.571,0.005,20.54%,0.006,81,81.655,0.571,0.005,20.54%
Chu_Stuckey\Random-100-50-2-1,11.6,0.001,20,20.550,0.083,0.001,72.41%,0.003,20,20.603,0.083,0.002,72.41%,0.002,20,20.612,0.083,0.002,72.41%,0.006,20,20.616,0.083,0.003,72.41%
Chu_Stuckey\Random-100-50-2-2,11.6,0.003,16,16.699,0.075,0.003,37.93%,0.003,16,16.699,0.075,0.002,37.93%,0.004,16,16.699,0.075,0.002,37.93%,0.002,16,16.712,0.075,0.002,37.93%
Chu_Stuckey\Random-100-50-2-3,11.6,0.002,23,23.657,0.098,0.002,98.28%,0.008,23,23.671,0.098,0.007,98.28%,0.003,23,23.657,0.098,0.002,98.28%,0.003,23,23.646,0.098,0.002,98.28%
Chu_Stuckey\Random-100-50-2-4,11.6,0.001,11,11.673,0.064,0.001,-5.17%,0.010,11,11.673,0.064,0.006,-5.17%,0.004,11,11.673,0.064,0.003,-5.17%,0.004,12,12.658,0.064,0.002,3.45%
Chu_Stuckey\Random-100-50-2-5,11.6,0.001,19,19.593,0.087,0.001,63.79%,0.006,17,17.609,0.087,0.005,46.55%,0.003,17,17.609,0.087,0.002,46.55%,0.003,17,17.609,0.087,0.002,46.55%
Chu_Stuckey\Random-100-50-4-1,26.4,0.001,35,35.628,0.165,0.001,32.58%,0.004,37,37.620,0.165,0.003,40.15%,0.005,35,35.662,0.165,0.004,32.58%,0.003,35,35.662,0.165,0.002,32.58%
Chu_Stuckey\Random-100-50-4-2,26.4,0.001,36,36.652,0.186,0.001,36.36%,0.004,36,36.622,0.186,0.003,36.36%,0.004,36,36.652,0.186,0.004,36.36%,0.003,36,36.652,0.186,0.002,36.36%
Chu_Stuckey\Random-100-50-4-3,26.4,0.001,37,37.627,0.183,0.001,40.15%,0.004,37,37.627,0.183,0.002,40.15%,0.003,37,37.627,0.183,0.002,40.15%,0.003,37,37.627,0.183,0.003,40.15%
Chu_Stuckey\Random-100-50-4-4,26.4,0.003,30,30.670,0.159,0.003,13.64%,0.005,30,30.670,0.159,0.004,13.64%,0.006,30,30.670,0.159,0.006,13.64%,0.003,30,30.670,0.159,0.002,13.64%
Chu_Stuckey\Random-100-50-4-5,26.4,0.001,35,35.627,0.166,0.001,32.58%,0.004,35,35.627,0.166,0.003,32.58%,0.003,35,35.627,0.166,0.002,32.58%,0.003,35,35.627,0.166,0.002,32.58%
Chu_Stuckey\Random-100-50-6-1,44.0,0.002,58,58.636,0.352,0.002,31.82%,0.005,58,58.636,0.352,0.004,31.82%,0.006,58,58.636,0.352,0.005,31.82%,0.005,58,58.636,0.352,0.004,31.82%
Chu_Stuckey\Random-100-50-6-2,44.0,0.002,59,59.627,0.297,0.002,34.09%,0.005,52,52.638,0.297,0.004,18.18%,0.012,52,52.638,0.297,0.011,18.18%,0.004,52,52.638,0.297,0.003,18.18%
Chu_Stuckey\Random-100-50-6-3,44.0,0.003,62,62.611,0.352,0.003,40.91%,0.007,62,62.611,0.352,0.003,40.91%,0.005,62,62.611,0.352,0.003,40.91%,0.005,62,62.611,0.352,0.004,40.91%
Chu_Stuckey\Random-100-50-6-4,44.0,0.003,60,60.650,0.361,0.003,36.36%,0.005,60,60.658,0.361,0.004,36.36%,0.005,60,60.650,0.361,0.004,36.36%,0.006,60,60.650,0.361,0.003,36.36%
Chu_Stuckey\Random-100-50-6-5,44.0,0.002,47,47.656,0.278,0.002,6.82%,0.007,47,47.657,0.278,0.006,6.82%,0.005,47,47.656,0.278,0.005,6.82%,0.003,47,47.656,0.278,0.003,6.82%
Chu_Stuckey\Random-100-50-8-1,56.2,0.002,65,65.641,0.456,0.002,15.66%,0.005,68,68.633,0.456,0.004,21.00%,0.006,65,65.641,0.456,0.005,15.66%,0.004,65,65.641,0.456,0.003,15.66%
Chu_Stuckey\Random-100-50-8-2,56.2,0.002,74,74.644,0.485,0.002,31.67%,0.006,74,74.644,0.485,0.004,31.67%,0.005,74,74.644,0.485,0.004,31.67%,0.004,74,74.644,0.485,0.004,31.67%
Chu_Stuckey\Random-100-50-8-3,56.2,0.002,70,70.679,0.493,0.002,24.56%,0.005,70,70.679,0.493,0.003,24.56%,0.004,70,70.679,0.493,0.004,24.56%,0.005,70,70.679,0.493,0.005,24.56%
Chu_Stuckey\Random-100-50-8-4,56.2,0.005,70,70.675,0.529,0.005,24.56%,0.007,70,70.675,0.529,0.005,24.56%,0.004,70,70.675,0.529,0.004,24.56%,0.016,70,70.675,0.529,0.015,24.56%
Chu_Stuckey\Random-100-50-8-5,56.2,0.002,63,63.668,0.435,0.002,12.10%,0.010,67,67.650,0.435,0.009,19.22%,0.007,67,67.650,0.435,0.005,19.22%,0.004,67,67.650,0.435,0.003,19.22%
Chu_Stuckey\Random-125-125-10-1,103.2,0.013,121,121.732,0.559,0.013,17.25%,0.040,121,121.734,0.559,0.031,17.25%,0.037,121,121.732,0.559,0.032,17.25%,0.033,121,121.732,0.559,0.028,17.25%
Chu_Stuckey\Random-125-125-10-2,103.2,0.019,121,121.732,0.561,0.019,17.25%,0.055,121,121.732,0.561,0.042,17.25%,0.035,121,121.732,0.561,0.030,17.25%,0.036,121,121.732,0.561,0.029,17.25%
Chu_Stuckey\Random-125-125-10-3,103.2,0.015,119,119.727,0.577,0.015,15.31%,0.050,121,121.720,0.577,0.042,17.25%,0.033,121,121.720,0.577,0.029,17.25%,0.043,121,121.720,0.577,0.039,17.25%
Chu_Stuckey\Random-125-125-10-4,103.2,0.020,121,121.739,0.582,0.020,17.25%,0.046,121,121.739,0.582,0.037,17.25%,0.039,121,121.739,0.582,0.035,17.25%,0.040,121,121.739,0.582,0.037,17.25%
Chu_Stuckey\Random-125-125-10-5,103.2,0.018,114,114.730,0.497,0.018,10.47%,0.037,118,118.708,0.497,0.027,14.34%,0.031,118,118.708,0.497,0.026,14.34%,0.032,118,118.708,0.497,0.028,14.34%
Chu_Stuckey\Random-125-125-2-1,22.8,0.006,39,39.687,0.052,0.006,71.05%,0.026,40,40.670,0.052,0.013,75.44%,0.014,39,39.687,0.052,0.010,71.05%,0.018,39,39.687,0.052,0.014,71.05%
Chu_Stuckey\Random-125-125-2-2,22.8,0.007,39,39.658,0.054,0.007,71.05%,0.016,39,39.630,0.054,0.011,71.05%,0.015,39,39.627,0.054,0.010,71.05%,0.022,39,39.627,0.054,0.018,71.05%
Chu_Stuckey\Random-125-125-2-3,22.8,0.005,38,38.606,0.050,0.005,66.67%,0.018,33,33.672,0.050,0.011,44.74%,0.014,38,38.606,0.050,0.009,66.67%,0.015,38,38.606,0.050,0.011,66.67%
Chu_Stuckey\Random-125-125-2-4,22.8,0.006,43,43.633,0.056,0.006,88.60%,0.021,46,46.618,0.056,0.015,101.75%,0.014,43,43.633,0.056,0.011,88.60%,0.014,43,43.633,0.056,0.010,88.60%
Chu_Stuckey\Random-125-125-2-5,22.8,0.005,31,31.721,0.050,0.005,35.96%,0.015,31,31.689,0.050,0.010,35.96%,0.018,31,31.721,0.050,0.015,35.96%,0.023,31,31.727,0.050,0.015,35.96%
Chu_Stuckey\Random-125-125-4-1,53.0,0.009,76,76.645,0.138,0.009,43.40%,0.027,76,76.645,0.138,0.021,43.40%,0.022,76,76.645,0.138,0.018,43.40%,0.020,76,76.645,0.138,0.016,43.40%
Chu_Stuckey\Random-125-125-4-2,53.0,0.008,76,76.623,0.131,0.008,43.40%,0.021,73,73.664,0.131,0.015,37.74%,0.022,76,76.623,0.131,0.017,43.40%,0.021,76,76.623,0.131,0.017,43.40%
Chu_Stuckey\Random-125-125-4-3,53.0,0.009,78,78.620,0.142,0.009,47.17%,0.035,77,77.631,0.142,0.029,45.28%,0.022,78,78.620,0.142,0.019,47.17%,0.020,78,78.620,0.142,0.015,47.17%
Chu_Stuckey\Random-125-125-4-4,53.0,0.007,68,68.643,0.125,0.007,28.30%,0.024,65,65.670,0.125,0.019,22.64%,0.017,68,68.643,0.125,0.014,28.30%,0.022,68,68.643,0.125,0.018,28.30%
Chu_Stuckey\Random-125-125-4-5,53.0,0.010,63,63.673,0.118,0.010,18.87%,0.021,66,66.653,0.118,0.012,24.53%,0.019,63,63.666,0.118,0.013,18.87%,0.027,63,63.666,0.118,0.015,18.87%
Chu_Stuckey\Random-125-125-6-1,78.4,0.012,106,106.628,0.254,0.012,35.20%,0.028,103,103.632,0.254,0.021,31.38%,0.025,108,108.593,0.254,0.020,37.76%,0.028,108,108.593,0.254,0.024,37.76%
Chu_Stuckey\Random-125-125-6-2,78.4,0.010,96,96.659,0.258,0.010,22.45%,0.030,96,96.659,0.258,0.020,22.45%,0.023,96,96.659,0.258,0.019,22.45%,0.024,96,96.659,0.258,0.021,22.45%
Chu_Stuckey\Random-125-125-6-3,78.4,0.010,108,108.628,0.273,0.010,37.76%,0.030,102,102.651,0.273,0.021,30.10%,0.027,108,108.628,0.273,0.024,37.76%,0.027,108,108.628,0.273,0.024,37.76%
Chu_Stuckey\Random-125-125-6-4,78.4,0.012,97,97.659,0.261,0.012,23.72%,0.032,98,98.645,0.261,0.023,25.00%,0.035,98,98.645,0.261,0.031,25.00%,0.050,98,98.645,0.261,0.046,25.00%
Chu_Stuckey\Random-125-125-6-5,78.4,0.021,94,94.650,0.231,0.021,19.90%,0.056,88,88.683,0.231,0.045,12.24%,0.041,94,94.650,0.231,0.035,19.90%,0.053,94,94.650,0.231,0.038,19.90%
Chu_Stuckey\Random-125-125-8-1,93.6,0.020,113,113.706,0.421,0.020,20.73%,0.070,113,113.706,0.421,0.049,20.73%,0.058,113,113.706,0.421,0.053,20.73%,0.044,113,113.706,0.421,0.037,20.73%
Chu_Stuckey\Random-125-125-8-2,93.6,0.038,116,116.677,0.405,0.038,23.93%,0.057,115,115.687,0.405,0.046,22.86%,0.046,116,116.677,0.405,0.039,23.93%,0.044,116,116.677,0.405,0.032,23.93%
Chu_Stuckey\Random-125-125-8-3,93.6,0.020,111,111.696,0.422,0.020,18.59%,0.058,115,115.686,0.422,0.045,22.86%,0.044,111,111.696,0.422,0.038,18.59%,0.040,111,111.696,0.422,0.035,18.59%
Chu_Stuckey\Random-125-125-8-4,93.6,0.022,115,115.678,0.418,0.022,22.86%,0.040,115,115.678,0.418,0.029,22.86%,0.037,115,115.678,0.418,0.033,22.86%,0.030,115,115.678,0.418,0.025,22.86%
Chu_Stuckey\Random-125-125-8-5,93.6,0.015,108,108.677,0.347,0.015,15.38%,0.033,104,104.686,0.347,0.023,11.11%,0.029,108,108.677,0.347,0.023,15.38%,0.035,108,108.677,0.347,0.031,15.38%
Chu_Stuckey\Random-30-30-10-1,27.0,0.001,29,29.859,0.972,0.001,7.41%,0.002,29,29.859,0.972,0.001,7.41%,0.004,29,29.859,0.972,0.004,7.41%,0.002,29,29.859,0.972,0.002,7.41%
Chu_Stuckey\Random-30-30-10-2,27.0,0.001,30,30.770,0.938,0.001,11.11%,0.006,30,30.770,0.938,0.002,11.11%,0.002,30,30.770,0.938,0.001,11.11%,0.002,30,30.770,0.938,0.001,11.11%
Chu_Stuckey\Random-30-30-10-3,27.0,0.001,30,30.782,0.995,0.001,11.11%,0.002,30,30.792,0.995,0.001,11.11%,0.003,30,30.792,0.995,0.002,11.11%,0.003,30,30.792,0.995,0.003,11.11%
Chu_Stuckey\Random-30-30-10-4,27.0,0.001,29,29.792,0.979,0.001,7.41%,0.004,30,30.806,0.979,0.004,11.11%,0.002,30,30.806,0.979,0.002,11.11%,0.004,30,30.806,0.979,0.003,11.11%
Chu_Stuckey\Random-30-30-10-5,27.0,0.001,30,30.806,0.977,0.001,11.11%,0.003,30,30.806,0.977,0.003,11.11%,0.002,30,30.806,0.977,0.002,11.11%,0.002,30,30.806,0.977,0.001,11.11%
Chu_Stuckey\Random-30-30-2-1,8.6,0.001,11,11.706,0.221,0.001,27.91%,0.004,11,11.694,0.221,0.004,27.91%,0.002,12,12.667,0.221,0.001,39.53%,0.001,12,12.667,0.221,0.001,39.53%
Chu_Stuckey\Random-30-30-2-2,8.6,0.001,13,13.764,0.218,0.001,51.16%,0.001,13,13.738,0.218,0.001,51.16%,0.001,13,13.764,0.218,0.001,51.16%,0.002,13,13.764,0.218,0.002,51.16%
Chu_Stuckey\Random-30-30-2-3,8.6,0.000,13,13.662,0.232,0.000,51.16%,0.001,13,13.656,0.232,0.001,51.16%,0.003,13,13.662,0.232,0.003,51.16%,0.001,13,13.662,0.232,0.001,51.16%
Chu_Stuckey\Random-30-30-2-4,8.6,0.003,11,11.700,0.193,0.003,27.91%,0.002,11,11.688,0.193,0.001,27.91%,0.002,11,11.700,0.193,0.002,27.91%,0.001,11,11.700,0.193,0.001,27.91%
Chu_Stuckey\Random-30-30-2-5,8.6,0.000,12,12.681,0.221,0.000,39.53%,0.011,10,10.763,0.221,0.001,16.28%,0.007,12,12.681,0.221,0.006,39.53%,0.001,12,12.681,0.221,0.001,39.53%
Chu_Stuckey\Random-30-30-4-1,16.0,0.001,21,21.705,0.536,0.001,31.25%,0.002,21,21.700,0.536,0.001,31.25%,0.001,21,21.705,0.536,0.001,31.25%,0.001,21,21.705,0.536,0.001,31.25%
Chu_Stuckey\Random-30-30-4-2,16.0,0.000,17,17.694,0.508,0.000,6.25%,0.004,17,17.694,0.508,0.002,6.25%,0.002,17,17.694,0.508,0.002,6.25%,0.003,17,17.694,0.508,0.001,6.25%
Chu_Stuckey\Random-30-30-4-3,16.0,0.002,18,18.722,0.451,0.002,12.50%,0.002,18,18.720,0.451,0.002,12.50%,0.002,18,18.722,0.451,0.001,12.50%,0.002,18,18.722,0.451,0.002,12.50%
Chu_Stuckey\Random-30-30-4-4,16.0,0.001,18,18.689,0.386,0.001,12.50%,0.002,18,18.693,0.386,0.001,12.50%,0.002,18,18.689,0.386,0.001,12.50%,0.002,18,18.689,0.386,0.001,12.50%
Chu_Stuckey\Random-30-30-4-5,16.0,0.001,21,21.675,0.460,0.001,31.25%,0.002,21,21.675,0.460,0.001,31.25%,0.002,19,19.688,0.460,0.002,18.75%,0.001,19,19.688,0.460,0.001,18.75%
Chu_Stuckey\Random-30-30-6-1,21.2,0.001,26,26.723,0.736,0.001,22.64%,0.002,28,28.720,0.736,0.001,32.08%,0.013,26,26.723,0.736,0.013,22.64%,0.007,26,26.723,0.736,0.006,22.64%
Chu_Stuckey\Random-30-30-6-2,21.2,0.001,24,24.703,0.674,0.001,13.21%,0.002,24,24.726,0.674,0.001,13.21%,0.001,24,24.703,0.674,0.001,13.21%,0.003,24,24.703,0.674,0.003,13.21%
Chu_Stuckey\Random-30-30-6-3,21.2,0.001,26,26.706,0.736,0.001,22.64%,0.005,26,26.692,0.736,0.001,22.64%,0.001,26,26.678,0.736,0.001,22.64%,0.002,26,26.678,0.736,0.002,22.64%
Chu_Stuckey\Random-30-30-6-4,21.2,0.002,24,24.744,0.731,0.002,13.21%,0.002,23,23.770,0.731,0.001,8.49%,0.002,24,24.744,0.731,0.002,13.21%,0.003,24,24.744,0.731,0.003,13.21%
Chu_Stuckey\Random-30-30-6-5,21.2,0.003,24,24.726,0.639,0.003,13.21%,0.002,24,24.747,0.639,0.001,13.21%,0.002,24,24.726,0.639,0.002,13.21%,0.003,24,24.726,0.639,0.002,13.21%
Chu_Stuckey\Random-30-30-8-1,25.2,0.001,28,28.779,0.899,0.001,11.11%,0.003,28,28.779,0.899,0.001,11.11%,0.002,28,28.779,0.899,0.002,11.11%,0.006,28,28.779,0.899,0.005,11.11%
Chu_Stuckey\Random-30-30-8-2,25.2,0.001,28,28.767,0.857,0.001,11.11%,0.002,28,28.799,0.857,0.002,11.11%,0.007,28,28.767,0.857,0.006,11.11%,0.003,28,28.767,0.857,0.003,11.11%
Chu_Stuckey\Random-30-30-8-3,25.2,0.001,29,29.771,0.897,0.001,15.08%,0.007,29,29.769,0.897,0.003,15.08%,0.002,29,29.771,0.897,0.001,15.08%,0.002,29,29.771,0.897,0.002,15.08%
Chu_Stuckey\Random-30-30-8-4,25.2,0.001,28,28.768,0.922,0.001,11.11%,0.003,28,28.764,0.922,0.002,11.11%,0.003,28,28.768,0.922,0.002,11.11%,0.003,28,28.768,0.922,0.003,11.11%
Chu_Stuckey\Random-30-30-8-5,25.2,0.001,30,30.721,0.897,0.001,19.05%,0.002,30,30.721,0.897,0.002,19.05%,0.003,30,30.721,0.897,0.003,19.05%,0.002,30,30.721,0.897,0.001,19.05%
Chu_Stuckey\Random-40-40-10-1,35.4,0.001,40,40.780,0.928,0.001,12.99%,0.010,40,40.780,0.928,0.009,12.99%,0.004,40,40.780,0.928,0.003,12.99%,0.006,40,40.780,0.928,0.005,12.99%
Chu_Stuckey\Random-40-40-10-2,35.4,0.003,39,39.792,0.924,0.003,10.17%,0.003,39,39.792,0.924,0.002,10.17%,0.005,39,39.792,0.924,0.003,10.17%,0.003,39,39.792,0.924,0.002,10.17%
Chu_Stuckey\Random-40-40-10-3,35.4,0.002,38,38.772,0.913,0.002,7.34%,0.004,38,38.772,0.913,0.002,7.34%,0.007,38,38.772,0.913,0.005,7.34%,0.004,38,38.772,0.913,0.003,7.34%
Chu_Stuckey\Random-40-40-10-4,35.4,0.001,39,39.803,0.941,0.001,10.17%,0.004,39,39.803,0.941,0.003,10.17%,0.008,39,39.803,0.941,0.006,10.17%,0.009,39,39.803,0.941,0.008,10.17%
Chu_Stuckey\Random-40-40-10-5,35.4,0.003,38,38.801,0.931,0.003,7.34%,0.004,38,38.801,0.931,0.003,7.34%,0.003,38,38.801,0.931,0.003,7.34%,0.005,38,38.801,0.931,0.005,7.34%
Chu_Stuckey\Random-40-40-2-1,11.0,0.001,14,14.775,0.164,0.001,27.27%,0.002,16,16.709,0.164,0.001,45.45%,0.002,14,14.775,0.164,0.002,27.27%,0.004,14,14.775,0.164,0.001,27.27%
Chu_Stuckey\Random-40-40-2-2,11.0,0.001,18,18.578,0.196,0.001,63.64%,0.002,17,17.678,0.196,0.001,54.55%,0.006,19,19.574,0.196,0.005,72.73%,0.002,19,19.574,0.196,0.002,72.73%
Chu_Stuckey\Random-40-40-2-3,11.0,0.002,16,16.663,0.155,0.002,45.45%,0.002,17,17.669,0.155,0.002,54.55%,0.002,16,16.663,0.155,0.001,45.45%,0.002,16,16.663,0.155,0.001,45.45%
Chu_Stuckey\Random-40-40-2-4,11.0,0.003,11,11.673,0.124,0.003,0.00%,0.002,11,11.670,0.124,0.001,0.00%,0.002,11,11.673,0.124,0.002,0.00%,0.003,11,11.673,0.124,0.001,0.00%
Chu_Stuckey\Random-40-40-2-5,11.0,0.001,17,17.735,0.209,0.001,54.55%,0.006,17,17.735,0.209,0.002,54.55%,0.002,17,17.735,0.209,0.002,54.55%,0.002,17,17.735,0.209,0.002,54.55%
Chu_Stuckey\Random-40-40-4-1,20.2,0.001,27,27.661,0.362,0.001,33.66%,0.003,25,25.679,0.362,0.003,23.76%,0.003,25,25.672,0.362,0.003,23.76%,0.003,25,25.672,0.362,0.003,23.76%
Chu_Stuckey\Random-40-40-4-2,20.2,0.001,28,28.626,0.403,0.001,38.61%,0.005,27,27.670,0.403,0.003,33.66%,0.002,28,28.626,0.403,0.002,38.61%,0.005,28,28.626,0.403,0.002,38.61%
Chu_Stuckey\Random-40-40-4-3,20.2,0.002,24,24.656,0.371,0.002,18.81%,0.011,24,24.672,0.371,0.008,18.81%,0.003,24,24.656,0.371,0.003,18.81%,0.002,24,24.656,0.371,0.002,18.81%
Chu_Stuckey\Random-40-40-4-4,20.2,0.001,22,22.655,0.362,0.001,8.91%,0.002,22,22.655,0.362,0.002,8.91%,0.002,22,22.655,0.362,0.002,8.91%,0.002,22,22.655,0.362,0.002,8.91%
Chu_Stuckey\Random-40-40-4-5,20.2,0.001,29,29.596,0.374,0.001,43.56%,0.004,30,30.648,0.374,0.002,48.51%,0.002,30,30.648,0.374,0.002,48.51%,0.003,30,30.648,0.374,0.002,48.51%
