instancia,valorOtimo,sem_tempo_total,sem_sol_nmpa,sem_sol_mmosp,sem_densidade,sem_tempo_seq,sem_gap,p1_tempo_total,p1_sol_nmpa,p1_sol_mmosp,p1_densidade,p1_tempo_seq,p1_gap,p2_tempo_total,p2_sol_nmpa,p2_sol_mmosp,p2_densidade,p2_tempo_seq,p2_gap,p3_tempo_total,p3_sol_nmpa,p3_sol_mmosp,p3_densidade,p3_tempo_seq,p3_gap
Faggioli_Bentivoglio\p1010n1,5.5,0.000,7,7.786,0.667,0.000,27.27%,0.000,6,6.867,0.667,0.000,9.09%,0.000,6,6.817,0.667,0.000,9.09%,0.000,6,6.817,0.667,0.000,9.09%
Faggioli_Bentivoglio\p1010n10,5.5,0.000,7,7.743,0.622,0.000,27.27%,0.001,6,6.717,0.622,0.000,9.09%,0.000,6,6.733,0.622,0.000,9.09%,0.001,6,6.733,0.622,0.000,9.09%
Faggioli_Bentivoglio\p1010n2,5.5,0.000,6,6.800,0.733,0.000,9.09%,0.000,6,6.800,0.733,0.000,9.09%,0.000,6,6.800,0.733,0.000,9.09%,0.000,6,6.800,0.733,0.000,9.09%
Faggioli_Bentivoglio\p1010n3,5.5,0.000,6,6.800,0.844,0.000,9.09%,0.001,6,6.833,0.844,0.000,9.09%,0.000,6,6.833,0.844,0.000,9.09%,0.000,6,6.833,0.844,0.000,9.09%
Faggioli_Bentivoglio\p1010n4,5.5,0.000,5,5.720,0.644,0.000,-9.09%,0.000,5,5.740,0.644,0.000,-9.09%,0.000,5,5.740,0.644,0.000,-9.09%,0.000,5,5.740,0.644,0.000,-9.09%
Faggioli_Bentivoglio\p1010n5,5.5,0.000,5,5.820,0.711,0.000,-9.09%,0.000,5,5.820,0.711,0.000,-9.09%,0.000,5,5.820,0.711,0.000,-9.09%,0.000,5,5.820,0.711,0.000,-9.09%
Faggioli_Bentivoglio\p1010n6,5.5,0.000,7,7.729,0.667,0.000,27.27%,0.000,7,7.657,0.667,0.000,27.27%,0.000,7,7.700,0.667,0.000,27.27%,0.000,7,7.700,0.667,0.000,27.27%
Faggioli_Bentivoglio\p1010n7,5.5,0.000,5,5.780,0.622,0.000,-9.09%,0.001,5,5.800,0.622,0.000,-9.09%,0.000,5,5.780,0.622,0.000,-9.09%,0.000,5,5.780,0.622,0.000,-9.09%
Faggioli_Bentivoglio\p1010n8,5.5,0.000,7,7.800,0.756,0.000,27.27%,0.001,6,6.867,0.756,0.000,9.09%,0.000,6,6.867,0.756,0.000,9.09%,0.000,6,6.867,0.756,0.000,9.09%
Faggioli_Bentivoglio\p1010n9,5.5,0.000,5,5.780,0.800,0.000,-9.09%,0.001,5,5.780,0.800,0.000,-9.09%,0.000,5,5.780,0.800,0.000,-9.09%,0.000,5,5.780,0.800,0.000,-9.09%
Faggioli_Bentivoglio\p1020n1,6.2,0.000,6,6.717,0.400,0.000,-3.23%,0.001,6,6.717,0.400,0.000,-3.23%,0.001,6,6.717,0.400,0.001,-3.23%,0.000,6,6.717,0.400,0.000,-3.23%
Faggioli_Bentivoglio\p1020n10,6.2,0.000,8,8.738,0.533,0.000,29.03%,0.001,8,8.738,0.533,0.000,29.03%,0.000,8,8.738,0.533,0.000,29.03%,0.000,8,8.738,0.533,0.000,29.03%
Faggioli_Bentivoglio\p1020n2,6.2,0.000,9,9.789,0.600,0.000,45.16%,0.000,9,9.756,0.600,0.000,45.16%,0.000,9,9.756,0.600,0.000,45.16%,0.000,9,9.756,0.600,0.000,45.16%
Faggioli_Bentivoglio\p1020n3,6.2,0.000,5,5.820,0.356,0.000,-19.35%,0.000,6,6.717,0.356,0.000,-3.23%,0.000,6,6.717,0.356,0.000,-3.23%,0.000,6,6.717,0.356,0.000,-3.23%
Faggioli_Bentivoglio\p1020n4,6.2,0.000,6,6.817,0.556,0.000,-3.23%,0.000,6,6.817,0.556,0.000,-3.23%,0.000,6,6.817,0.556,0.000,-3.23%,0.000,6,6.817,0.556,0.000,-3.23%
Faggioli_Bentivoglio\p1020n5,6.2,0.000,10,10.670,0.422,0.000,61.29%,0.000,7,7.771,0.422,0.000,12.90%,0.000,7,7.771,0.422,0.000,12.90%,0.000,7,7.771,0.422,0.000,12.90%
Faggioli_Bentivoglio\p1020n6,6.2,0.000,6,6.850,0.422,0.000,-3.23%,0.000,6,6.850,0.422,0.000,-3.23%,0.000,6,6.850,0.422,0.000,-3.23%,0.000,6,6.850,0.422,0.000,-3.23%
Faggioli_Bentivoglio\p1020n7,6.2,0.000,6,6.850,0.378,0.000,-3.23%,0.000,6,6.850,0.378,0.000,-3.23%,0.000,6,6.850,0.378,0.000,-3.23%,0.000,6,6.850,0.378,0.000,-3.23%
