instancia,valorOtimo,sem_tempo_total,sem_sol_nmpa,sem_sol_mmosp,sem_densidade,sem_tempo_seq,sem_gap,p1_tempo_total,p1_sol_nmpa,p1_sol_mmosp,p1_densidade,p1_tempo_seq,p1_gap,p2_tempo_total,p2_sol_nmpa,p2_sol_mmosp,p2_densidade,p2_tempo_seq,p2_gap,p3_tempo_total,p3_sol_nmpa,p3_sol_mmosp,p3_densidade,p3_tempo_seq,p3_gap
Faggioli_Bentivoglio\p1020n8,6.2,0.000,7,7.700,0.444,0.000,12.90%,0.000,7,7.700,0.444,0.000,12.90%,0.000,7,7.700,0.444,0.000,12.90%,0.000,7,7.700,0.444,0.000,12.90%
Faggioli_Bentivoglio\p1020n9,6.2,0.000,8,8.787,0.689,0.000,29.03%,0.000,8,8.787,0.689,0.000,29.03%,0.000,8,8.787,0.689,0.000,29.03%,0.000,8,8.787,0.689,0.000,29.03%
Faggioli_Bentivoglio\p1030n1,6.1,0.000,7,7.871,0.489,0.000,14.75%,0.000,7,7.871,0.489,0.000,14.75%,0.000,7,7.871,0.489,0.000,14.75%,0.000,7,7.871,0.489,0.000,14.75%
Faggioli_Bentivoglio\p1030n10,6.1,0.000,8,8.688,0.333,0.000,31.15%,0.000,8,8.688,0.333,0.000,31.15%,0.000,8,8.688,0.333,0.000,31.15%,0.000,8,8.688,0.333,0.000,31.15%
Faggioli_Bentivoglio\p1030n2,6.1,0.000,8,8.800,0.378,0.000,31.15%,0.000,8,8.800,0.378,0.000,31.15%,0.000,8,8.800,0.378,0.000,31.15%,0.000,8,8.800,0.378,0.000,31.15%
Faggioli_Bentivoglio\p1030n3,6.1,0.000,7,7.814,0.356,0.000,14.75%,0.000,7,7.814,0.356,0.000,14.75%,0.000,7,7.814,0.356,0.000,14.75%,0.000,7,7.814,0.356,0.000,14.75%
Faggioli_Bentivoglio\p1030n4,6.1,0.000,8,8.762,0.289,0.000,31.15%,0.000,8,8.762,0.289,0.000,31.15%,0.000,8,8.762,0.289,0.000,31.15%,0.000,8,8.762,0.289,0.000,31.15%
Faggioli_Bentivoglio\p1030n5,6.1,0.000,7,7.843,0.467,0.000,14.75%,0.000,7,7.843,0.467,0.000,14.75%,0.000,7,7.843,0.467,0.000,14.75%,0.000,7,7.843,0.467,0.000,14.75%
Faggioli_Bentivoglio\p1030n6,6.1,0.000,7,7.829,0.311,0.000,14.75%,0.000,7,7.829,0.311,0.000,14.75%,0.000,7,7.829,0.311,0.000,14.75%,0.000,7,7.757,0.311,0.000,14.75%
Faggioli_Bentivoglio\p1030n7,6.1,0.000,6,6.850,0.356,0.000,-1.64%,0.001,6,6.850,0.356,0.000,-1.64%,0.000,6,6.850,0.356,0.000,-1.64%,0.000,6,6.850,0.356,0.000,-1.64%
Faggioli_Bentivoglio\p1030n8,6.1,0.000,6,6.778,0.222,0.000,-1.64%,0.000,6,6.750,0.222,0.000,-1.64%,0.000,6,6.750,0.222,0.000,-1.64%,0.000,6,6.750,0.222,0.000,-1.64%
Faggioli_Bentivoglio\p1030n9,6.1,0.000,7,7.757,0.267,0.000,14.75%,0.000,7,7.757,0.267,0.000,14.75%,0.001,7,7.757,0.267,0.000,14.75%,0.000,7,7.686,0.267,0.000,14.75%
Faggioli_Bentivoglio\p1040n1,7.7,0.000,8,8.703,0.244,0.000,3.90%,0.000,8,8.662,0.244,0.000,3.90%,0.000,8,8.662,0.244,0.000,3.90%,0.000,8,8.662,0.244,0.000,3.90%
Faggioli_Bentivoglio\p1040n10,7.7,0.000,7,7.875,0.267,0.000,-9.09%,0.000,7,7.857,0.267,0.000,-9.09%,0.000,7,7.857,0.267,0.000,-9.09%,0.000,7,7.857,0.267,0.000,-9.09%
Faggioli_Bentivoglio\p1040n2,7.7,0.000,9,9.811,0.400,0.000,16.88%,0.000,9,9.811,0.400,0.000,16.88%,0.000,9,9.811,0.400,0.000,16.88%,0.000,9,9.811,0.400,0.000,16.88%
Faggioli_Bentivoglio\p1040n3,7.7,0.000,8,8.800,0.311,0.000,3.90%,0.000,8,8.800,0.311,0.000,3.90%,0.000,8,8.800,0.311,0.000,3.90%,0.000,8,8.787,0.311,0.000,3.90%
Faggioli_Bentivoglio\p1040n4,7.7,0.000,8,8.667,0.222,0.000,3.90%,0.000,8,8.650,0.222,0.000,3.90%,0.000,8,8.650,0.222,0.000,3.90%,0.000,8,8.650,0.222,0.000,3.90%
Faggioli_Bentivoglio\p1040n5,7.7,0.000,9,9.765,0.289,0.000,16.88%,0.000,8,8.762,0.289,0.000,3.90%,0.000,8,8.762,0.289,0.000,3.90%,0.000,8,8.762,0.289,0.000,3.90%
Faggioli_Bentivoglio\p1040n6,7.7,0.000,7,7.900,0.356,0.000,-9.09%,0.000,7,7.900,0.356,0.000,-9.09%,0.000,7,7.900,0.356,0.000,-9.09%,0.000,7,7.900,0.356,0.000,-9.09%
Faggioli_Bentivoglio\p1040n7,7.7,0.000,8,8.812,0.333,0.000,3.90%,0.000,8,8.812,0.333,0.000,3.90%,0.000,8,8.812,0.333,0.000,3.90%,0.000,8,8.812,0.333,0.000,3.90%
Faggioli_Bentivoglio\p1040n8,7.7,0.000,9,9.827,0.311,0.000,16.88%,0.001,9,9.811,0.311,0.000,16.88%,0.000,9,9.811,0.311,0.000,16.88%,0.001,9,9.811,0.311,0.000,16.88%
Faggioli_Bentivoglio\p1040n9,7.7,0.000,8,8.792,0.244,0.000,3.90%,0.001,8,8.762,0.244,0.000,3.90%,0.000,8,8.762,0.244,0.000,3.90%,0.000,8,8.762,0.244,0.000,3.90%
Faggioli_Bentivoglio\p1050n1,8.2,0.000,9,9.750,0.267,0.000,9.76%,0.001,9,9.733,0.267,0.000,9.76%,0.000,9,9.733,0.267,0.000,9.76%,0.000,9,9.733,0.267,0.000,9.76%
Faggioli_Bentivoglio\p1050n10,8.2,0.000,9,9.815,0.267,0.000,9.76%,0.001,9,9.800,0.267,0.000,9.76%,0.000,9,9.800,0.267,0.000,9.76%,0.000,9,9.800,0.267,0.000,9.76%
Faggioli_Bentivoglio\p1050n2,8.2,0.000,9,9.833,0.156,0.000,9.76%,0.001,9,9.656,0.156,0.000,9.76%,0.000,9,9.656,0.156,0.000,9.76%,0.000,9,9.656,0.156,0.000,9.76%
Faggioli_Bentivoglio\p1050n3,8.2,0.000,7,7.959,0.156,0.000,-14.63%,0.001,8,8.825,0.156,0.000,-2.44%,0.000,8,8.825,0.156,0.000,-2.44%,0.000,8,8.850,0.156,0.000,-2.44%
Faggioli_Bentivoglio\p1050n4,8.2,0.000,8,8.896,0.222,0.000,-2.44%,0.000,8,8.800,0.222,0.000,-2.44%,0.000,8,8.800,0.222,0.000,-2.44%,0.000,9,9.700,0.222,0.000,9.76%
Faggioli_Bentivoglio\p1050n5,8.2,0.000,9,9.889,0.311,0.000,9.76%,0.000,9,9.833,0.311,0.000,9.76%,0.000,9,9.833,0.311,0.000,9.76%,0.000,9,9.833,0.311,0.000,9.76%
Faggioli_Bentivoglio\p1050n6,8.2,0.000,9,9.722,0.222,0.000,9.76%,0.001,9,9.678,0.222,0.000,9.76%,0.000,9,9.678,0.222,0.000,9.76%,0.000,9,9.678,0.222,0.000,9.76%
Faggioli_Bentivoglio\p1050n7,8.2,0.000,8,8.875,0.178,0.000,-2.44%,0.001,8,8.850,0.178,0.000,-2.44%,0.000,8,8.850,0.178,0.000,-2.44%,0.000,8,8.850,0.178,0.000,-2.44%
Faggioli_Bentivoglio\p1050n8,8.2,0.000,9,9.800,0.244,0.000,9.76%,0.001,8,8.875,0.244,0.000,-2.44%,0.000,8,8.875,0.244,0.000,-2.44%,0.000,9,9.811,0.244,0.000,9.76%
Faggioli_Bentivoglio\p1050n9,8.2,0.000,8,8.844,0.156,0.000,-2.44%,0.001,8,8.750,0.156,0.000,-2.44%,0.000,8,8.750,0.156,0.000,-2.44%,0.000,8,8.775,0.156,0.000,-2.44%
Faggioli_Bentivoglio\p1510n1,6.6,0.000,6,6.900,0.714,0.000,-9.09%,0.001,6,6.789,0.714,0.000,-9.09%,0.000,6,6.789,0.714,0.000,-9.09%,0.000,6,6.789,0.714,0.000,-9.09%
Faggioli_Bentivoglio\p1510n10,6.6,0.000,6,6.711,0.676,0.000,-9.09%,0.001,6,6.744,0.676,0.000,-9.09%,0.001,6,6.711,0.676,0.001,-9.09%,0.000,6,6.711,0.676,0.000,-9.09%
Faggioli_Bentivoglio\p1510n2,6.6,0.000,6,6.889,0.752,0.000,-9.09%,0.000,6,6.844,0.752,0.000,-9.09%,0.001,6,6.889,0.752,0.000,-9.09%,0.000,6,6.889,0.752,0.000,-9.09%
Faggioli_Bentivoglio\p1510n3,6.6,0.000,8,8.733,0.743,0.000,21.21%,0.001,8,8.742,0.743,0.000,21.21%,0.000,8,8.733,0.743,0.000,21.21%,0.000,8,8.733,0.743,0.000,21.21%
Faggioli_Bentivoglio\p1510n4,6.6,0.000,8,8.733,0.752,0.000,21.21%,0.001,8,8.750,0.752,0.000,21.21%,0.000,8,8.733,0.752,0.000,21.21%,0.001,8,8.733,0.752,0.001,21.21%
Faggioli_Bentivoglio\p1510n5,6.6,0.000,8,8.750,0.695,0.000,21.21%,0.001,8,8.750,0.695,0.000,21.21%,0.001,8,8.750,0.695,0.001,21.21%,0.001,8,8.750,0.695,0.000,21.21%
Faggioli_Bentivoglio\p1510n6,6.6,0.000,7,7.724,0.714,0.000,6.06%,0.001,7,7.771,0.714,0.000,6.06%,0.001,7,7.724,0.714,0.000,6.06%,0.000,7,7.724,0.714,0.000,6.06%
Faggioli_Bentivoglio\p1510n7,6.6,0.000,7,7.676,0.686,0.000,6.06%,0.001,7,7.705,0.686,0.000,6.06%,0.000,7,7.676,0.686,0.000,6.06%,0.000,7,7.676,0.686,0.000,6.06%
Faggioli_Bentivoglio\p1510n8,6.6,0.000,8,8.683,0.686,0.000,21.21%,0.001,8,8.817,0.686,0.000,21.21%,0.000,8,8.700,0.686,0.000,21.21%,0.000,8,8.700,0.686,0.000,21.21%
Faggioli_Bentivoglio\p1510n9,6.6,0.000,6,6.856,0.762,0.000,-9.09%,0.000,6,6.844,0.762,0.000,-9.09%,0.000,6,6.856,0.762,0.000,-9.09%,0.000,6,6.856,0.762,0.000,-9.09%
Faggioli_Bentivoglio\p1520n1,7.2,0.000,12,12.694,0.505,0.000,66.67%,0.001,12,12.694,0.505,0.001,66.67%,0.000,12,12.694,0.505,0.000,66.67%,0.001,12,12.694,0.505,0.000,66.67%
Faggioli_Bentivoglio\p1520n10,7.2,0.000,9,9.756,0.562,0.000,25.00%,0.001,10,10.740,0.562,0.000,38.89%,0.000,9,9.696,0.562,0.000,25.00%,0.000,9,9.696,0.562,0.000,25.00%
Faggioli_Bentivoglio\p1520n2,7.2,0.000,7,7.733,0.429,0.000,-2.78%,0.001,7,7.781,0.429,0.000,-2.78%,0.001,7,7.781,0.429,0.001,-2.78%,0.000,7,7.781,0.429,0.000,-2.78%
Faggioli_Bentivoglio\p1520n3,7.2,0.000,10,10.680,0.476,0.000,38.89%,0.001,8,8.758,0.476,0.000,11.11%,0.000,8,8.733,0.476,0.000,11.11%,0.000,8,8.733,0.476,0.000,11.11%
Faggioli_Bentivoglio\p1520n4,7.2,0.000,7,7.771,0.429,0.000,-2.78%,0.001,7,7.781,0.429,0.000,-2.78%,0.000,7,7.771,0.429,0.000,-2.78%,0.001,7,7.771,0.429,0.000,-2.78%
Faggioli_Bentivoglio\p1520n5,7.2,0.000,8,8.733,0.448,0.000,11.11%,0.000,8,8.783,0.448,0.000,11.11%,0.001,8,8.783,0.448,0.000,11.11%,0.000,8,8.783,0.448,0.000,11.11%
Faggioli_Bentivoglio\p1520n6,7.2,0.000,10,10.760,0.533,0.000,38.89%,0.001,8,8.733,0.533,0.000,11.11%,0.000,10,10.647,0.533,0.000,38.89%,0.000,10,10.647,0.533,0.000,38.89%
Faggioli_Bentivoglio\p1520n7,7.2,0.000,9,9.763,0.448,0.000,25.00%,0.001,9,9.763,0.448,0.000,25.00%,0.000,9,9.763,0.448,0.000,25.00%,0.001,9,9.763,0.448,0.001,25.00%
Faggioli_Bentivoglio\p1520n8,7.2,0.000,9,9.733,0.457,0.000,25.00%,0.001,9,9.733,0.457,0.001,25.00%,0.000,9,9.733,0.457,0.000,25.00%,0.001,9,9.733,0.457,0.001,25.00%
Faggioli_Bentivoglio\p1520n9,7.2,0.000,9,9.778,0.467,0.000,25.00%,0.001,9,9.711,0.467,0.000,25.00%,0.000,9,9.711,0.467,0.000,25.00%,0.001,9,9.711,0.467,0.000,25.00%
Faggioli_Bentivoglio\p1530n1,7.3,0.000,10,10.727,0.381,0.000,36.99%,0.001,10,10.727,0.381,0.001,36.99%,0.000,10,10.727,0.381,0.000,36.99%,0.000,10,10.727,0.381,0.000,36.99%
Faggioli_Bentivoglio\p1530n10,7.3,0.000,8,8.700,0.343,0.000,9.59%,0.001,8,8.700,0.343,0.000,9.59%,0.001,8,8.700,0.343,0.000,9.59%,0.000,8,8.700,0.343,0.000,9.59%
Faggioli_Bentivoglio\p1530n2,7.3,0.000,11,11.733,0.314,0.000,50.68%,0.000,10,10.727,0.314,0.000,36.99%,0.000,10,10.727,0.314,0.000,36.99%,0.001,10,10.727,0.314,0.001,36.99%
Faggioli_Bentivoglio\p1530n3,7.3,0.000,10,10.680,0.419,0.000,36.99%,0.001,10,10.680,0.419,0.000,36.99%,0.000,10,10.680,0.419,0.000,36.99%,0.001,10,10.680,0.419,0.001,36.99%
Faggioli_Bentivoglio\p1530n4,7.3,0.000,10,10.747,0.324,0.000,36.99%,0.001,9,9.756,0.324,0.000,23.29%,0.000,9,9.756,0.324,0.000,23.29%,0.000,9,9.756,0.324,0.000,23.29%
Faggioli_Bentivoglio\p1530n5,7.3,0.000,7,7.810,0.276,0.000,-4.11%,0.001,7,7.810,0.276,0.000,-4.11%,0.000,7,7.810,0.276,0.000,-4.11%,0.001,7,7.810,0.276,0.000,-4.11%
Faggioli_Bentivoglio\p1530n6,7.3,0.000,8,8.650,0.305,0.000,9.59%,0.001,9,9.704,0.305,0.000,23.29%,0.000,9,9.704,0.305,0.000,23.29%,0.000,9,9.704,0.305,0.000,23.29%
Faggioli_Bentivoglio\p1530n7,7.3,0.000,10,10.733,0.362,0.000,36.99%,0.001,10,10.713,0.362,0.000,36.99%,0.000,10,10.713,0.362,0.000,36.99%,0.000,10,10.713,0.362,0.000,36.99%
Faggioli_Bentivoglio\p1530n8,7.3,0.000,9,9.689,0.343,0.000,23.29%,0.000,9,9.689,0.343,0.000,23.29%,0.000,9,9.689,0.343,0.000,23.29%,0.000,9,9.689,0.343,0.000,23.29%
Faggioli_Bentivoglio\p1530n9,7.3,0.000,9,9.778,0.362,0.000,23.29%,0.001,10,10.747,0.362,0.001,36.99%,0.000,10,10.747,0.362,0.000,36.99%,0.001,10,10.747,0.362,0.000,36.99%
Faggioli_Bentivoglio\p1540n1,7.2,0.000,9,9.793,0.362,0.000,25.00%,0.000,10,10.700,0.362,0.000,38.89%,0.000,10,10.700,0.362,0.000,38.89%,0.001,10,10.700,0.362,0.000,38.89%
Faggioli_Bentivoglio\p1540n10,7.2,0.000,12,12.622,0.305,0.000,66.67%,0.000,12,12.622,0.305,0.000,66.67%,0.000,12,12.622,0.305,0.000,66.67%,0.000,12,12.622,0.305,0.000,66.67%
Faggioli_Bentivoglio\p1540n2,7.2,0.000,11,11.685,0.229,0.000,52.78%,0.000,10,10.673,0.229,0.000,38.89%,0.000,10,10.673,0.229,0.000,38.89%,0.000,10,10.700,0.229,0.000,38.89%
Faggioli_Bentivoglio\p1540n3,7.2,0.000,9,9.762,0.248,0.000,25.00%,0.001,10,10.593,0.248,0.000,38.89%,0.001,10,10.593,0.248,0.001,38.89%,0.000,10,10.593,0.248,0.000,38.89%
Faggioli_Bentivoglio\p1540n4,7.2,0.000,9,9.726,0.267,0.000,25.00%,0.001,9,9.719,0.267,0.000,25.00%,0.001,9,9.719,0.267,0.001,25.00%,0.000,9,9.711,0.267,0.000,25.00%
Faggioli_Bentivoglio\p1540n5,7.2,0.000,9,9.733,0.295,0.000,25.00%,0.001,11,11.733,0.295,0.000,52.78%,0.000,11,11.733,0.295,0.000,52.78%,0.000,11,11.733,0.295,0.000,52.78%
Faggioli_Bentivoglio\p1540n6,7.2,0.000,7,7.765,0.229,0.000,-2.78%,0.001,9,9.704,0.229,0.000,25.00%,0.000,9,9.704,0.229,0.000,25.00%,0.001,9,9.704,0.229,0.000,25.00%
Faggioli_Bentivoglio\p1540n7,7.2,0.000,9,9.756,0.219,0.000,25.00%,0.001,9,9.756,0.219,0.000,25.00%,0.000,9,9.756,0.219,0.000,25.00%,0.004,9,9.756,0.219,0.004,25.00%
Faggioli_Bentivoglio\p1540n8,7.2,0.000,9,9.793,0.276,0.000,25.00%,0.001,9,9.793,0.276,0.000,25.00%,0.000,9,9.793,0.276,0.000,25.00%,0.000,9,9.793,0.276,0.000,25.00%
Faggioli_Bentivoglio\p1540n9,7.2,0.000,10,10.700,0.267,0.000,38.89%,0.001,7,7.800,0.267,0.000,-2.78%,0.000,7,7.800,0.267,0.000,-2.78%,0.000,7,7.800,0.267,0.000,-2.78%
Faggioli_Bentivoglio\p1550n1,7.4,0.000,10,10.640,0.267,0.000,35.14%,0.001,9,9.726,0.267,0.000,21.62%,0.000,9,9.726,0.267,0.000,21.62%,0.000,9,9.726,0.267,0.000,21.62%
Faggioli_Bentivoglio\p1550n10,7.4,0.000,9,9.763,0.257,0.000,21.62%,0.001,10,10.707,0.257,0.000,35.14%,0.000,10,10.707,0.257,0.000,35.14%,0.000,10,10.707,0.257,0.000,35.14%
Faggioli_Bentivoglio\p1550n2,7.4,0.000,10,10.740,0.229,0.000,35.14%,0.001,10,10.740,0.229,0.000,35.14%,0.000,10,10.740,0.229,0.000,35.14%,0.000,9,9.726,0.229,0.000,21.62%
Faggioli_Bentivoglio\p1550n3,7.4,0.000,10,10.693,0.238,0.000,35.14%,0.001,10,10.693,0.238,0.000,35.14%,0.000,10,10.693,0.238,0.000,35.14%,0.000,10,10.693,0.238,0.000,35.14%
Faggioli_Bentivoglio\p1550n4,7.4,0.000,8,8.817,0.219,0.000,8.11%,0.001,9,9.733,0.219,0.001,21.62%,0.000,9,9.733,0.219,0.000,21.62%,0.000,9,9.689,0.219,0.000,21.62%
Faggioli_Bentivoglio\p1550n5,7.4,0.000,8,8.821,0.190,0.000,8.11%,0.001,9,9.674,0.190,0.000,21.62%,0.000,9,9.674,0.190,0.000,21.62%,0.001,9,9.719,0.190,0.000,21.62%
Faggioli_Bentivoglio\p1550n6,7.4,0.000,7,7.643,0.171,0.000,-5.41%,0.001,7,7.752,0.171,0.000,-5.41%,0.001,7,7.752,0.171,0.001,-5.41%,0.000,7,7.743,0.171,0.000,-5.41%
Faggioli_Bentivoglio\p1550n7,7.4,0.000,9,9.778,0.171,0.000,21.62%,0.001,9,9.704,0.171,0.000,21.62%,0.000,9,9.704,0.171,0.000,21.62%,0.000,9,9.704,0.171,0.000,21.62%
Faggioli_Bentivoglio\p1550n8,7.4,0.000,9,9.759,0.229,0.000,21.62%,0.001,10,10.660,0.229,0.000,35.14%,0.001,10,10.660,0.229,0.001,35.14%,0.000,10,10.660,0.229,0.000,35.14%
Faggioli_Bentivoglio\p1550n9,7.4,0.000,8,8.786,0.238,0.000,8.11%,0.001,8,8.775,0.238,0.000,8.11%,0.001,8,8.775,0.238,0.000,8.11%,0.000,8,8.775,0.238,0.000,8.11%
Faggioli_Bentivoglio\p2010n1,7.5,0.000,9,9.700,0.774,0.000,20.00%,0.001,9,9.706,0.774,0.001,20.00%,0.001,8,8.775,0.774,0.001,6.67%,0.001,8,8.775,0.774,0.000,6.67%
Faggioli_Bentivoglio\p2010n10,7.5,0.001,8,8.713,0.721,0.001,6.67%,0.001,8,8.719,0.721,0.000,6.67%,0.001,8,8.713,0.721,0.001,6.67%,0.001,8,8.713,0.721,0.001,6.67%
Faggioli_Bentivoglio\p2010n2,7.5,0.000,7,7.793,0.742,0.000,-6.67%,0.001,8,8.775,0.742,0.000,6.67%,0.001,7,7.800,0.742,0.001,-6.67%,0.001,7,7.800,0.742,0.000,-6.67%
Faggioli_Bentivoglio\p2010n3,7.5,0.000,8,8.738,0.689,0.000,6.67%,0.001,8,8.762,0.689,0.000,6.67%,0.001,8,8.738,0.689,0.001,6.67%,0.001,8,8.738,0.689,0.001,6.67%
Faggioli_Bentivoglio\p2010n4,7.5,0.000,8,8.750,0.795,0.000,6.67%,0.001,8,8.738,0.795,0.000,6.67%,0.001,8,8.713,0.795,0.000,6.67%,0.001,8,8.713,0.795,0.001,6.67%
Faggioli_Bentivoglio\p2010n5,7.5,0.000,7,7.736,0.742,0.000,-6.67%,0.001,7,7.750,0.742,0.001,-6.67%,0.001,8,8.713,0.742,0.001,6.67%,0.001,8,8.713,0.742,0.001,6.67%
Faggioli_Bentivoglio\p2010n6,7.5,0.000,8,8.675,0.705,0.000,6.67%,0.000,8,8.719,0.705,0.000,6.67%,0.001,8,8.688,0.705,0.001,6.67%,0.001,8,8.688,0.705,0.001,6.67%
Faggioli_Bentivoglio\p2010n7,7.5,0.000,9,9.728,0.716,0.000,20.00%,0.001,9,9.728,0.716,0.001,20.00%,0.001,9,9.739,0.716,0.001,20.00%,0.001,9,9.739,0.716,0.001,20.00%
Faggioli_Bentivoglio\p2010n8,7.5,0.000,8,8.775,0.784,0.000,6.67%,0.000,8,8.787,0.784,0.000,6.67%,0.001,8,8.775,0.784,0.001,6.67%,0.001,8,8.775,0.784,0.001,6.67%
Faggioli_Bentivoglio\p2010n9,7.5,0.000,7,7.793,0.679,0.000,-6.67%,0.001,7,7.793,0.679,0.000,-6.67%,0.001,7,7.779,0.679,0.001,-6.67%,0.001,7,7.779,0.679,0.000,-6.67%
Faggioli_Bentivoglio\p2020n1,8.5,0.000,11,11.686,0.474,0.000,29.41%,0.001,11,11.736,0.474,0.001,29.41%,0.001,10,10.730,0.474,0.000,17.65%,0.001,10,10.730,0.474,0.001,17.65%
Faggioli_Bentivoglio\p2020n10,8.5,0.001,10,10.710,0.505,0.001,17.65%,0.001,10,10.680,0.505,0.000,17.65%,0.001,10,10.680,0.505,0.001,17.65%,0.001,10,10.680,0.505,0.000,17.65%
Faggioli_Bentivoglio\p2020n2,8.5,0.000,11,11.759,0.479,0.000,29.41%,0.002,9,9.750,0.479,0.001,5.88%,0.000,9,9.733,0.479,0.000,5.88%,0.001,9,9.733,0.479,0.001,5.88%
Faggioli_Bentivoglio\p2020n3,8.5,0.000,11,11.686,0.426,0.000,29.41%,0.001,9,9.756,0.426,0.001,5.88%,0.001,9,9.750,0.426,0.001,5.88%,0.001,9,9.750,0.426,0.000,5.88%
Faggioli_Bentivoglio\p2020n4,8.5,0.000,11,11.691,0.532,0.000,29.41%,0.001,9,9.789,0.532,0.001,5.88%,0.001,9,9.783,0.532,0.001,5.88%,0.001,9,9.783,0.532,0.001,5.88%
