instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
Chu_Stuckey\Random-100-100-10-1,0.000,(100;3142),0.635,0.004,(99;3116),0.642,0.002,(100;3142),0.635,0.002,(100;3142),0.635
Chu_Stuckey\Random-100-100-10-2,0.000,(100;3362),0.679,0.006,(100;3362),0.679,0.003,(100;3362),0.679,0.003,(100;3362),0.679
Chu_Stuckey\Random-100-100-10-3,0.000,(100;3012),0.608,0.006,(100;3012),0.608,0.003,(100;3012),0.608,0.003,(100;3012),0.608
Chu_Stuckey\Random-100-100-10-4,0.000,(100;3169),0.640,0.006,(100;3169),0.640,0.002,(100;3169),0.640,0.002,(100;3169),0.640
Chu_Stuckey\Random-100-100-10-5,0.000,(100;3269),0.660,0.005,(100;3269),0.660,0.002,(100;3269),0.660,0.004,(100;3269),0.660
Chu_Stuckey\Random-100-100-2-1,0.000,(100;378),0.076,0.003,(95;346),0.077,0.002,(100;378),0.076,0.002,(100;378),0.076
Chu_Stuckey\Random-100-100-2-2,0.000,(100;322),0.065,0.004,(99;319),0.066,0.002,(100;322),0.065,0.002,(100;322),0.065
Chu_Stuckey\Random-100-100-2-3,0.000,(100;360),0.073,0.004,(98;349),0.073,0.002,(100;360),0.073,0.002,(100;360),0.073
Chu_Stuckey\Random-100-100-2-4,0.000,(100;298),0.060,0.003,(100;298),0.060,0.002,(100;298),0.060,0.002,(99;296),0.061
Chu_Stuckey\Random-100-100-2-5,0.000,(100;306),0.062,0.003,(97;291),0.062,0.002,(100;306),0.062,0.002,(99;304),0.063
Chu_Stuckey\Random-100-100-4-1,0.000,(100;726),0.147,0.004,(97;700),0.150,0.002,(100;726),0.147,0.003,(100;726),0.147
Chu_Stuckey\Random-100-100-4-2,0.000,(100;936),0.189,0.004,(97;905),0.194,0.003,(100;936),0.189,0.002,(100;936),0.189
Chu_Stuckey\Random-100-100-4-3,0.000,(100;748),0.151,0.004,(96;718),0.157,0.002,(100;748),0.151,0.002,(100;748),0.151
Chu_Stuckey\Random-100-100-4-4,0.000,(100;768),0.155,0.003,(96;735),0.161,0.002,(100;768),0.155,0.002,(100;768),0.155
Chu_Stuckey\Random-100-100-4-5,0.000,(100;860),0.174,0.005,(97;836),0.180,0.002,(100;860),0.174,0.002,(100;860),0.174
Chu_Stuckey\Random-100-100-6-1,0.000,(100;1490),0.301,0.004,(96;1437),0.315,0.002,(100;1490),0.301,0.003,(100;1490),0.301
Chu_Stuckey\Random-100-100-6-2,0.000,(100;1743),0.352,0.004,(98;1713),0.360,0.002,(100;1743),0.352,0.003,(100;1743),0.352
Chu_Stuckey\Random-100-100-6-3,0.000,(100;1470),0.297,0.005,(98;1441),0.303,0.002,(100;1470),0.297,0.002,(100;1470),0.297
Chu_Stuckey\Random-100-100-6-4,0.000,(100;1525),0.308,0.004,(100;1525),0.308,0.003,(100;1525),0.308,0.002,(100;1525),0.308
Chu_Stuckey\Random-100-100-6-5,0.000,(100;1588),0.321,0.005,(96;1541),0.338,0.003,(100;1588),0.321,0.002,(100;1588),0.321
Chu_Stuckey\Random-100-100-8-1,0.000,(100;2290),0.463,0.005,(98;2247),0.473,0.002,(100;2290),0.463,0.002,(100;2290),0.463
Chu_Stuckey\Random-100-100-8-2,0.000,(100;2557),0.517,0.006,(100;2557),0.517,0.002,(100;2557),0.517,0.002,(100;2557),0.517
Chu_Stuckey\Random-100-100-8-3,0.000,(100;2373),0.479,0.004,(99;2351),0.485,0.003,(100;2373),0.479,0.002,(100;2373),0.479
Chu_Stuckey\Random-100-100-8-4,0.000,(100;2347),0.474,0.005,(99;2328),0.480,0.002,(100;2347),0.474,0.002,(100;2347),0.474
Chu_Stuckey\Random-100-100-8-5,0.000,(100;2473),0.500,0.004,(99;2457),0.506,0.002,(100;2473),0.500,0.003,(100;2473),0.500
Chu_Stuckey\Random-100-50-10-1,0.000,(50;779),0.636,0.002,(50;779),0.636,0.000,(50;779),0.636,0.000,(50;779),0.636
Chu_Stuckey\Random-100-50-10-2,0.000,(50;784),0.640,0.001,(50;784),0.640,0.001,(50;784),0.640,0.001,(50;784),0.640
Chu_Stuckey\Random-100-50-10-3,0.000,(50;821),0.670,0.001,(50;821),0.670,0.001,(50;821),0.670,0.000,(50;821),0.670
Chu_Stuckey\Random-100-50-10-4,0.000,(50;842),0.687,0.001,(50;842),0.687,0.001,(50;842),0.687,0.001,(50;842),0.687
Chu_Stuckey\Random-100-50-10-5,0.000,(50;699),0.571,0.001,(50;699),0.571,0.001,(50;699),0.571,0.000,(50;699),0.571
Chu_Stuckey\Random-100-50-2-1,0.000,(50;102),0.083,0.002,(49;100),0.085,0.000,(50;102),0.083,0.001,(48;98),0.087
Chu_Stuckey\Random-100-50-2-2,0.000,(50;92),0.075,0.001,(50;92),0.075,0.001,(50;92),0.075,0.001,(49;90),0.077
Chu_Stuckey\Random-100-50-2-3,0.000,(50;120),0.098,0.001,(49;118),0.100,0.000,(50;120),0.098,0.001,(48;116),0.103
Chu_Stuckey\Random-100-50-2-4,0.000,(50;79),0.064,0.001,(48;71),0.063,0.000,(50;79),0.064,0.001,(48;75),0.066
Chu_Stuckey\Random-100-50-2-5,0.000,(50;106),0.087,0.001,(49;105),0.089,0.001,(50;106),0.087,0.001,(49;104),0.088
Chu_Stuckey\Random-100-50-4-1,0.000,(50;202),0.165,0.001,(49;198),0.168,0.000,(50;202),0.165,0.000,(50;202),0.165
Chu_Stuckey\Random-100-50-4-2,0.000,(50;228),0.186,0.001,(49;224),0.190,0.001,(50;228),0.186,0.001,(50;228),0.186
Chu_Stuckey\Random-100-50-4-3,0.000,(50;224),0.183,0.001,(50;224),0.183,0.000,(50;224),0.183,0.000,(50;224),0.183
Chu_Stuckey\Random-100-50-4-4,0.000,(50;195),0.159,0.001,(50;195),0.159,0.000,(50;195),0.159,0.001,(50;195),0.159
Chu_Stuckey\Random-100-50-4-5,0.000,(50;203),0.166,0.001,(50;203),0.166,0.000,(50;203),0.166,0.001,(50;203),0.166
Chu_Stuckey\Random-100-50-6-1,0.000,(50;431),0.352,0.001,(50;431),0.352,0.001,(50;431),0.352,0.001,(50;431),0.352
Chu_Stuckey\Random-100-50-6-2,0.000,(50;364),0.297,0.001,(50;364),0.297,0.000,(50;364),0.297,0.000,(50;364),0.297
Chu_Stuckey\Random-100-50-6-3,0.000,(50;431),0.352,0.001,(50;431),0.352,0.000,(50;431),0.352,0.001,(50;431),0.352
Chu_Stuckey\Random-100-50-6-4,0.000,(50;442),0.361,0.001,(49;436),0.371,0.000,(50;442),0.361,0.000,(50;442),0.361
Chu_Stuckey\Random-100-50-6-5,0.000,(50;341),0.278,0.001,(49;334),0.284,0.000,(50;341),0.278,0.001,(50;341),0.278
Chu_Stuckey\Random-100-50-8-1,0.000,(50;558),0.456,0.001,(49;546),0.464,0.000,(50;558),0.456,0.000,(50;558),0.456
Chu_Stuckey\Random-100-50-8-2,0.000,(50;594),0.485,0.002,(50;594),0.485,0.000,(50;594),0.485,0.000,(50;594),0.485
Chu_Stuckey\Random-100-50-8-3,0.000,(50;604),0.493,0.001,(50;604),0.493,0.000,(50;604),0.493,0.001,(50;604),0.493
Chu_Stuckey\Random-100-50-8-4,0.000,(50;648),0.529,0.002,(50;648),0.529,0.000,(50;648),0.529,0.001,(50;648),0.529
Chu_Stuckey\Random-100-50-8-5,0.000,(50;533),0.435,0.002,(50;533),0.435,0.000,(50;533),0.435,0.000,(50;533),0.435
Chu_Stuckey\Random-125-125-10-1,0.000,(125;4334),0.559,0.009,(124;4308),0.565,0.003,(125;4334),0.559,0.003,(125;4334),0.559
Chu_Stuckey\Random-125-125-10-2,0.000,(125;4351),0.561,0.009,(125;4351),0.561,0.004,(125;4351),0.561,0.004,(125;4351),0.561
Chu_Stuckey\Random-125-125-10-3,0.000,(125;4470),0.577,0.010,(125;4470),0.577,0.004,(125;4470),0.577,0.003,(125;4470),0.577
Chu_Stuckey\Random-125-125-10-4,0.000,(125;4512),0.582,0.010,(125;4512),0.582,0.003,(125;4512),0.582,0.003,(125;4512),0.582
Chu_Stuckey\Random-125-125-10-5,0.000,(125;3850),0.497,0.043,(125;3850),0.497,0.003,(125;3850),0.497,0.003,(125;3850),0.497
Chu_Stuckey\Random-125-125-2-1,0.000,(125;401),0.052,0.004,(121;379),0.052,0.003,(125;401),0.052,0.004,(125;401),0.052
Chu_Stuckey\Random-125-125-2-2,0.000,(125;422),0.054,0.005,(123;407),0.054,0.002,(125;422),0.054,0.003,(124;420),0.055
Chu_Stuckey\Random-125-125-2-3,0.000,(125;386),0.050,0.004,(122;369),0.050,0.003,(125;386),0.050,0.003,(125;386),0.050
Chu_Stuckey\Random-125-125-2-4,0.000,(125;433),0.056,0.004,(123;415),0.055,0.003,(125;433),0.056,0.003,(125;433),0.056
Chu_Stuckey\Random-125-125-2-5,0.000,(125;386),0.050,0.005,(120;364),0.051,0.003,(125;386),0.050,0.003,(124;384),0.050
Chu_Stuckey\Random-125-125-4-1,0.000,(125;1066),0.138,0.006,(122;1046),0.142,0.003,(125;1066),0.138,0.003,(125;1066),0.138
Chu_Stuckey\Random-125-125-4-2,0.000,(125;1016),0.131,0.006,(121;979),0.135,0.003,(125;1016),0.131,0.003,(125;1016),0.131
Chu_Stuckey\Random-125-125-4-3,0.000,(125;1100),0.142,0.006,(123;1082),0.144,0.003,(125;1100),0.142,0.003,(125;1100),0.142
Chu_Stuckey\Random-125-125-4-4,0.000,(125;967),0.125,0.008,(120;918),0.129,0.003,(125;967),0.125,0.004,(125;967),0.125
Chu_Stuckey\Random-125-125-4-5,0.000,(125;913),0.118,0.005,(118;857),0.124,0.003,(125;913),0.118,0.003,(125;913),0.118
Chu_Stuckey\Random-125-125-6-1,0.000,(125;1968),0.254,0.007,(124;1955),0.256,0.003,(125;1968),0.254,0.003,(125;1968),0.254
Chu_Stuckey\Random-125-125-6-2,0.000,(125;1998),0.258,0.007,(125;1998),0.258,0.003,(125;1998),0.258,0.003,(125;1998),0.258
Chu_Stuckey\Random-125-125-6-3,0.000,(125;2119),0.273,0.007,(123;2084),0.278,0.003,(125;2119),0.273,0.003,(125;2119),0.273
Chu_Stuckey\Random-125-125-6-4,0.000,(125;2020),0.261,0.006,(125;2020),0.261,0.003,(125;2020),0.261,0.003,(125;2020),0.261
Chu_Stuckey\Random-125-125-6-5,0.000,(125;1791),0.231,0.006,(120;1721),0.241,0.003,(125;1791),0.231,0.003,(125;1791),0.231
Chu_Stuckey\Random-125-125-8-1,0.000,(125;3264),0.421,0.008,(124;3245),0.426,0.003,(125;3264),0.421,0.003,(125;3264),0.421
Chu_Stuckey\Random-125-125-8-2,0.000,(125;3138),0.405,0.008,(124;3121),0.409,0.003,(125;3138),0.405,0.004,(125;3138),0.405
Chu_Stuckey\Random-125-125-8-3,0.000,(125;3274),0.422,0.007,(123;3247),0.433,0.004,(125;3274),0.422,0.003,(125;3274),0.422
Chu_Stuckey\Random-125-125-8-4,0.000,(125;3236),0.418,0.007,(125;3236),0.418,0.005,(125;3236),0.418,0.004,(125;3236),0.418
