instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
Chu_Stuckey\Random-125-125-8-5,0.000,(125;2690),0.347,0.009,(124;2674),0.351,0.004,(125;2690),0.347,0.003,(125;2690),0.347
Chu_Stuckey\Random-30-30-10-1,0.000,(30;423),0.972,0.001,(30;423),0.972,0.000,(30;423),0.972,0.000,(30;423),0.972
Chu_Stuckey\Random-30-30-10-2,0.000,(30;408),0.938,0.001,(30;408),0.938,0.000,(30;408),0.938,0.000,(30;408),0.938
Chu_Stuckey\Random-30-30-10-3,0.000,(30;433),0.995,0.001,(30;433),0.995,0.000,(30;433),0.995,0.000,(30;433),0.995
Chu_Stuckey\Random-30-30-10-4,0.000,(30;426),0.979,0.001,(30;426),0.979,0.000,(30;426),0.979,0.000,(30;426),0.979
Chu_Stuckey\Random-30-30-10-5,0.000,(30;425),0.977,0.001,(30;425),0.977,0.000,(30;425),0.977,0.000,(30;425),0.977
Chu_Stuckey\Random-30-30-2-1,0.000,(30;96),0.221,0.001,(28;88),0.233,0.000,(30;96),0.221,0.000,(30;96),0.221
Chu_Stuckey\Random-30-30-2-2,0.000,(30;95),0.218,0.001,(27;80),0.228,0.000,(30;95),0.218,0.000,(30;95),0.218
Chu_Stuckey\Random-30-30-2-3,0.000,(30;101),0.232,0.000,(27;80),0.228,0.000,(30;101),0.232,0.000,(30;101),0.232
Chu_Stuckey\Random-30-30-2-4,0.000,(30;84),0.193,0.001,(27;70),0.199,0.000,(30;84),0.193,0.000,(30;84),0.193
Chu_Stuckey\Random-30-30-2-5,0.000,(30;96),0.221,0.000,(27;81),0.231,0.000,(30;96),0.221,0.000,(30;96),0.221
Chu_Stuckey\Random-30-30-4-1,0.000,(30;233),0.536,0.000,(27;206),0.587,0.000,(30;233),0.536,0.000,(30;233),0.536
Chu_Stuckey\Random-30-30-4-2,0.000,(30;221),0.508,0.001,(27;189),0.538,0.000,(30;221),0.508,0.000,(30;221),0.508
Chu_Stuckey\Random-30-30-4-3,0.000,(30;196),0.451,0.000,(24;161),0.583,0.000,(30;196),0.451,0.000,(30;196),0.451
Chu_Stuckey\Random-30-30-4-4,0.000,(30;168),0.386,0.000,(27;139),0.396,0.000,(30;168),0.386,0.000,(30;168),0.386
Chu_Stuckey\Random-30-30-4-5,0.000,(30;200),0.460,0.001,(29;191),0.470,0.000,(30;200),0.460,0.000,(30;200),0.460
Chu_Stuckey\Random-30-30-6-1,0.000,(30;320),0.736,0.001,(27;285),0.812,0.000,(30;320),0.736,0.000,(30;320),0.736
Chu_Stuckey\Random-30-30-6-2,0.000,(30;293),0.674,0.000,(27;246),0.701,0.000,(30;293),0.674,0.000,(30;293),0.674
Chu_Stuckey\Random-30-30-6-3,0.000,(30;320),0.736,0.001,(29;306),0.754,0.000,(30;320),0.736,0.000,(30;320),0.736
Chu_Stuckey\Random-30-30-6-4,0.000,(30;318),0.731,0.001,(28;298),0.788,0.000,(30;318),0.731,0.000,(30;318),0.731
Chu_Stuckey\Random-30-30-6-5,0.000,(30;278),0.639,0.000,(28;252),0.667,0.000,(30;278),0.639,0.000,(30;278),0.639
Chu_Stuckey\Random-30-30-8-1,0.000,(30;391),0.899,0.001,(30;391),0.899,0.000,(30;391),0.899,0.000,(30;391),0.899
Chu_Stuckey\Random-30-30-8-2,0.000,(30;373),0.857,0.000,(28;333),0.881,0.000,(30;373),0.857,0.000,(30;373),0.857
Chu_Stuckey\Random-30-30-8-3,0.000,(30;390),0.897,0.001,(29;374),0.921,0.000,(30;390),0.897,0.000,(30;390),0.897
Chu_Stuckey\Random-30-30-8-4,0.000,(30;401),0.922,0.000,(29;382),0.941,0.000,(30;401),0.922,0.000,(30;401),0.922
Chu_Stuckey\Random-30-30-8-5,0.000,(30;390),0.897,0.000,(30;390),0.897,0.000,(30;390),0.897,0.000,(30;390),0.897
Chu_Stuckey\Random-40-40-10-1,0.000,(40;724),0.928,0.001,(40;724),0.928,0.000,(40;724),0.928,0.000,(40;724),0.928
Chu_Stuckey\Random-40-40-10-2,0.000,(40;721),0.924,0.001,(40;721),0.924,0.000,(40;721),0.924,0.000,(40;721),0.924
Chu_Stuckey\Random-40-40-10-3,0.000,(40;712),0.913,0.001,(40;712),0.913,0.000,(40;712),0.913,0.001,(40;712),0.913
Chu_Stuckey\Random-40-40-10-4,0.000,(40;734),0.941,0.001,(40;734),0.941,0.001,(40;734),0.941,0.000,(40;734),0.941
Chu_Stuckey\Random-40-40-10-5,0.000,(40;726),0.931,0.001,(39;702),0.947,0.000,(40;726),0.931,0.000,(40;726),0.931
Chu_Stuckey\Random-40-40-2-1,0.000,(40;128),0.164,0.001,(37;111),0.167,0.000,(40;128),0.164,0.000,(40;128),0.164
Chu_Stuckey\Random-40-40-2-2,0.000,(40;153),0.196,0.001,(38;138),0.196,0.000,(40;153),0.196,0.001,(40;153),0.196
Chu_Stuckey\Random-40-40-2-3,0.000,(40;121),0.155,0.001,(38;105),0.149,0.001,(40;121),0.155,0.001,(39;119),0.161
Chu_Stuckey\Random-40-40-2-4,0.000,(40;97),0.124,0.001,(37;82),0.123,0.000,(40;97),0.124,0.000,(40;97),0.124
Chu_Stuckey\Random-40-40-2-5,0.000,(40;163),0.209,0.001,(38;151),0.215,0.000,(40;163),0.209,0.000,(40;163),0.209
Chu_Stuckey\Random-40-40-4-1,0.000,(40;282),0.362,0.001,(36;241),0.383,0.000,(40;282),0.362,0.000,(40;282),0.362
Chu_Stuckey\Random-40-40-4-2,0.000,(40;314),0.403,0.001,(38;292),0.415,0.000,(40;314),0.403,0.000,(40;314),0.403
Chu_Stuckey\Random-40-40-4-3,0.000,(40;289),0.371,0.001,(37;261),0.392,0.000,(40;289),0.371,0.000,(40;289),0.371
Chu_Stuckey\Random-40-40-4-4,0.000,(40;282),0.362,0.001,(38;268),0.381,0.000,(40;282),0.362,0.000,(40;282),0.362
Chu_Stuckey\Random-40-40-4-5,0.000,(40;292),0.374,0.001,(39;284),0.383,0.000,(40;292),0.374,0.000,(40;292),0.374
Chu_Stuckey\Random-40-40-6-1,0.000,(40;496),0.636,0.001,(38;469),0.667,0.000,(40;496),0.636,0.000,(40;496),0.636
Chu_Stuckey\Random-40-40-6-2,0.000,(40;475),0.609,0.001,(38;446),0.634,0.001,(40;475),0.609,0.001,(40;475),0.609
Chu_Stuckey\Random-40-40-6-3,0.000,(40;454),0.582,0.001,(38;432),0.615,0.001,(40;454),0.582,0.001,(40;454),0.582
Chu_Stuckey\Random-40-40-6-4,0.000,(40;438),0.562,0.001,(39;427),0.576,0.000,(40;438),0.562,0.000,(40;438),0.562
Chu_Stuckey\Random-40-40-6-5,0.000,(40;461),0.591,0.001,(38;443),0.630,0.001,(40;461),0.591,0.000,(40;461),0.591
Chu_Stuckey\Random-40-40-8-1,0.000,(40;645),0.827,0.001,(40;645),0.827,0.000,(40;645),0.827,0.001,(40;645),0.827
Chu_Stuckey\Random-40-40-8-2,0.000,(40;612),0.785,0.001,(40;612),0.785,0.001,(40;612),0.785,0.000,(40;612),0.785
Chu_Stuckey\Random-40-40-8-3,0.000,(40;592),0.759,0.001,(39;566),0.764,0.000,(40;592),0.759,0.001,(40;592),0.759
Chu_Stuckey\Random-40-40-8-4,0.000,(40;630),0.808,0.001,(40;630),0.808,0.000,(40;630),0.808,0.001,(40;630),0.808
Chu_Stuckey\Random-40-40-8-5,0.000,(40;628),0.805,0.001,(39;615),0.830,0.000,(40;628),0.805,0.001,(40;628),0.805
Chu_Stuckey\Random-50-100-10-1,0.000,(100;4237),0.856,0.004,(100;4237),0.856,0.003,(100;4237),0.856,0.002,(100;4237),0.856
Chu_Stuckey\Random-50-100-10-2,0.000,(100;4282),0.865,0.004,(99;4241),0.874,0.002,(100;4282),0.865,0.002,(100;4282),0.865
Chu_Stuckey\Random-50-100-10-3,0.000,(100;4248),0.858,0.005,(99;4184),0.863,0.002,(100;4248),0.858,0.002,(100;4248),0.858
Chu_Stuckey\Random-50-100-10-4,0.000,(100;4405),0.890,0.006,(99;4360),0.899,0.003,(100;4405),0.890,0.002,(100;4405),0.890
Chu_Stuckey\Random-50-100-10-5,0.000,(100;4274),0.863,0.005,(100;4274),0.863,0.002,(100;4274),0.863,0.002,(100;4274),0.863
Chu_Stuckey\Random-50-100-2-1,0.000,(100;585),0.118,0.003,(91;497),0.121,0.002,(100;585),0.118,0.003,(100;585),0.118
Chu_Stuckey\Random-50-100-2-2,0.000,(100;604),0.122,0.004,(92;524),0.125,0.002,(100;604),0.122,0.002,(100;604),0.122
Chu_Stuckey\Random-50-100-2-3,0.000,(100;732),0.148,0.003,(87;581),0.155,0.002,(100;732),0.148,0.002,(100;732),0.148
Chu_Stuckey\Random-50-100-2-4,0.000,(100;633),0.128,0.003,(90;533),0.133,0.002,(100;633),0.128,0.002,(100;633),0.128
Chu_Stuckey\Random-50-100-2-5,0.000,(100;578),0.117,0.003,(89;464),0.118,0.002,(100;578),0.117,0.002,(100;578),0.117
Chu_Stuckey\Random-50-100-4-1,0.000,(100;1343),0.271,0.003,(86;1148),0.314,0.002,(100;1343),0.271,0.002,(100;1343),0.271
Chu_Stuckey\Random-50-100-4-2,0.000,(100;1493),0.302,0.004,(86;1265),0.346,0.002,(100;1493),0.302,0.002,(100;1493),0.302
Chu_Stuckey\Random-50-100-4-3,0.000,(100;1488),0.301,0.003,(87;1279),0.342,0.002,(100;1488),0.301,0.002,(100;1488),0.301
Chu_Stuckey\Random-50-100-4-4,0.000,(100;1584),0.320,0.004,(87;1352),0.361,0.002,(100;1584),0.320,0.002,(100;1584),0.320
Chu_Stuckey\Random-50-100-4-5,0.000,(100;1342),0.271,0.003,(92;1231),0.294,0.002,(100;1342),0.271,0.002,(100;1342),0.271
Chu_Stuckey\Random-50-100-6-1,0.000,(100;2629),0.531,0.003,(92;2387),0.570,0.002,(100;2629),0.531,0.002,(100;2629),0.531
Chu_Stuckey\Random-50-100-6-2,0.000,(100;2565),0.518,0.004,(93;2364),0.553,0.002,(100;2565),0.518,0.002,(100;2565),0.518
Chu_Stuckey\Random-50-100-6-3,0.000,(100;2680),0.541,0.003,(93;2509),0.586,0.002,(100;2680),0.541,0.002,(100;2680),0.541
Chu_Stuckey\Random-50-100-6-4,0.000,(100;2749),0.555,0.007,(96;2623),0.575,0.002,(100;2749),0.555,0.002,(100;2749),0.555
Chu_Stuckey\Random-50-100-6-5,0.000,(100;2301),0.465,0.003,(94;2172),0.497,0.002,(100;2301),0.465,0.002,(100;2301),0.465
Chu_Stuckey\Random-50-100-8-1,0.000,(100;3489),0.705,0.004,(97;3355),0.721,0.002,(100;3489),0.705,0.002,(100;3489),0.705
Chu_Stuckey\Random-50-100-8-2,0.000,(100;3570),0.721,0.005,(98;3483),0.733,0.003,(100;3570),0.721,0.003,(100;3570),0.721
Chu_Stuckey\Random-50-100-8-3,0.000,(100;3500),0.707,0.005,(97;3370),0.724,0.002,(100;3500),0.707,0.002,(100;3500),0.707
Chu_Stuckey\Random-50-100-8-4,0.000,(100;3818),0.771,0.006,(97;3683),0.791,0.003,(100;3818),0.771,0.002,(100;3818),0.771
Chu_Stuckey\Random-50-100-8-5,0.000,(100;3428),0.693,0.005,(96;3295),0.723,0.002,(100;3428),0.693,0.002,(100;3428),0.693
Chu_Stuckey\Random-50-50-10-1,0.000,(50;1060),0.865,0.001,(50;1060),0.865,0.001,(50;1060),0.865,0.000,(50;1060),0.865
Chu_Stuckey\Random-50-50-10-2,0.000,(50;1036),0.846,0.002,(50;1036),0.846,0.001,(50;1036),0.846,0.001,(50;1036),0.846
Chu_Stuckey\Random-50-50-10-3,0.000,(50;1077),0.879,0.001,(50;1077),0.879,0.001,(50;1077),0.879,0.000,(50;1077),0.879
Chu_Stuckey\Random-50-50-10-4,0.000,(50;1070),0.873,0.002,(50;1070),0.873,0.001,(50;1070),0.873,0.001,(50;1070),0.873
Chu_Stuckey\Random-50-50-10-5,0.000,(50;1145),0.935,0.002,(50;1145),0.935,0.001,(50;1145),0.935,0.001,(50;1145),0.935
Chu_Stuckey\Random-50-50-2-1,0.000,(50;203),0.166,0.002,(48;188),0.167,0.000,(50;203),0.166,0.000,(50;203),0.166
Chu_Stuckey\Random-50-50-2-2,0.000,(50;158),0.129,0.001,(48;147),0.130,0.000,(50;158),0.129,0.001,(50;158),0.129
Chu_Stuckey\Random-50-50-2-3,0.000,(50;158),0.129,0.001,(50;158),0.129,0.000,(50;158),0.129,0.001,(50;158),0.129
Chu_Stuckey\Random-50-50-2-4,0.000,(50;184),0.150,0.001,(47;169),0.156,0.000,(50;184),0.150,0.001,(50;184),0.150
Chu_Stuckey\Random-50-50-2-5,0.000,(50;166),0.136,0.001,(50;166),0.136,0.000,(50;166),0.136,0.001,(50;166),0.136
Chu_Stuckey\Random-50-50-4-1,0.000,(50;359),0.293,0.001,(46;329),0.318,0.001,(50;359),0.293,0.001,(50;359),0.293
Chu_Stuckey\Random-50-50-4-2,0.000,(50;385),0.314,0.001,(49;376),0.320,0.001,(50;385),0.314,0.001,(50;385),0.314
Chu_Stuckey\Random-50-50-4-3,0.000,(50;359),0.293,0.001,(48;349),0.309,0.000,(50;359),0.293,0.001,(50;359),0.293
Chu_Stuckey\Random-50-50-4-4,0.000,(50;412),0.336,0.002,(45;368),0.372,0.001,(50;412),0.336,0.001,(50;412),0.336
Chu_Stuckey\Random-50-50-4-5,0.000,(50;436),0.356,0.001,(50;436),0.356,0.001,(50;436),0.356,0.000,(50;436),0.356
Chu_Stuckey\Random-50-50-6-1,0.000,(50;683),0.558,0.001,(48;636),0.564,0.000,(50;683),0.558,0.000,(50;683),0.558
Chu_Stuckey\Random-50-50-6-2,0.000,(50;637),0.520,0.001,(47;604),0.559,0.000,(50;637),0.520,0.001,(50;637),0.520
Chu_Stuckey\Random-50-50-6-3,0.000,(50;638),0.521,0.002,(50;638),0.521,0.000,(50;638),0.521,0.001,(50;638),0.521
Chu_Stuckey\Random-50-50-6-4,0.000,(50;678),0.553,0.001,(47;633),0.586,0.000,(50;678),0.553,0.000,(50;678),0.553
Chu_Stuckey\Random-50-50-6-5,0.000,(50;765),0.624,0.001,(49;754),0.641,0.001,(50;765),0.624,0.001,(50;765),0.624
Chu_Stuckey\Random-50-50-8-1,0.000,(50;906),0.740,0.001,(49;887),0.754,0.001,(50;906),0.740,0.000,(50;906),0.740
Chu_Stuckey\Random-50-50-8-2,0.000,(50;862),0.704,0.002,(49;850),0.723,0.001,(50;862),0.704,0.001,(50;862),0.704
Chu_Stuckey\Random-50-50-8-3,0.000,(50;916),0.748,0.001,(50;916),0.748,0.000,(50;916),0.748,0.001,(50;916),0.748
Chu_Stuckey\Random-50-50-8-4,0.000,(50;929),0.758,0.001,(50;929),0.758,0.001,(50;929),0.758,0.001,(50;929),0.758
Chu_Stuckey\Random-50-50-8-5,0.000,(50;1033),0.843,0.002,(50;1033),0.843,0.001,(50;1033),0.843,0.000,(50;1033),0.843
Chu_Stuckey\Random-75-75-10-1,0.000,(75;2057),0.741,0.003,(75;2057),0.741,0.002,(75;2057),0.741,0.001,(75;2057),0.741
Chu_Stuckey\Random-75-75-10-2,0.000,(75;2093),0.754,0.003,(75;2093),0.754,0.002,(75;2093),0.754,0.001,(75;2093),0.754
Chu_Stuckey\Random-75-75-10-3,0.000,(75;2122),0.765,0.003,(75;2122),0.765,0.001,(75;2122),0.765,0.001,(75;2122),0.765
Chu_Stuckey\Random-75-75-10-4,0.000,(75;2066),0.745,0.003,(75;2066),0.745,0.002,(75;2066),0.745,0.001,(75;2066),0.745
Chu_Stuckey\Random-75-75-10-5,0.000,(75;1994),0.719,0.003,(75;1994),0.719,0.001,(75;1994),0.719,0.001,(75;1994),0.719
Chu_Stuckey\Random-75-75-2-1,0.000,(75;262),0.094,0.002,(69;222),0.095,0.001,(75;262),0.094,0.001,(75;262),0.094
Chu_Stuckey\Random-75-75-2-2,0.000,(75;282),0.102,0.002,(66;235),0.110,0.001,(75;282),0.102,0.001,(75;282),0.102
Chu_Stuckey\Random-75-75-2-3,0.000,(75;264),0.095,0.002,(73;255),0.097,0.001,(75;264),0.095,0.001,(75;264),0.095
Chu_Stuckey\Random-75-75-2-4,0.000,(75;215),0.077,0.002,(75;215),0.077,0.001,(75;215),0.077,0.001,(75;215),0.077
Chu_Stuckey\Random-75-75-2-5,0.000,(75;242),0.087,0.002,(73;234),0.089,0.001,(75;242),0.087,0.001,(75;242),0.087
