instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
"Frinhani, Carvalho & Soma\Random-1000-1000-2-1",0.000,(1000;3499),0.007,0.316,(998;3487),0.007,0.184,(1000;3499),0.007,0.200,(1000;3499),0.007
"Frinhani, Carvalho & Soma\Random-1000-1000-2-10",0.000,(1000;3369),0.007,0.297,(1000;3369),0.007,0.201,(1000;3369),0.007,0.197,(997;3363),0.007
"Frinhani, Carvalho & Soma\Random-1000-1000-2-2",0.000,(1000;3375),0.007,0.303,(997;3353),0.007,0.181,(1000;3375),0.007,0.207,(998;3371),0.007
"Frinhani, Carvalho & Soma\Random-1000-1000-2-3",0.000,(1000;3506),0.007,0.312,(997;3490),0.007,0.203,(1000;3506),0.007,0.201,(997;3500),0.007
"Frinhani, Carvalho & Soma\Random-1000-1000-2-4",0.000,(1000;3392),0.007,0.311,(998;3384),0.007,0.188,(1000;3392),0.007,0.194,(998;3388),0.007
"Frinhani, Carvalho & Soma\Random-1000-1000-2-5",0.000,(1000;3412),0.007,0.324,(998;3403),0.007,0.185,(1000;3412),0.007,0.207,(997;3406),0.007
"Frinhani, Carvalho & Soma\Random-1000-1000-2-6",0.000,(1000;3380),0.007,0.304,(997;3365),0.007,0.181,(1000;3380),0.007,0.209,(996;3372),0.007
"Frinhani, Carvalho & Soma\Random-1000-1000-2-7",0.000,(1000;3335),0.007,0.308,(998;3320),0.007,0.215,(1000;3335),0.007,0.233,(999;3333),0.007
"Frinhani, Carvalho & Soma\Random-1000-1000-2-8",0.000,(1000;3298),0.007,0.319,(995;3274),0.007,0.189,(1000;3298),0.007,0.244,(996;3290),0.007
"Frinhani, Carvalho & Soma\Random-1000-1000-2-9",0.000,(1000;3363),0.007,0.290,(998;3352),0.007,0.204,(1000;3363),0.007,0.218,(995;3353),0.007
"Frinhani, Carvalho & Soma\Random-1000-1000-20-1",0.000,(1000;163218),0.327,1.122,(1000;163218),0.327,0.228,(1000;163218),0.327,0.213,(1000;163218),0.327
"Frinhani, Carvalho & Soma\Random-1000-1000-20-10",0.000,(1000;163278),0.327,1.093,(1000;163278),0.327,0.223,(1000;163278),0.327,0.241,(1000;163278),0.327
"Frinhani, Carvalho & Soma\Random-1000-1000-20-2",0.000,(1000;160948),0.322,1.047,(1000;160948),0.322,0.236,(1000;160948),0.322,0.219,(1000;160948),0.322
"Frinhani, Carvalho & Soma\Random-1000-1000-20-3",0.000,(1000;163205),0.327,1.068,(1000;163205),0.327,0.241,(1000;163205),0.327,0.225,(1000;163205),0.327
"Frinhani, Carvalho & Soma\Random-1000-1000-20-4",0.000,(1000;165847),0.332,1.185,(1000;165847),0.332,0.212,(1000;165847),0.332,0.207,(1000;165847),0.332
"Frinhani, Carvalho & Soma\Random-1000-1000-20-5",0.000,(1000;165514),0.331,1.062,(1000;165514),0.331,0.208,(1000;165514),0.331,0.197,(1000;165514),0.331
"Frinhani, Carvalho & Soma\Random-1000-1000-20-6",0.000,(1000;162840),0.326,1.104,(1000;162840),0.326,0.208,(1000;162840),0.326,0.217,(1000;162840),0.326
"Frinhani, Carvalho & Soma\Random-1000-1000-20-7",0.000,(1000;166217),0.333,0.977,(1000;166217),0.333,0.250,(1000;166217),0.333,0.205,(1000;166217),0.333
"Frinhani, Carvalho & Soma\Random-1000-1000-20-8",0.000,(1000;163923),0.328,1.025,(1000;163923),0.328,0.271,(1000;163923),0.328,0.206,(1000;163923),0.328
