instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
"Frinhani, Carvalho & Soma\Random-1000-1000-50-9",0.000,(1000;459073),0.919,2.233,(1000;459073),0.919,0.257,(1000;459073),0.919,0.229,(1000;459073),0.919
"Frinhani, Carvalho & Soma\Random-1000-1000-54-1",0.000,(1000;472782),0.947,3.286,(1000;472782),0.947,0.274,(1000;472782),0.947,0.247,(1000;472782),0.947
"Frinhani, Carvalho & Soma\Random-1000-1000-54-10",0.000,(1000;470787),0.943,2.983,(1000;470787),0.943,0.262,(1000;470787),0.943,0.238,(1000;470787),0.943
"Frinhani, Carvalho & Soma\Random-1000-1000-54-2",0.000,(1000;471893),0.945,3.047,(1000;471893),0.945,0.285,(1000;471893),0.945,0.216,(1000;471893),0.945
"Frinhani, Carvalho & Soma\Random-1000-1000-54-3",0.000,(1000;472804),0.947,3.170,(1000;472804),0.947,0.259,(1000;472804),0.947,0.226,(1000;472804),0.947
"Frinhani, Carvalho & Soma\Random-1000-1000-54-4",0.000,(1000;473670),0.948,3.052,(1000;473670),0.948,0.284,(1000;473670),0.948,0.230,(1000;473670),0.948
"Frinhani, Carvalho & Soma\Random-1000-1000-54-5",0.000,(1000;473204),0.947,3.228,(1000;473204),0.947,0.263,(1000;473204),0.947,0.235,(1000;473204),0.947
"Frinhani, Carvalho & Soma\Random-1000-1000-54-6",0.000,(1000;471534),0.944,2.984,(1000;471534),0.944,0.274,(1000;471534),0.944,0.235,(1000;471534),0.944
"Frinhani, Carvalho & Soma\Random-1000-1000-54-7",0.000,(1000;473763),0.948,3.525,(1000;473763),0.948,0.268,(1000;473763),0.948,0.224,(1000;473763),0.948
"Frinhani, Carvalho & Soma\Random-1000-1000-54-8",0.000,(1000;471825),0.945,3.146,(1000;471825),0.945,0.269,(1000;471825),0.945,0.232,(1000;471825),0.945
"Frinhani, Carvalho & Soma\Random-1000-1000-54-9",0.000,(1000;471774),0.944,3.200,(1000;471774),0.944,0.275,(1000;471774),0.944,0.233,(1000;471774),0.944
"Frinhani, Carvalho & Soma\Random-1000-1000-6-1",0.000,(1000;18529),0.037,0.503,(999;18511),0.037,0.191,(1000;18529),0.037,0.226,(1000;18529),0.037
"Frinhani, Carvalho & Soma\Random-1000-1000-6-10",0.000,(1000;18219),0.036,0.465,(996;18165),0.037,0.201,(1000;18219),0.036,0.184,(1000;18219),0.036
"Frinhani, Carvalho & Soma\Random-1000-1000-6-2",0.000,(1000;17861),0.036,0.445,(996;17814),0.036,0.223,(1000;17861),0.036,0.190,(1000;17861),0.036
"Frinhani, Carvalho & Soma\Random-1000-1000-6-3",0.000,(1000;16655),0.033,0.425,(996;16600),0.034,0.180,(1000;16655),0.033,0.185,(1000;16655),0.033
"Frinhani, Carvalho & Soma\Random-1000-1000-6-4",0.000,(1000;17651),0.035,0.487,(999;17632),0.035,0.210,(1000;17651),0.035,0.206,(1000;17651),0.035
"Frinhani, Carvalho & Soma\Random-1000-1000-6-5",0.000,(1000;18031),0.036,0.487,(997;17981),0.036,0.187,(1000;18031),0.036,0.185,(1000;18031),0.036
"Frinhani, Carvalho & Soma\Random-1000-1000-6-6",0.000,(1000;18539),0.037,0.433,(999;18532),0.037,0.188,(1000;18539),0.037,0.189,(1000;18539),0.037
"Frinhani, Carvalho & Soma\Random-1000-1000-6-7",0.000,(1000;17420),0.035,0.439,(998;17394),0.035,0.191,(1000;17420),0.035,0.214,(1000;17420),0.035
"Frinhani, Carvalho & Soma\Random-1000-1000-6-8",0.000,(1000;18343),0.037,0.445,(1000;18343),0.037,0.207,(1000;18343),0.037,0.184,(1000;18343),0.037
"Frinhani, Carvalho & Soma\Random-1000-1000-6-9",0.000,(1000;18405),0.037,0.506,(998;18380),0.037,0.266,(1000;18405),0.037,0.222,(1000;18405),0.037
"Frinhani, Carvalho & Soma\Random-1000-1000-8-1",0.000,(1000;31467),0.063,0.505,(1000;31467),0.063,0.187,(1000;31467),0.063,0.191,(1000;31467),0.063
"Frinhani, Carvalho & Soma\Random-1000-1000-8-10",0.000,(1000;30368),0.061,0.502,(1000;30368),0.061,0.205,(1000;30368),0.061,0.204,(1000;30368),0.061
"Frinhani, Carvalho & Soma\Random-1000-1000-8-2",0.000,(1000;30961),0.062,0.560,(1000;30961),0.062,0.197,(1000;30961),0.062,0.208,(1000;30961),0.062
"Frinhani, Carvalho & Soma\Random-1000-1000-8-3",0.000,(1000;31574),0.063,0.553,(999;31552),0.063,0.267,(1000;31574),0.063,0.187,(1000;31574),0.063
"Frinhani, Carvalho & Soma\Random-1000-1000-8-4",0.000,(1000;31169),0.062,0.557,(999;31148),0.062,0.213,(1000;31169),0.062,0.205,(1000;31169),0.062
"Frinhani, Carvalho & Soma\Random-1000-1000-8-5",0.000,(1000;31160),0.062,0.552,(1000;31160),0.062,0.218,(1000;31160),0.062,0.199,(1000;31160),0.062
"Frinhani, Carvalho & Soma\Random-1000-1000-8-6",0.000,(1000;31139),0.062,0.536,(1000;31139),0.062,0.219,(1000;31139),0.062,0.224,(1000;31139),0.062
"Frinhani, Carvalho & Soma\Random-1000-1000-8-7",0.000,(1000;30289),0.061,0.480,(998;30249),0.061,0.222,(1000;30289),0.061,0.212,(1000;30289),0.061
"Frinhani, Carvalho & Soma\Random-1000-1000-8-8",0.000,(1000;29792),0.060,0.501,(1000;29792),0.060,0.193,(1000;29792),0.060,0.206,(1000;29792),0.060
"Frinhani, Carvalho & Soma\Random-1000-1000-8-9",0.000,(1000;31099),0.062,0.528,(1000;31099),0.062,0.215,(1000;31099),0.062,0.215,(1000;31099),0.062
"Frinhani, Carvalho & Soma\Random-400-400-10-1",0.000,(400;17199),0.216,0.099,(400;17199),0.216,0.038,(400;17199),0.216,0.035,(400;17199),0.216
"Frinhani, Carvalho & Soma\Random-400-400-10-10",0.000,(400;17348),0.217,0.090,(399;17322),0.218,0.033,(400;17348),0.217,0.042,(400;17348),0.217
"Frinhani, Carvalho & Soma\Random-400-400-10-2",0.000,(400;17300),0.217,0.089,(400;17300),0.217,0.031,(400;17300),0.217,0.035,(400;17300),0.217
"Frinhani, Carvalho & Soma\Random-400-400-10-3",0.000,(400;17514),0.219,0.088,(399;17491),0.220,0.031,(400;17514),0.219,0.031,(400;17514),0.219
"Frinhani, Carvalho & Soma\Random-400-400-10-4",0.000,(400;16834),0.211,0.084,(400;16834),0.211,0.039,(400;16834),0.211,0.033,(400;16834),0.211
"Frinhani, Carvalho & Soma\Random-400-400-10-5",0.000,(400;17992),0.225,0.088,(400;17992),0.225,0.036,(400;17992),0.225,0.037,(400;17992),0.225
"Frinhani, Carvalho & Soma\Random-400-400-10-6",0.000,(400;16964),0.213,0.090,(400;16964),0.213,0.034,(400;16964),0.213,0.032,(400;16964),0.213
"Frinhani, Carvalho & Soma\Random-400-400-10-7",0.000,(400;17799),0.223,0.090,(399;17773),0.224,0.033,(400;17799),0.223,0.034,(400;17799),0.223
"Frinhani, Carvalho & Soma\Random-400-400-10-8",0.000,(400;17820),0.223,0.090,(400;17820),0.223,0.033,(400;17820),0.223,0.031,(400;17820),0.223
"Frinhani, Carvalho & Soma\Random-400-400-10-9",0.000,(400;18585),0.233,0.096,(400;18585),0.233,0.032,(400;18585),0.233,0.037,(400;18585),0.233
"Frinhani, Carvalho & Soma\Random-400-400-14-1",0.000,(400;30093),0.377,0.111,(400;30093),0.377,0.035,(400;30093),0.377,0.033,(400;30093),0.377
"Frinhani, Carvalho & Soma\Random-400-400-14-10",0.000,(400;30696),0.385,0.133,(400;30696),0.385,0.041,(400;30696),0.385,0.037,(400;30696),0.385
"Frinhani, Carvalho & Soma\Random-400-400-14-2",0.000,(400;30332),0.380,0.120,(400;30332),0.380,0.035,(400;30332),0.380,0.035,(400;30332),0.380
"Frinhani, Carvalho & Soma\Random-400-400-14-3",0.000,(400;30126),0.378,0.128,(400;30126),0.378,0.035,(400;30126),0.378,0.033,(400;30126),0.378
"Frinhani, Carvalho & Soma\Random-400-400-14-4",0.000,(400;29513),0.370,0.116,(400;29513),0.370,0.038,(400;29513),0.370,0.032,(400;29513),0.370
"Frinhani, Carvalho & Soma\Random-400-400-14-5",0.000,(400;31407),0.394,0.177,(400;31407),0.394,0.034,(400;31407),0.394,0.033,(400;31407),0.394
"Frinhani, Carvalho & Soma\Random-400-400-14-6",0.000,(400;30159),0.378,0.106,(400;30159),0.378,0.033,(400;30159),0.378,0.033,(400;30159),0.378
"Frinhani, Carvalho & Soma\Random-400-400-14-7",0.000,(400;31703),0.397,0.112,(400;31703),0.397,0.038,(400;31703),0.397,0.034,(400;31703),0.397
"Frinhani, Carvalho & Soma\Random-400-400-14-8",0.000,(400;31680),0.397,0.105,(400;31680),0.397,0.037,(400;31680),0.397,0.033,(400;31680),0.397
"Frinhani, Carvalho & Soma\Random-400-400-14-9",0.000,(400;31957),0.400,0.108,(400;31957),0.400,0.035,(400;31957),0.400,0.033,(400;31957),0.400
"Frinhani, Carvalho & Soma\Random-400-400-18-1",0.000,(400;43029),0.539,0.164,(400;43029),0.539,0.034,(400;43029),0.539,0.034,(400;43029),0.539
"Frinhani, Carvalho & Soma\Random-400-400-18-10",0.000,(400;44224),0.554,0.139,(400;44224),0.554,0.034,(400;44224),0.554,0.034,(400;44224),0.554
"Frinhani, Carvalho & Soma\Random-400-400-18-2",0.000,(400;43873),0.550,0.138,(400;43873),0.550,0.035,(400;43873),0.550,0.035,(400;43873),0.550
"Frinhani, Carvalho & Soma\Random-400-400-18-3",0.000,(400;44105),0.553,0.143,(400;44105),0.553,0.042,(400;44105),0.553,0.050,(400;44105),0.553
"Frinhani, Carvalho & Soma\Random-400-400-18-4",0.000,(400;42806),0.536,0.148,(400;42806),0.536,0.042,(400;42806),0.536,0.038,(400;42806),0.536
"Frinhani, Carvalho & Soma\Random-400-400-18-5",0.000,(400;45142),0.566,0.163,(400;45142),0.566,0.048,(400;45142),0.566,0.044,(400;45142),0.566
"Frinhani, Carvalho & Soma\Random-400-400-18-6",0.000,(400;43538),0.546,0.141,(400;43538),0.546,0.043,(400;43538),0.546,0.038,(400;43538),0.546
"Frinhani, Carvalho & Soma\Random-400-400-18-7",0.000,(400;44907),0.563,0.163,(400;44907),0.563,0.035,(400;44907),0.563,0.033,(400;44907),0.563
"Frinhani, Carvalho & Soma\Random-400-400-18-8",0.000,(400;44730),0.561,0.173,(400;44730),0.561,0.039,(400;44730),0.561,0.037,(400;44730),0.561
"Frinhani, Carvalho & Soma\Random-400-400-18-9",0.000,(400;45794),0.574,0.143,(400;45794),0.574,0.035,(400;45794),0.574,0.035,(400;45794),0.574
"Frinhani, Carvalho & Soma\Random-400-400-2-1",0.000,(400;1323),0.017,0.053,(397;1305),0.017,0.035,(400;1323),0.017,0.042,(398;1319),0.017
"Frinhani, Carvalho & Soma\Random-400-400-2-10",0.000,(400;1388),0.017,0.054,(396;1369),0.018,0.029,(400;1388),0.017,0.031,(398;1384),0.018
"Frinhani, Carvalho & Soma\Random-400-400-2-2",0.000,(400;1352),0.017,0.051,(396;1332),0.017,0.029,(400;1352),0.017,0.032,(398;1348),0.017
"Frinhani, Carvalho & Soma\Random-400-400-2-3",0.000,(400;1284),0.016,0.050,(397;1262),0.016,0.028,(400;1284),0.016,0.035,(396;1276),0.016
"Frinhani, Carvalho & Soma\Random-400-400-2-4",0.000,(400;1317),0.017,0.050,(398;1305),0.017,0.029,(400;1317),0.017,0.032,(398;1313),0.017
"Frinhani, Carvalho & Soma\Random-400-400-2-5",0.000,(400;1420),0.018,0.051,(399;1414),0.018,0.028,(400;1420),0.018,0.031,(399;1418),0.018
"Frinhani, Carvalho & Soma\Random-400-400-2-6",0.000,(400;1344),0.017,0.051,(399;1335),0.017,0.031,(400;1344),0.017,0.036,(398;1340),0.017
"Frinhani, Carvalho & Soma\Random-400-400-2-7",0.000,(400;1149),0.014,0.047,(398;1141),0.014,0.029,(400;1149),0.014,0.033,(398;1145),0.014
"Frinhani, Carvalho & Soma\Random-400-400-2-8",0.000,(400;1372),0.017,0.049,(399;1369),0.017,0.028,(400;1372),0.017,0.034,(399;1370),0.017
"Frinhani, Carvalho & Soma\Random-400-400-2-9",0.000,(400;1313),0.016,0.057,(395;1281),0.016,0.031,(400;1313),0.016,0.036,(397;1307),0.017
"Frinhani, Carvalho & Soma\Random-400-400-20-1",0.000,(400;49392),0.619,0.155,(400;49392),0.619,0.035,(400;49392),0.619,0.034,(400;49392),0.619
"Frinhani, Carvalho & Soma\Random-400-400-20-10",0.000,(400;50401),0.632,0.154,(400;50401),0.632,0.035,(400;50401),0.632,0.032,(400;50401),0.632
"Frinhani, Carvalho & Soma\Random-400-400-20-2",0.000,(400;50043),0.627,0.152,(400;50043),0.627,0.034,(400;50043),0.627,0.042,(400;50043),0.627
"Frinhani, Carvalho & Soma\Random-400-400-20-3",0.000,(400;50471),0.632,0.162,(400;50471),0.632,0.034,(400;50471),0.632,0.034,(400;50471),0.632
"Frinhani, Carvalho & Soma\Random-400-400-20-4",0.000,(400;49230),0.617,0.182,(400;49230),0.617,0.039,(400;49230),0.617,0.037,(400;49230),0.617
"Frinhani, Carvalho & Soma\Random-400-400-20-5",0.000,(400;50944),0.638,0.160,(400;50944),0.638,0.036,(400;50944),0.638,0.034,(400;50944),0.638
"Frinhani, Carvalho & Soma\Random-400-400-20-6",0.000,(400;49507),0.620,0.154,(400;49507),0.620,0.035,(400;49507),0.620,0.033,(400;49507),0.620
"Frinhani, Carvalho & Soma\Random-400-400-20-7",0.000,(400;50907),0.638,0.156,(400;50907),0.638,0.035,(400;50907),0.638,0.032,(400;50907),0.638
"Frinhani, Carvalho & Soma\Random-400-400-20-8",0.000,(400;50575),0.634,0.165,(400;50575),0.634,0.035,(400;50575),0.634,0.033,(400;50575),0.634
"Frinhani, Carvalho & Soma\Random-400-400-20-9",0.000,(400;51605),0.647,0.169,(400;51605),0.647,0.052,(400;51605),0.647,0.034,(400;51605),0.647
"Frinhani, Carvalho & Soma\Random-400-400-24-1",0.000,(400;60095),0.753,0.203,(400;60095),0.753,0.040,(400;60095),0.753,0.038,(400;60095),0.753
"Frinhani, Carvalho & Soma\Random-400-400-24-10",0.000,(400;60419),0.757,0.200,(400;60419),0.757,0.040,(400;60419),0.757,0.036,(400;60419),0.757
"Frinhani, Carvalho & Soma\Random-400-400-24-2",0.000,(400;60771),0.762,0.196,(400;60771),0.762,0.039,(400;60771),0.762,0.037,(400;60771),0.762
"Frinhani, Carvalho & Soma\Random-400-400-24-3",0.000,(400;60989),0.764,0.200,(400;60989),0.764,0.040,(400;60989),0.764,0.037,(400;60989),0.764
"Frinhani, Carvalho & Soma\Random-400-400-24-4",0.000,(400;60250),0.755,0.209,(400;60250),0.755,0.041,(400;60250),0.755,0.040,(400;60250),0.755
"Frinhani, Carvalho & Soma\Random-400-400-24-5",0.000,(400;61131),0.766,0.214,(400;61131),0.766,0.045,(400;61131),0.766,0.042,(400;61131),0.766
"Frinhani, Carvalho & Soma\Random-400-400-24-6",0.000,(400;60113),0.753,0.182,(400;60113),0.753,0.039,(400;60113),0.753,0.042,(400;60113),0.753
"Frinhani, Carvalho & Soma\Random-400-400-24-7",0.000,(400;61560),0.771,0.206,(400;61560),0.771,0.043,(400;61560),0.771,0.037,(400;61560),0.771
"Frinhani, Carvalho & Soma\Random-400-400-24-8",0.000,(400;61170),0.767,0.218,(400;61170),0.767,0.038,(400;61170),0.767,0.042,(400;61170),0.767
"Frinhani, Carvalho & Soma\Random-400-400-24-9",0.000,(400;61015),0.765,0.184,(400;61015),0.765,0.035,(400;61015),0.765,0.035,(400;61015),0.765
"Frinhani, Carvalho & Soma\Random-400-400-28-1",0.000,(400;68976),0.864,0.201,(400;68976),0.864,0.045,(400;68976),0.864,0.038,(400;68976),0.864
"Frinhani, Carvalho & Soma\Random-400-400-28-10",0.000,(400;68572),0.859,0.219,(400;68572),0.859,0.038,(400;68572),0.859,0.037,(400;68572),0.859
"Frinhani, Carvalho & Soma\Random-400-400-28-2",0.000,(400;68860),0.863,0.234,(400;68860),0.863,0.038,(400;68860),0.863,0.036,(400;68860),0.863
"Frinhani, Carvalho & Soma\Random-400-400-28-3",0.000,(400;68941),0.864,0.207,(400;68941),0.864,0.042,(400;68941),0.864,0.047,(400;68941),0.864
"Frinhani, Carvalho & Soma\Random-400-400-28-4",0.000,(400;69305),0.868,0.256,(400;69305),0.868,0.043,(400;69305),0.868,0.041,(400;69305),0.868
"Frinhani, Carvalho & Soma\Random-400-400-28-5",0.000,(400;68747),0.861,0.231,(400;68747),0.861,0.043,(400;68747),0.861,0.041,(400;68747),0.861
"Frinhani, Carvalho & Soma\Random-400-400-28-6",0.000,(400;68764),0.862,0.228,(400;68764),0.862,0.041,(400;68764),0.862,0.038,(400;68764),0.862
"Frinhani, Carvalho & Soma\Random-400-400-28-7",0.000,(400;68238),0.855,0.215,(400;68238),0.855,0.042,(400;68238),0.855,0.043,(400;68238),0.855
"Frinhani, Carvalho & Soma\Random-400-400-28-8",0.000,(400;68675),0.861,0.213,(400;68675),0.861,0.039,(400;68675),0.861,0.039,(400;68675),0.861
"Frinhani, Carvalho & Soma\Random-400-400-28-9",0.000,(400;68445),0.858,0.207,(400;68445),0.858,0.042,(400;68445),0.858,0.039,(400;68445),0.858
"Frinhani, Carvalho & Soma\Random-400-400-30-1",0.000,(400;71653),0.898,0.223,(400;71653),0.898,0.048,(400;71653),0.898,0.041,(400;71653),0.898
"Frinhani, Carvalho & Soma\Random-400-400-30-10",0.000,(400;71519),0.896,0.224,(400;71519),0.896,0.047,(400;71519),0.896,0.040,(400;71519),0.896
"Frinhani, Carvalho & Soma\Random-400-400-30-2",0.000,(400;71827),0.900,0.250,(400;71827),0.900,0.040,(400;71827),0.900,0.044,(400;71827),0.900
"Frinhani, Carvalho & Soma\Random-400-400-30-3",0.000,(400;71601),0.897,0.215,(400;71601),0.897,0.037,(400;71601),0.897,0.033,(400;71601),0.897
"Frinhani, Carvalho & Soma\Random-400-400-30-4",0.000,(400;72088),0.903,0.208,(400;72088),0.903,0.043,(400;72088),0.903,0.038,(400;72088),0.903
"Frinhani, Carvalho & Soma\Random-400-400-30-5",0.000,(400;71588),0.897,0.245,(400;71588),0.897,0.047,(400;71588),0.897,0.035,(400;71588),0.897
"Frinhani, Carvalho & Soma\Random-400-400-30-6",0.000,(400;71692),0.898,0.213,(400;71692),0.898,0.038,(400;71692),0.898,0.045,(400;71692),0.898
"Frinhani, Carvalho & Soma\Random-400-400-30-7",0.000,(400;70913),0.889,0.223,(400;70913),0.889,0.038,(400;70913),0.889,0.042,(400;70913),0.889
"Frinhani, Carvalho & Soma\Random-400-400-30-8",0.000,(400;71486),0.896,0.246,(400;71486),0.896,0.040,(400;71486),0.896,0.037,(400;71486),0.896
"Frinhani, Carvalho & Soma\Random-400-400-30-9",0.000,(400;71253),0.893,0.208,(400;71253),0.893,0.046,(400;71253),0.893,0.039,(400;71253),0.893
"Frinhani, Carvalho & Soma\Random-400-400-34-1",0.000,(400;75551),0.947,0.276,(400;75551),0.947,0.042,(400;75551),0.947,0.035,(400;75551),0.947
"Frinhani, Carvalho & Soma\Random-400-400-34-10",0.000,(400;75484),0.946,0.275,(400;75484),0.946,0.040,(400;75484),0.946,0.036,(400;75484),0.946
"Frinhani, Carvalho & Soma\Random-400-400-34-2",0.000,(400;75517),0.946,0.256,(400;75517),0.946,0.041,(400;75517),0.946,0.036,(400;75517),0.946
"Frinhani, Carvalho & Soma\Random-400-400-34-3",0.000,(400;75543),0.947,0.257,(400;75543),0.947,0.044,(400;75543),0.947,0.045,(400;75543),0.947
"Frinhani, Carvalho & Soma\Random-400-400-34-4",0.000,(400;75935),0.952,0.264,(400;75935),0.952,0.037,(400;75935),0.952,0.039,(400;75935),0.952
"Frinhani, Carvalho & Soma\Random-400-400-34-5",0.000,(400;75490),0.946,0.228,(400;75490),0.946,0.040,(400;75490),0.946,0.042,(400;75490),0.946
"Frinhani, Carvalho & Soma\Random-400-400-34-6",0.000,(400;75621),0.948,0.232,(400;75621),0.948,0.037,(400;75621),0.948,0.045,(400;75621),0.948
"Frinhani, Carvalho & Soma\Random-400-400-34-7",0.000,(400;75232),0.943,0.285,(400;75232),0.943,0.040,(400;75232),0.943,0.044,(400;75232),0.943
"Frinhani, Carvalho & Soma\Random-400-400-34-8",0.000,(400;75470),0.946,0.250,(400;75470),0.946,0.042,(400;75470),0.946,0.049,(400;75470),0.946
"Frinhani, Carvalho & Soma\Random-400-400-34-9",0.000,(400;75281),0.943,0.267,(400;75281),0.943,0.043,(400;75281),0.943,0.042,(400;75281),0.943
"Frinhani, Carvalho & Soma\Random-400-400-4-1",0.000,(400;2825),0.035,0.060,(398;2805),0.036,0.031,(400;2825),0.035,0.030,(400;2825),0.035
"Frinhani, Carvalho & Soma\Random-400-400-4-10",0.000,(400;3631),0.046,0.067,(395;3590),0.046,0.038,(400;3631),0.046,0.032,(400;3631),0.046
"Frinhani, Carvalho & Soma\Random-400-400-4-2",0.000,(400;3368),0.042,0.061,(396;3330),0.043,0.034,(400;3368),0.042,0.036,(400;3368),0.042
"Frinhani, Carvalho & Soma\Random-400-400-4-3",0.000,(400;3201),0.040,0.060,(399;3191),0.040,0.030,(400;3201),0.040,0.030,(400;3201),0.040
"Frinhani, Carvalho & Soma\Random-400-400-4-4",0.000,(400;3274),0.041,0.058,(394;3218),0.042,0.028,(400;3274),0.041,0.029,(400;3274),0.041
"Frinhani, Carvalho & Soma\Random-400-400-4-5",0.000,(400;3464),0.043,0.064,(393;3413),0.044,0.031,(400;3464),0.043,0.032,(400;3464),0.043
"Frinhani, Carvalho & Soma\Random-400-400-4-6",0.000,(400;3392),0.043,0.074,(393;3327),0.043,0.033,(400;3392),0.043,0.032,(400;3392),0.043
"Frinhani, Carvalho & Soma\Random-400-400-4-7",0.000,(400;3221),0.040,0.068,(396;3197),0.041,0.079,(400;3221),0.040,0.033,(400;3221),0.040
"Frinhani, Carvalho & Soma\Random-400-400-4-8",0.000,(400;3358),0.042,0.073,(399;3350),0.042,0.030,(400;3358),0.042,0.035,(400;3358),0.042
"Frinhani, Carvalho & Soma\Random-400-400-4-9",0.000,(400;3371),0.042,0.061,(398;3352),0.042,0.030,(400;3371),0.042,0.034,(400;3371),0.042
"Frinhani, Carvalho & Soma\Random-400-400-6-1",0.000,(400;6155),0.077,0.077,(399;6144),0.077,0.035,(400;6155),0.077,0.031,(400;6155),0.077
"Frinhani, Carvalho & Soma\Random-400-400-6-10",0.000,(400;7045),0.088,0.073,(400;7045),0.088,0.033,(400;7045),0.088,0.030,(400;7045),0.088
"Frinhani, Carvalho & Soma\Random-400-400-6-2",0.000,(400;6825),0.086,0.069,(399;6810),0.086,0.031,(400;6825),0.086,0.034,(400;6825),0.086
"Frinhani, Carvalho & Soma\Random-400-400-6-3",0.000,(400;6740),0.084,0.073,(396;6699),0.086,0.031,(400;6740),0.084,0.032,(400;6740),0.084
"Frinhani, Carvalho & Soma\Random-400-400-6-4",0.000,(400;6993),0.088,0.072,(397;6963),0.089,0.031,(400;6993),0.088,0.035,(400;6993),0.088
"Frinhani, Carvalho & Soma\Random-400-400-6-5",0.000,(400;6834),0.086,0.074,(398;6808),0.086,0.035,(400;6834),0.086,0.028,(400;6834),0.086
"Frinhani, Carvalho & Soma\Random-400-400-6-6",0.000,(400;7189),0.090,0.069,(397;7152),0.091,0.028,(400;7189),0.090,0.031,(400;7189),0.090
"Frinhani, Carvalho & Soma\Random-400-400-6-7",0.000,(400;6973),0.087,0.072,(396;6928),0.089,0.030,(400;6973),0.087,0.030,(400;6973),0.087
"Frinhani, Carvalho & Soma\Random-400-400-6-8",0.000,(400;6669),0.084,0.067,(399;6658),0.084,0.033,(400;6669),0.084,0.030,(400;6669),0.084
"Frinhani, Carvalho & Soma\Random-400-400-6-9",0.000,(400;7452),0.093,0.076,(399;7438),0.094,0.029,(400;7452),0.093,0.030,(400;7452),0.093
"Frinhani, Carvalho & Soma\Random-400-400-8-1",0.000,(400;10699),0.134,0.093,(399;10683),0.135,0.033,(400;10699),0.134,0.033,(400;10699),0.134
"Frinhani, Carvalho & Soma\Random-400-400-8-10",0.000,(400;11627),0.146,0.074,(400;11627),0.146,0.028,(400;11627),0.146,0.030,(400;11627),0.146
"Frinhani, Carvalho & Soma\Random-400-400-8-2",0.000,(400;11465),0.144,0.076,(400;11465),0.144,0.030,(400;11465),0.144,0.042,(400;11465),0.144
"Frinhani, Carvalho & Soma\Random-400-400-8-3",0.000,(400;11483),0.144,0.086,(400;11483),0.144,0.031,(400;11483),0.144,0.033,(400;11483),0.144
"Frinhani, Carvalho & Soma\Random-400-400-8-4",0.000,(400;12221),0.153,0.084,(400;12221),0.153,0.031,(400;12221),0.153,0.030,(400;12221),0.153
"Frinhani, Carvalho & Soma\Random-400-400-8-5",0.000,(400;11561),0.145,0.081,(399;11546),0.145,0.034,(400;11561),0.145,0.034,(400;11561),0.145
"Frinhani, Carvalho & Soma\Random-400-400-8-6",0.000,(400;12314),0.154,0.086,(399;12294),0.155,0.032,(400;12314),0.154,0.031,(400;12314),0.154
"Frinhani, Carvalho & Soma\Random-400-400-8-7",0.000,(400;11850),0.148,0.082,(399;11835),0.149,0.031,(400;11850),0.148,0.031,(400;11850),0.148
"Frinhani, Carvalho & Soma\Random-400-400-8-8",0.000,(400;11921),0.149,0.080,(400;11921),0.149,0.031,(400;11921),0.149,0.032,(400;11921),0.149
"Frinhani, Carvalho & Soma\Random-400-400-8-9",0.000,(400;12428),0.156,0.081,(400;12428),0.156,0.031,(400;12428),0.156,0.030,(400;12428),0.156
"Frinhani, Carvalho & Soma\Random-600-600-10-1",0.000,(600;27612),0.154,0.200,(600;27612),0.154,0.071,(600;27612),0.154,0.071,(600;27612),0.154
"Frinhani, Carvalho & Soma\Random-600-600-10-10",0.000,(600;27769),0.155,0.205,(600;27769),0.155,0.069,(600;27769),0.155,0.075,(600;27769),0.155
"Frinhani, Carvalho & Soma\Random-600-600-10-2",0.000,(600;27493),0.153,0.197,(600;27493),0.153,0.069,(600;27493),0.153,0.066,(600;27493),0.153
"Frinhani, Carvalho & Soma\Random-600-600-10-3",0.000,(600;29102),0.162,0.197,(600;29102),0.162,0.067,(600;29102),0.162,0.068,(600;29102),0.162
"Frinhani, Carvalho & Soma\Random-600-600-10-4",0.000,(600;27183),0.151,0.223,(599;27155),0.152,0.085,(600;27183),0.151,0.070,(600;27183),0.151
"Frinhani, Carvalho & Soma\Random-600-600-10-5",0.000,(600;27036),0.150,0.198,(600;27036),0.150,0.070,(600;27036),0.150,0.069,(600;27036),0.150
"Frinhani, Carvalho & Soma\Random-600-600-10-6",0.000,(600;27758),0.154,0.207,(600;27758),0.154,0.070,(600;27758),0.154,0.069,(600;27758),0.154
"Frinhani, Carvalho & Soma\Random-600-600-10-7",0.000,(600;26059),0.145,0.196,(600;26059),0.145,0.084,(600;26059),0.145,0.069,(600;26059),0.145
"Frinhani, Carvalho & Soma\Random-600-600-10-8",0.000,(600;27583),0.153,0.200,(600;27583),0.153,0.070,(600;27583),0.153,0.072,(600;27583),0.153
"Frinhani, Carvalho & Soma\Random-600-600-10-9",0.000,(600;27997),0.156,0.201,(600;27997),0.156,0.072,(600;27997),0.156,0.069,(600;27997),0.156
"Frinhani, Carvalho & Soma\Random-600-600-14-1",0.000,(600;51742),0.288,0.255,(600;51742),0.288,0.074,(600;51742),0.288,0.070,(600;51742),0.288
"Frinhani, Carvalho & Soma\Random-600-600-14-10",0.000,(600;49394),0.275,0.263,(600;49394),0.275,0.074,(600;49394),0.275,0.074,(600;49394),0.275
